<prompt>
Please write a creative and original Bengali (Bangla script) children's story that is at least 1000 words long.
It must be completely written in proper Bengali (Bangla script) (BN).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>bn</lang_id>

<title>সোনার ডিম পাখির গল্প</title>
<body>একসময়ের কথা। এক ছোট্ট গ্রামে এক পরিবার থাকত। পরিবারটির নাম ছিল রহমান। রহমান পরিবারের মোট তিনজন ছিল, বাবা, মা এবং এক ছোট্ট মেয়ে। মেয়েটির নাম ছিল মিনা। মিনা খুব মিষ্টি একটি মেয়ে ছিল। সে তার বাবা-মায়ের খুব যত্ন দিত এবং তাদের খুব ভালবাসত।

একদিন রহমান পরিবারের বাড়ির পাশে একটি ছোট্ট বাগান থাকত। বাগানটি খুব সুন্দর ছিল। সেখানে অনেক ফুল ফুটত। মিনা প্রতিদিন বাগানে যেত এবং ফুল দেখত। সে ফুলের গন্ধ শুকত এবং তার সৌন্দর্য উপভোগ করত।

একদিন মিনা বাগানে যাচ্ছিল। সে একটি ফুলের কাছে গিয়ে দেখল যে একটি ছোট্ট পাখি বসে আছে। পাখিটি খুব সুন্দর ছিল। এর ডানা ছিল সোনালি রঙের। মিনা পাখিটিকে দেখে খুব আনন্দিত হল। সে পাখিটিকে বলল, "তুমি কে? তোমার নাম কী?"

পাখিটি বলল, "আমার নাম সোনার ডিম। আমি একটি মায়ের ডিম থেকে জন্মেছি। আমার মা খুব সুন্দর ছিল। সে আমাকে বলেছিল যে আমি একদিন খুব সুন্দর হব।"

মিনা পাখিটিকে বলল, "তুমি ইতিমধ্যেই খুব সুন্দর। তোমার ডানা খুব সুন্দর।"

পাখিটি বলল, "ধন্যবাদ। আমি তোমাকে একটি উপহার দিতে চাই। আমার মায়ের কাছে একটি সোনার ডিম আছে। সেটি খুব মূল্যবান। আমি তোমাকে সেটি দিতে চাই।"

মিনা পাখিটিকে বলল, "তোমার মায়ের কাছে সোনার ডিম আছে? সেটি কী?"

পাখিটি বলল, "সোনার ডিম একটি মূল্যবান জিনিস। সেটি খুব সুন্দর। আমার মা সেটিকে খুব যত্ন করে।"

মিনা পাখিটিকে বলল, "আমি সোনার ডিম দেখতে চাই। তুমি কি আমাকে সেটি দেখাতে পার?"

পাখিটি বলল, "হ্যাঁ, আমি তোমাকে সোনার ডিম দেখাতে পারি। কিন্তু তোমাকে আমার সাথে আসতে হবে।"

মিনা পাখিটিকে বলল, "আমি তোমার সাথে আসতে পারি। কিন্তু আমাকে আমার বাবা-মায়ের কাছে জানাতে হবে।"

পাখিটি বলল, "হ্যাঁ, তোমাকে তোমার বাবা-মায়ের কাছে জানাতে হবে। কিন্তু তোমাকে আমার সাথে দ্রুত আসতে হবে।"

মিনা তার বাবা-মায়ের কাছে গিয়ে বলল, "বাবা, মা, আমি একটি পাখির সাথে যেতে চাই। সে আমাকে সোনার ডিম দেখাতে চায়।"

তার বাবা-মা বলল, "ঠিক আছে, মিনা। তুই পাখির সাথে যেতে পারিস। কিন্তু তোমাকে সতর্ক থাকতে হবে।"

মিনা পাখির সাথে চলল। তার
