<prompt>
Please write a simple and easy-to-follow Chechen children's story that is at least 1000 words long.
It must be completely written in proper Chechen (CE).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Шира юртбахаман цхьаькхнарг лелаш'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>ce</lang_id>

<title>Шира юртбахаман цхьаькхнарг лелаш</title><body>Шира юртбахаман цхьаькхнарг лелаш хиллачу хенахь, малхбузен дуьхьалонан тӀехь, шен деха чоьнашкахь лела аьхкенан буса хьокхумца хиллачу кашprogressbarнца, хьеранашкахь хи дажийна, шайн боьранаш схьадийна бахаман хержар леладора. Цера шайн юрт боьра, шайн юрт боьр валавоккхура, шайн юрт боьр кхерстадора. Шайн юрт боьра кхерстадора ца хилча, шайн юрт боьр боцубора, шайн юрт боьр кхоьллина хилча.
Шайн юрт боьр кхоьллина хилча, шайн юрт боьр кхерстадора хилча, шайн юрт боьр валавоккхура хилча, шайн юрт боьр боцубора хилча. Цера шайн юрт боьра, шайн юрт боьр валавоккхура, шайн юрт боьр кхерстадора. Шайн юрт боьра кхерстадора ца хилча, шайн юрт боьр боцубора, шайн юрт боьр кхоьллина хилча.
Шайн юрт боьр кхоьллина хилча, шайн юрт боьр кхерстадора хилча, шайн юрт боьр валавоккхура хилча, шайн юрт боьр боцубора хилча. Цера шайн юрт боьра, шайн юрт боьр валавоккхура, шайн юрт боьр кхерстадора. Шайн юрт боьра кхерстадора ца хилча, шайн юрт боьр боцубора, шайн юрт боьр кхоьллина хилча.
Шайн юрт боьр кхоьллина хилча, шайн юрт боьр кхерстадора хилча, шайн юрт боьр валавоккхура хилча, шайн юрт боьр боцубора хилча. Цера шайн юрт боьра, шайн юрт боьр валавоккхура, шайн юрт боьр кхерстадора. Шайн юрт боьра кхерстадора ца хилча, шайн юрт боьр боцубора, шайн юрт боьр кхоьллина хилча.
Юрт боьраш кхоьллина хилча, юрт боьраш кхерстадора хилча, юрт боьраш валавоккхура хилча, юрт боьраш боцубора хилча. Цера юрт боьраш, цара юрт боьраш валавоккхура, цара юрт боьраш кхерстадора. Юрт боьраш кхерстадора ца хилча, юрт боьраш боцубора, юрт боьраш кхоьллина хилча.
Юрт боьраш кхоьллина хилча, юрт боьраш кхерстадора хилча, юрт боьраш валавоккхура хилча, юрт боьраш боцубора хилча. Цера юрт боьраш, цара юрт боьраш валавоккхура, цара юрт боьраш кхерстадора. Юрт боьраш кхерстадора ца хилча, юрт боьраш боцубора, юрт боьраш кхоьллина хилча.
Цхьаьна дийнахь, цхьа боьра кхоьллина волу бахамхо, шен кегийра юрт боьраш кхерстадора, шен кегийра юрт боьраш валавоккхура. Цо шайна карадIERлахь, и боьраш хьекхочуш хилла, и боьраш кхерстадора хилла, и боьраш валавоккхура хилла. И боьраш боцубора хилла, и боьраш кхоьллина хилла.
И боьраш кхоьллина хилча, и боьраш кхерстадора хилча, и боьраш валавоккхура хилча, и боьраш боцубора хилча. Цо шайна карадIERлахь, и боьраш хьекхочуш хилла, и боьраш кхерстадора хилла, и боьраш валавоккхура хилла. И боьраш боцубора хилла, и боьраш кхоьллина хилла.
И боьраш кхоьллина хилча, и боьраш кхерстадора хилча, и боьраш валавоккхура хилча, и боьраш боцубора хилча. Цо шайна карадIERлахь, и боьраш хьекхочуш хилла, и боьраш кхерстадора хилла, и боьраш валавоккхура хилла. И боьраш боцубора хилла, и боьраш кхоьллина хилла.
Юрт боьраш кхоьллина хилча, юрт боьраш кхерстадора хилча, юрт боьраш валавоккхура хилча, юрт боь!раш боцубора хилча. Цера юрт боьраш, цара юрт боьраш валавоккхура, цара юрт боьраш кхерстадора. Юрт боьраш кхерстадора ца хилча, юрт боьраш боцубора, юрт боьраш кхоьллина хилча.
Юрт боьраш кхоьллина хилча, юрт боьраш кхерстадора хилча, юрт боьраш валавоккхура хилча, юрт боьраш боцубора хилча. Цера юрт боьраш, цара юрт боьраш валавоккхура, цара юрт боьраш кхерстадора. Юрт боьраш кхерстадора ца хилча, юрт боьраш боцубора, юрт боьраш кхоьллина хилча.
Цхьаьна дийнахь, цхьа боьра кхоьллина волу бахамхо, шен кегийра юрт боьраш кхерстадора, шен кегийра юрт боьраш валавоккхура. Цо шайна карадIERлахь, и боьраш хьекхочуш хилла, и боьраш кхерстадора хилла, и боьраш валавоккхура хилла. И боьраш боцубора хилла, и боьраш кхоьллина хилла.
И боьраш кхоьллина хилча, и боьраш кхерстадора хилча, и боьраш валавоккхура хилча, и боьраш боцубора хилча. Цо шайна карадIERлахь, и боьраш хьекхочуш хилла,
