<prompt>
Please write a simple and easy-to-follow Scottish Gaelic children's story that is at least 1000 words long.
It must be completely written in proper Scottish Gaelic (GD).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Tha a' Ghaoth a' Fuaim air a' Chnuic'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>gd</lang_id>

<title>Tha a' Ghaoth a' Fuaim air a' Chnuic</title>
<body>Tha a' ghaoth a' fuaim air a' chnuic, agus tha na h-eileanan a' gluasad leis a' ghrèin. Bha aon ghille beag anns an àite, a bha a' fuireach ann an taigh beag air a' chnuic. Bha an taigh aige air a dhèanamh de chlachan, agus bha mullach na h-aiseig air a chur air a' mhullach.

Bha an ghille beag a' cleachdadh a' chuairt, agus bha e a' dol a dh'fhàgail an taighe aige. Cha robh e a' dol a dh'fhàgail gu tur, ach bha e a' dol a dh'fhàgail airson beagan ùine. Bha e a' dol a dh'fhàgail airson a bhith a' tadhail air a' ghaoth, a bha a' fuaim air a' chnuic.

Ràinig an ghille beag a' chnuic, agus chunnaic e a' ghaoth a' fuaim. Bha a' ghaoth a' dol a dh'fhàgail a' chnuic, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air an t-saoghal. Thug an ghille beag a dh'fhàgail an taigh aige, agus chaidh e a dh'fhàgail airson a bhith a' tadhail air a' ghaoth.

An toiseach, bha a' ghaoth a' dol a dh'fhàgail airson a bhith a' tadhail air na beanntan. Chaidh i a dh'fhàgail airson a bhith a' tadhail air na glinn, agus chaidh i a dh'fhàgail airson a bhith a' tadhail air na h-eileanan. Bha a' ghaoth a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile duine.

An uair sin, chunnaic an ghille beag a' ghaoth a' fuaim. Bha i a' dol a dh'fhàgail airson a bhith a' tadhail air an t-saoghal, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite. Thug an ghille beag a dh'fhàgail an taigh aige, agus chaidh e a dh'fhàgail airson a bhith a' tadhail air a' ghaoth.

Fhad 's a bha an ghille beag a' dol a dh'fhàgail airson a bhith a' tadhail air a' ghaoth, chunnaic e a' ghaoth a' fuaim air a' chnuic. Bha i a' dol a dh'fhàgail airson a bhith a' tadhail air na beanntan, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air na glinn. Chaidh e a dh'fhàgail airson a bhith a' tadhail air na h-eileanan, agus chaidh e a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite.

An toiseach, bha an ghille beag a' dol a dh'fhàgail airson a bhith a' tadhail air na beanntan. Chaidh e a dh'fhàgail airson a bhith a' tadhail air na glinn, agus chaidh e a dh'fhàgail airson a bhith a' tadhail air na h-eileanan. Bha e a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite, agus bha e a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile duine.

An uair sin, chunnaic an ghille beag a' ghaoth a' fuaim air a' chnuic. Bha i a' dol a dh'fhàgail airson a bhith a' tadhail air an t-saoghal, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite. Tha an ghille beag air a bhith a' dol a dh'fhàgail airson a bhith a' tadhail air a' ghaoth, agus tha e air a bhith a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite.

Tha a' ghaoth a' fuaim air a' chnuic, agus tha an ghille beag a' dol a dh'fhàgail airson a bhith a' tadhail air an t-saoghal. Tha e a' dol a dh'fhàgail airson a bhith a' tadhail air na beanntan, agus tha e a' dol a dh'fhàgail airson a bhith a' tadhail air na glinn. Tha e a' dol a dh'fhàgail airson a bhith a' tadhail air na h-eileanan, agus tha e a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite.

An toiseach, bha an ghille beag a' dol a dh'fhàgail airson a bhith a' tadhail air na beanntan. Chaidh e a dh'fhàgail airson a bhith a' tadhail air na glinn, agus chaidh e a dh'fhàgail airson a bhith a' tadhail air na h-eileanan. Bha e a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite, agus bha e a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile duine.

An uair sin, chunnaic an ghille beag a' ghaoth a' fuaim air a' chnuic. Bha i a' dol a dh'fhàgail airson a bhith a' tadhail air an t-saoghal, agus bha i a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite. Tha an ghille beag air a bhith a' dol a dh'fhàgail airson a bhith a' tadhail air a' ghaoth, agus tha e air a bhith a' dol a dh'fhàgail airson a bhith a' tadhail air a h-uile h-àite.

