<prompt>
Please write a educational Scottish Gaelic children's story that is at least 1000 words long.
It must be completely written in proper Scottish Gaelic (GD).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>gd</lang_id>

<title>An Cuilean Beag agus an t-Earrachd</title>
<body>
Bha cuilean beag ann, air an robh ainm Murchadh. Bha Murchadh a' fuireach ann an glen bhuidhe, far an robh eileanan beaga agus lochan mòra. Bha e a' cur ùidh ann an nàdar, agus bha e a' dol a-mach gach là, a' coimhead airson rudan ùra.

Là aon, nuair a bha an t-earrachd a' tòiseachadh, chaidh Murchadh a-mach air a' ghleann, a' coimhead airson siognan an earraich. Chuir e aodann air a' chnuic, far an robh na craobhan a' fàs, agus chunnaic e na siognan a' fàs air na craobhan. Bha iad a' cur ùidh mhòr anns a' chuilean, agus dh'fhàg e a' dol a dh'fhàgail nan siognan.

An ath-là, chaidh Murchadh a-mach a-rithist, a' coimhead airson nan eun. Chuir e aodann air a' ghleann, far an robh na h-eileanan beaga, agus chunnaic e na h-eun a' dol a dh'itheas nan siognan. Bha iad a' cur ùidh mhòr anns a' chuilean, agus dh'fhàg e a' dol a dh'fhàgail nan eun.

Là eile, chaidh Murchadh a-mach, a' coimhead airson nan lochan. Chuir e aodann air a' ghleann, far an robh na lochan mòra, agus chunnaic e na h-iasgaich a' dol a dh'itheas nan lochan. Bha iad a' cur ùidh mhòr anns a' chuilean, agus dh'fhàg e a' dol a dh'fhàgail nan iasgaich.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan craobhan. Chuir e aodann air a' ghleann, far an robh na craobhan a' fàs, agus chunnaic e na craobhan a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan craobhan, agus dh'fhàg e a' dol a dh'fhàgail nan craobhan.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan eòin. Chuir e aodann air a' ghleann, far an robh na h-eòin a' dol a dh'itheas nan siognan, agus chunnaic e na h-eòin a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan eòin, agus dh'fhàg e a' dol a dh'fhàgail nan eòin.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan uan. Chuir e aodann air a' ghleann, far an robh na h-uan a' dol a dh'itheas nan siognan, agus chunnaic e na h-uan a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan uan, agus dh'fhàg e a' dol a dh'fhàgail nan uan.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan caorach. Chuir e aodann air a' ghleann, far an robh na caorach a' dol a dh'itheas nan siognan, agus chunnaic e na caorach a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan caorach, agus dh'fhàg e a' dol a dh'fhàgail nan caorach.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan gobhar. Chuir e aodann air a' ghleann, far an robh na gobhar a' dol a dh'itheas nan siognan, agus chunnaic e na gobhar a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan gobhar, agus dh'fhàg e a' dol a dh'fhàgail nan gobhar.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan eich. Chuir e aodann air a' ghleann, far an robh na h-eich a' dol a dh'itheas nan siognan, agus chunnaic e na h-eich a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan eich, agus dh'fhàg e a' dol a dh'fhàgail nan eich.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan bhàithtean. Chuir e aodann air a' ghleann, far an robh na bàithtean a' dol a dh'itheas nan siognan, agus chunnaic e na bàithtean a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan bàithtean, agus dh'fhàg e a' dol a dh'fhàgail nan bàithtean.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan lochannan. Chuir e aodann air a' ghleann, far an robh na lochannan a' dol a dh'itheas nan siognan, agus chunnaic e na lochannan a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan lochannan, agus dh'fhàg e a' dol a dh'fhàgail nan lochannan.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan abhainnean. Chuir e aodann air a' ghleann, far an robh na h-abhainnean a' dol a dh'itheas nan siognan, agus chunnaic e na h-abhainnean a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan abhainnean, agus dh'fhàg e a' dol a dh'fhàgail nan abhainnean.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan monaidh. Chuir e aodann air a' ghleann, far an robh na monaidh a' dol a dh'itheas nan siognan, agus chunnaic e na monaidh a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan monaidh, agus dh'fhàg e a' dol a dh'fhàgail nan monaidh.

An ceann greis, chaidh Murchadh a-mach, a' coimhead airson nan beann. Chuir e aodann air a' ghleann, far an robh na beann a' dol a dh'itheas nan siognan, agus chunnaic e na beann a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàgail nan beann, agus dh'fhàg e a' dol a dh'fhàgail nan beann.

Là a bha seo, chaidh Murchadh a-mach, a' coimhead airson nan glinn. Chuir e aodann air a' ghleann, far an robh na glinn a' dol a dh'itheas nan siognan, agus chunnaic e na glinn a' cur ùidh anns a' chuilean. Bha iad a' dol a dh'fhàg
