<prompt>
Please write a simple and easy-to-follow Kongo children's story that is at least 1000 words long.
It must be completely written in proper Kongo (KG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Nkia Mambu Makala kuna Mbanza, Kansi Yandi Zola Kuenda Kukimona.'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>kg</lang_id>

<title>Nkia Mambu Makala kuna Mbanza, Kansi Yandi Zola Kuenda Kukimona</title>
<body>
Nkia mambu makala kuna mbanza, kansi yandi zola kuenda kukimona. Yandi muziki, yandi muntu ya kuluta, yandi muntu ya kusala. Nkia yandi zola kukimona, yandi sala na ndunda ya mbanza. Ndunda ya mbanza eza na yandi, yandi zola kuenda kukimona. 

Yandi kimona kuna mbanza, yandi vanda na bakala ba mbanza. Bakala ba mbanza bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na bakala ba mbanza, yandi zola kusala na bakala ba mbanza. Bakala ba mbanza bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na mvuila. Mvuila eza na yandi, yandi zola kuenda kukimona. Mvuila bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na mvuila, yandi zola kusala na mvuila. Mvuila bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na ngombe. Ngombe eza na yandi, yandi zola kuenda kukimona. Ngombe bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na ngombe, yandi zola kusala na ngombe. Ngombe bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na nsuki. Nsuki eza na yandi, yandi zola kuenda kukimona. Nsuki bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na nsuki, yandi zola kusala na nsuki. Nsuki bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na ndoki. Ndoki eza na yandi, yandi zola kuenda kukimona. Ndoki bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na ndoki, yandi zola kusala na ndoki. Ndoki bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kinduku. Kinduku eza na yandi, yandi zola kuenda kukimona. Kinduku bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kinduku, yandi zola kusala na kinduku. Kinduku bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na ngulu. Ngulu eza na yandi, yandi zola kuenda kukimona. Ngulu bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na ngulu, yandi zola kusala na ngulu. Ngulu bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kimbundu. Kimbundu eza na yandi, yandi zola kuenda kukimona. Kimbundu bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kimbundu, yandi zola kusala na kimbundu. Kimbundu bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kikongo. Kikongo eza na yandi, yandi zola kuenda kukimona. Kikongo bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kikongo, yandi zola kusala na kikongo. Kikongo bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kizunga. Kizunga eza na yandi, yandi zola kuenda kukimona. Kizunga bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kizunga, yandi zola kusala na kizunga. Kizunga bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kimbala. Kimbala eza na yandi, yandi zola kuenda kukimona. Kimbala bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kimbala, yandi zola kusala na kimbala. Kimbala bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kinkole. Kinkole eza na yandi, yandi zola kuenda kukimona. Kinkole bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kinkole, yandi zola kusala na kinkole. Kinkole bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kilombo. Kilombo eza na yandi, yandi zola kuenda kukimona. Kilombo bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kilombo, yandi zola kusala na kilombo. Kilombo bazola kuseka yandi, bazola kukimona yandi. 

