<prompt>
Please write a funny Kongo children's story that is at least 1000 words long.
It must be completely written in proper Kongo (KG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>kg</lang_id>

<title>Nzambi Ya Mfumu Ya Kongo</title><body>Nzambi ya mfumu ya Kongo, muntu aye akendi na ngolo. Ngolo aye alendi na maboko maku, maboko aye amekendi na menemo. Menemo aye amekendi na makolo, makolo aye amekendi na minkonzo. Minkonzo aye amekendi na mabanzo, mabanzo aye amekendi na malu.

Nzambi ya mfumu ya Kongo alendi na ngolo, ngolo aye alendi na maboko maku. Maboko aye amekendi na menemo, menemo aye amekendi na makolo. Makolo aye amekendi na minkonzo, minkonzo aye amekendi na mabanzo. Mabanzo aye amekendi na malu, malu aye amekendi na minkisi.

Nzambi ya mfumu ya Kongo akabola ngolo, ngolo aye akabola maboko maku. Maboko aye akabola menemo, menemo aye akabola makolo. Makolo aye akabola minkonzo, minkonzo aye akabola mabanzo. Mabanzo aye akabola malu, malu aye akabola minkisi.

Nzambi ya mfumu ya Kongo alingi ngolo, ngolo aye alingi maboko maku. Maboko aye alingi menemo, menemo aye alingi makolo. Makolo aye alingi minkonzo, minkonzo aye alingi mabanzo. Mabanzo aye alingi malu, malu aye alingi minkisi.

Nzambi ya mfumu ya Kongo akwisi ngolo, ngolo aye akwisi maboko maku. Maboko aye akwisi menemo, menemo aye akwisi makolo. Makolo aye akwisi minkonzo, minkonzo aye akwisi mabanzo. Mabanzo aye akwisi malu, malu aye akwisi minkisi.

Nzambi ya mfumu ya Kongo atumi ngolo, ngolo aye atumi maboko maku. Maboko aye atumi menemo, menemo aye atumi makolo. Makolo aye atumi minkonzo, minkonzo aye atumi mabanzo. Mabanzo aye atumi malu, malu aye atumi minkisi.

Nzambi ya mfumu ya Kongo asili ngolo, ngolo aye asili maboko maku. Maboko aye asili menemo, menemo aye asili makolo. Makolo aye asili minkonzo, minkonzo aye asili mabanzo. Mabanzo aye asili malu, malu aye asili minkisi.

Nzambi ya mfumu ya Kongo abwaki ngolo, ngolo aye abwaki maboko maku. Maboko aye abwaki menemo, menemo aye abwaki makolo. Makolo aye abwaki minkonzo, minkonzo aye abwaki mabanzo. Mabanzo aye abwaki malu, malu aye abwaki minkisi.

Nzambi ya mfumu ya Kongo akimi ngolo, ngolo aye akimi maboko maku. Maboko aye akimi menemo, menemo aye akimi makolo. Makolo aye akimi minkonzo, minkonzo aye akimi mabanzo. Mabanzo aye akimi malu, malu aye akimi minkisi.

Nzambi ya mfumu ya Kongo alendi na ngolo, ngolo aye alendi na maboko maku. Maboko aye amekendi na menemo, menemo aye amekendi na makolo. Makolo aye amekendi na minkonzo, minkonzo aye amekendi na mabanzo. Mabanzo aye amekendi na malu, malu aye amekendi na minkisi.

