<prompt>
Please write a uncomplicated Malagasy children's story that is at least 1000 words long.
It must be completely written in proper Malagasy (MG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>mg</lang_id>

<title>Ny Mpanjaka Sy Nandringitra</title>
<body>
Ny mpanjaka sy nandringitra no tale ny aina nym-bokaka izay efa nifaninana tamin'ny andro fahiny. Ny mpanjaka no rainy, fa ny nandringitra kosa no reniny. Nandeha ny mpanjaka sy nandringitra handeha any an-tendrombohitra, ary nividy ronono sy voanjo. Nony tonga tao an-tendrombohitra dia nijaly ny mpanjaka sy nandringitra, ka naka ny ronono sy voanjo, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any an-tsena, ary nividy akondro sy tsaramaso. Nony tonga tao an-tsena dia nijaly ny mpanjaka sy nandringitra, ka naka ny akondro sy tsaramaso, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any an-dranomasina, ary nividy trondro sy kisoa. Nony tonga tao an-dranomasina dia nijaly ny mpanjaka sy nandringitra, ka naka ny trondro sy kisoa, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny renirano, ary nividy tilapia sy solimena. Nony tonga tao amin'ny renirano dia nijaly ny mpanjaka sy nandringitra, ka naka ny tilapia sy solimena, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny fasika, ary nividy vorontsilo sy tsikoriko. Nony tonga tao amin'ny fasika dia nijaly ny mpanjaka sy nandringitra, ka naka ny vorontsilo sy tsikoriko, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny ala, ary nividy koba sy sifaka. Nony tonga tao amin'ny ala dia nijaly ny mpanjaka sy nandringitra, ka naka ny koba sy sifaka, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny tanety, ary nividy omby sy ondry. Nony tonga tao amin'ny tanety dia nijaly ny mpanjaka sy nandringitra, ka naka ny omby sy ondry, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny vohitra, ary nividy akoho sy boriky. Nony tonga tao amin'ny vohitra dia nijaly ny mpanjaka sy nandringitra, ka naka ny akoho sy boriky, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny tanàna, ary nividy savony sy saboka. Nony tonga tao amin'ny tanàna dia nijaly ny mpanjaka sy nandringitra, ka naka ny savony sy saboka, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny seranan-tsambokim-pirenena, ary nividy menarana sy tsipika. Nony tonga tao amin'ny seranan-tsambokim-pirenena dia nijaly ny mpanjaka sy nandringitra, ka naka ny menarana sy tsipika, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana masina, ary nividy fanafody sy vatan-kazo. Nony tonga tao amin'ny toerana masina dia nijaly ny mpanjaka sy nandringitra, ka naka ny fanafody sy vatan-kazo, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana nify, ary nividy hazo sy vato. Nony tonga tao amin'ny toerana nify dia nijaly ny mpanjaka sy nandringitra, ka naka ny hazo sy vato, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana mafy, ary nividy tany sy rivotra. Nony tonga tao amin'ny toerana mafy dia nijaly ny mpanjaka sy nandringitra, ka naka ny tany sy rivotra, ary nihinana.
