<prompt>
Please write a emotional Tamil children's story that is at least 1000 words long.
It must be completely written in proper Tamil (TA).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'மாமரத்தின் மீது அமர்ந்துகொண்டு பேசிய கிளியும், குருவியும், அதன் கதைகள்'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>ta</lang_id>

<title>மாமரத்தின் மீது அமர்ந்துகொண்டு பேசிய கிளியும், குருவியும், அதன் கதைகள்</title>
<body>
ஒரு சிறிய கிராமத்தில், ஒரு பெரிய மாமரம் இருந்தது. அந்த மரத்தில் பல பறவைகள் வாழ்ந்து வந்தன. அவற்றுள் ஒரு கிளி மற்றும் ஒரு குருவி மிகவும் நன்பர்களாக இருந்தன. 

ஒரு நாள், அந்த கிளி மற்றும் குருவி மாமரத்தின் மீது அமர்ந்து கொண்டு பேசிக் கொண்டிருந்தன. கிளி, "என் நண்பா, நீ என்ன செய்கிறாய்?" என்று கேட்டது. 

குருவி, "நான் என் குஞ்சுகளுக்கு உணவு தேடி வருகிறேன்" என்றது. 

கிளி, "அப்படியா? நான் சுற்றி பார்த்தாலும் எதுவும் இல்லை" என்றது. 

குருவி, "இல்லை, இங்கே உணவு இருக்கிறது. நீ தேடி பார்த்தால் கிடைக்கும்" என்றது. 

கிளி, "நன்றி, நான் தேடி பார்க்கிறேன்" என்றது. 

இரண்டு பறவைகளும் உணவு தேடி தொடங்கின. சிறிது நேரத்திற்கு பிறகு, கிளி ஒரு பழத்தை கண்டு பிடித்தது. 

குருவி, "பார், நான் சொன்னது போல தானே? உணவு இங்கே இருக்கிறது" என்றது. 

கிளி, "ஆம், நீ சொல்ல விரும்பியது போல் இருக்கிறது. நன்றி" என்றது. 

இரு பறவைகளும் உணவு உண்டு, மீண்டும் மாமரத்தின் மீது அமர்ந்து கொண்டு பேசின. 

குருவி, "நண்பா, நீ ஒரு கதை சொல்ல விரும்புகிறாயா?" என்று கேட்டது. 

கிளி, "ஆம், நான் ஒரு கதை சொல்ல விரும்புகிறேன்" என்றது. 

குருவி, "சரி, நான் ஒரு கதை சொல்கிறேன். ஒரு காட்டில், ஒரு புலி வாழ்ந்து வந்தது. அது மிகவும் பயங்கரமாக இருந்தது. 

அந்த புலி, ஒரு நாள், ஒரு மானை தேடி வந்தது. மான், புலியை பார்த்து, அதிர்ச்சி அடைந்து ஓடி போனது. 

புலி, மானை பிடிக்க முயன்றது, ஆனால் மான் அதை தவிர்த்து ஓடி போனது. 

புலி, மிகவும் சோகமடைந்தது. அது, ஒரு மரத்தடியில் அமர்ந்து அழுதது. 

அந்த மரத்தில், ஒரு பறவை இருந்தது. அது, புலியிடம், 'ஏன் அழுகிறாய்?' என்று கேட்டது. 

புலி, 'நான் மானை பிடிக்க முடியவில்லை, அதனால் நான் அழுகிறேன்' என்றது. 

பறவை, 'நீ மானை பிடிக்க முயற்சித்தாய், ஆனால
