<prompt>
Please write a uncomplicated Tagalog children's story that is at least 1000 words long.
It must be completely written in proper Tagalog (TL).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Ang Awit ng mga Ibon na Nagbigay-Pag-asa sa Dalawang Magkaibigan'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>tl</lang_id>

<title>Ang Awit ng mga Ibon na Nagbigay-Pag-asa sa Dalawang Magkaibigan</title>
<body>
Noong araw, sa isang malayong bayan, may dalawang magkaibigan na nagngangalang Maya at Juan. Sila ay magkasama sa lahat ng bagay, at walang oras na hindi sila magkasama. Ang kanilang pagkakaibigan ay tulad ng isang matibay na puno na hindi malulumpo ng anumang bagyo.

Maya at Juan ay mahilig sa kalikasan, at sila ay palaging naglalakad sa kagubatan upang makita ang mga hayop at halaman. Isang araw, habang sila ay naglalakad, nakarinig sila ng isang kawili-wiling awit. Ang awit ay galing sa isang pangkat ng mga ibon na nakalipad sa itaas ng kanilang ulo.

Ang mga ibon ay may iba't-ibang kulay, at ang kanilang mga balahibo ay nagkalat sa hangin. Maya at Juan ay na-curious sa mga ibon, at sila ay sumunod sa kanilang mga tinig upang makita kung saan sila patungo. Sila ay lumakad ng mahaba, at ang mga ibon ay patuloy na kumakanta.

Habang sila ay lumalakad, nakita nila ang isang malaking puno na may mga sanga na nakalapat sa lupa. Ang mga ibon ay nakalipad sa mga sanga, at sila ay kumakanta ng mas malakas. Maya at Juan ay umakyat sa puno, at sila ay nakita ang mga ibon na kumakanta sa kanilang harapan.

Ang mga ibon ay may mga mata na tulad ng mga bituin sa gabi, at ang kanilang mga beak ay tulad ng mga rosas na namumukadkad. Sila ay kumakanta ng mga awit na tulad ng mga tula, at ang kanilang mga tinig ay tulad ng mga agos ng ilog.

Maya at Juan ay naantig sa mga awit ng mga ibon, at sila ay naramdaman ang kanilang mga puso na umiibig. Sila ay nakinig sa mga awit, at sila ay nakita ang mga ibon na kumakanta sa kanilang harapan. Ang mga ibon ay may mga galaw na tulad ng mga sayaw, at ang kanilang mga balahibo ay nagkalat sa hangin.

Habang sila ay nakikinig, nakita nila ang isang ibon na may kulay na asul. Ang ibon ay may mata na tulad ng mga diamante, at ang kanyang beak ay tulad ng mga bulaklak na namumukadkad. Ang ibon ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog.

Ang ibon ay nagngangalang Luna, at siya ay ang pinakamaliit sa mga ibon. Pero siya ay may isang tinig na tulad ng isang malakas na agos, at ang kanyang mga awit ay tulad ng mga tula. Maya at Juan ay naantig sa awit ni Luna, at sila ay naramdaman ang kanilang mga puso na umiibig.

Luna ay nakita ang mga magkaibigan, at siya ay lumipas sa kanilang harapan. Siya ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog. Maya at Juan ay na-curious sa ibon, at sila ay sumunod sa kanya upang makita kung saan siya patungo.

Sila ay lumakad ng mahaba, at Luna ay patuloy na kumakanta. Sila ay nakita ang isang malaking lawa, at ang mga ibon ay nakalipad sa itaas ng lawa. Luna ay lumipad sa lawa, at siya ay kumakanta ng isang awit na tulad ng isang tula.

Maya at Juan ay umakyat sa isang bato, at sila ay nakita ang lawa. Ang lawa ay may tubig na tulad ng mga kristal, at ang mga ibon ay nakalipad sa itaas ng lawa. Luna ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog.

Habang sila ay nakikinig, nakita nila ang isang grupo ng mga hayop na nakalibing sa baybayin ng lawa. Ang mga hayop ay may mga mata na tulad ng mga bituin sa gabi, at ang kanilang mga balahibo ay nagkalat sa hangin. Sila ay nakinig sa awit ni Luna, at sila ay naramdaman ang kanilang mga puso na umiibig.

Ang mga hayop ay may mga galaw na tulad ng mga sayaw, at ang kanilang mga balahibo ay nagkalat sa hangin. Sila ay kumakanta ng mga awit na tulad ng mga tula, at ang kanilang mga tinig ay tulad ng mga agos ng ilog. Maya at Juan ay naantig sa mga awit ng mga hayop, at sila ay naramdaman ang kanilang mga puso na umiibig.

Luna ay nakita ang mga magkaibigan, at siya ay lumipas sa kanilang harapan. Siya ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog. Maya at Juan ay na-curious sa ibon, at sila ay sumunod sa kanya upang makita kung saan siya patungo.

Sila ay lumakad ng mahaba, at Luna ay patuloy na kumakanta. Sila ay nakita ang isang malaking kagubatan, at ang mga ibon ay nakalipad sa itaas ng kagubatan. Luna ay lumipad sa kagubatan, at siya ay kumakanta ng isang awit na tulad ng isang tula.

Maya at Juan ay umakyat sa isang puno, at sila ay nakita ang kagubatan. Ang kagubatan ay may mga halaman na tulad ng mga bulaklak, at ang mga ibon ay nakalipad sa itaas ng kagubatan. Luna ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog.

Habang sila ay nakikinig, nakita nila ang isang grupo ng mga kabataan na nakalibing sa kagubatan. Ang mga kabataan ay may mga mata na tulad ng mga bituin sa gabi, at ang kanilang mga balahibo ay nagkalat sa hangin. Sila ay nakinig sa awit ni Luna, at sila ay naramdaman ang kanilang mga puso na umiibig.

Ang mga kabataan ay may mga galaw na tulad ng mga sayaw, at ang kanilang mga balahibo ay nagkalat sa hangin. Sila ay kumakanta ng mga awit na tulad ng mga tula, at ang kanilang mga tinig ay tulad ng mga agos ng ilog. Maya at Juan ay naantig sa mga awit ng mga kabataan, at sila ay naramdaman ang kanilang mga puso na umiibig.

Luna ay nakita ang mga magkaibigan, at siya ay lumipas sa kanilang harapan. Siya ay kumakanta ng isang awit na tulad ng isang tula, at ang kanyang tinig ay tulad ng isang agos ng ilog. Maya at Juan ay na-curious sa ibon, at sila ay sumunod sa kanya upang makita kung saan siya patungo.

Sila ay lumakad ng mahaba, at Luna ay patuloy na kumakanta. Sila ay nakita ang isang malaking burol, at ang mga ibon ay nakalipad sa itaas ng burol. Luna ay lumipad sa burol, at siya ay kumakanta ng isang awit na tulad ng isang tula.

Maya at Juan ay umakyat sa burol, at sila ay nakita ang mga ibon na kumakanta sa kanilang harapan. Ang mga ibon ay may mga mata na tulad ng mga bituin sa gabi, at ang kanilang mga balahibo ay nagkalat sa hangin. Sila ay kum
