word,count,doc_count
die,152538,1739
het,127691,1739
en,77089,1739
n,61131,1738
sy,40384,1733
was,34209,1714
van,31767,1739
nie,31130,1723
in,26212,1739
hulle,28508,1696
wat,24595,1734
met,21811,1735
te,22374,1722
om,20419,1725
dit,20333,1719
is,21942,1697
hy,32558,1561
maar,15303,1727
op,13339,1722
na,12431,1706
se,13130,1691
vir,12579,1693
klein,11745,1690
dat,10537,1650
so,8060,1662
toe,9791,1635
groot,7601,1609
begin,7673,1587
soos,9416,1562
net,8079,1574
dag,5825,1577
aan,6231,1572
daar,7091,1548
oor,6841,1522
ek,15983,1410
altyd,6093,1520
as,6068,1501
deur,5561,1499
gesê,8989,1456
een,4712,1499
jy,9964,1397
gaan,6240,1428
vol,4465,1440
oë,4872,1423
haar,18069,1252
son,4074,1407
waar,4267,1392
kon,4650,1385
terwyl,3321,1357
gesien,4314,1342
hoe,4629,1336
kan,5180,1325
baie,4679,1319
al,4240,1322
elke,4228,1322
saam,4958,1306
nog,4185,1313
wees,4111,1304
ons,9361,1233
kom,4303,1274
sien,3820,1253
ander,4320,1244
by,3955,1248
weer,3869,1245
sal,4103,1239
gehad,2994,1244
ook,3304,1240
meer,3423,1229
hom,5775,1197
uit,3111,1222
jou,5315,1182
iets,3737,1199
hart,3659,1187
my,5270,1160
nuwe,3705,1166
moet,3462,1154
geweet,3012,1159
nou,3241,1146
geword,2498,1143
gemaak,2450,1096
hul,4304,1071
sou,2970,1086
glimlag,2819,1052
hierdie,2522,1055
blink,2647,1052
nooit,2284,1056
vertel,2657,1039
lug,2340,1037
maak,2869,1028
word,2463,1032
af,1964,1037
kyk,3672,1015
sagte,2617,1023
almal,3074,1016
plek,2528,1016
ou,3131,1001
selfs,2034,1001
alles,2261,991
wêreld,2910,982
hele,2008,992
gekyk,2479,986
gekom,1860,955
tot,1768,955
gevra,2097,951
of,2173,948
groen,2020,945
besluit,2029,942
gevoel,2011,937
stem,2139,935
diep,2020,928
geleer,2395,922
onder,1983,918
helder,1666,921
laat,1948,916
volgende,1599,919
doen,1956,911
beste,1888,899
terug,1979,890
