word,count,doc_count
ነበር,13752,941
ላይ,7077,1028
በጣም,7207,891
አንድ,5848,989
እና,6853,901
ወደ,5794,878
ውስጥ,5310,881
ነው,4879,837
ቀን,2978,914
ነገር,3837,843
ብዙ,3020,797
ግን,3131,788
አለ,4095,688
ጊዜ,2510,799
ትንሽ,2309,722
እንደ,2390,710
ጋር,2014,710
ትልቅ,1747,664
ምን,1776,647
በደስታ,1730,638
ልጅ,1706,588
እንዴት,1526,590
አለች,2687,502
ይህ,1367,593
ደግሞ,1376,585
ነበሩ,1178,586
ሁሉ,1389,566
ሁሉም,1622,539
በኋላ,1117,568
በአንድ,891,556
ስለ,1464,462
ደስተኛ,968,477
ታሪክ,1148,463
እኔ,1132,443
ልጆች,1326,421
አሁን,931,447
ፀሐይ,1372,411
ብሎ,1005,438
ሰው,1020,435
ነበረች,902,442
እናም,985,431
በዚህ,743,449
ቤት,1164,415
ጀምሮ,593,448
ሆነ,760,434
ጥሩ,939,419
ያለው,753,431
ከዚያም,852,420
ጀመረ,850,411
ቦታ,783,414
አዲስ,879,402
ጀመሩ,916,388
ፈገግ,830,393
አዎ,956,377
አስደናቂ,831,381
ብርሃን,1162,342
መንገድ,659,374
አብረው,757,365
ነገሮች,715,368
ደስታ,815,353
በየቀኑ,641,365
ነበረ,1546,293
ሰዎች,829,343
ሁልጊዜም,719,351
ሌሎች,655,335
አስደሳች,641,333
እንስሳት,904,307
ዛፍ,763,316
እንደገና,560,329
ልዩ,629,321
እንደሆነ,516,329
እንዲህ,652,314
ደስ,555,321
በፍጥነት,577,315
የሆነ,495,320
ያህል,499,318
ይህን,467,318
ምንም,474,316
ሁኔታ,486,315
ሁሉንም,493,310
የተለያዩ,528,306
አይነት,525,306
በመጨረሻም,422,312
ነኝ,604,295
ነገሮችን,523,297
ሄደ,465,299
ሲሆን,475,297
ጠየቀ,553,290
ቆንጆ,534,291
ምክንያቱም,456,296
በላይ,408,297
ከዚያን,353,293
ተስፋ,633,268
እሱ,537,275
ብላ,621,268
ትምህርት,612,264
ያለ,381,276
ድምፅ,458,270
እንዲሁም,533,261
መካከል,358,274
እጅግ,424,269
ልክ,411,269
አበባ,979,223
ሆኖ,423,264
ማድረግ,408,265
ከዚያ,339,270
ሌላ,377,266
አሉ,440,261
ሰላም,773,236
ከዚህ,374,263
ፍቅር,634,238
አለው,486,248
መንደር,499,247
ሁልጊዜ,386,254
ብቻ,369,255
ዛሬ,447,248
ይኖሩ,334,256
አሁንም,365,249
ያሉትን,377,246
ናቸው,413,243
ያለውን,386,245
አስፈላጊ,397,244
እዚህ,443,239
ሄዱ,382,242
ችግር,355,239
እነዚህ,361,238
አየ,436,232
ማየት,391,235
አዳዲስ,425,232
ነበረው,356,237
በድንገት,351,234
ይኖር,296,238
ልብ,412,229
ሰማይ,484,223
ለምን,333,233
ጠንካራ,362,230
መጣ,313,232
ቀስ,338,230
ሲል,399,224
አንዳንድ,370,226
አስገራሚ,409,223
የተሞላ,308,229
አንተ,418,217
ሁሌም,384,219
የበለጠ,311,224
እፈልጋለሁ,347,221
ስር,367,219
መሆን,372,218
አለብን,417,213
ጉዞ,499,206
ስሜት,332,218
ነህ,352,216
ቀለም,415,209
ብለው,372,212
ለማየት,405,209
ደግ,350,213
አመሰግናለሁ,338,212
እንኳን,290,215
ታላቅ,369,208
ወቅት,326,209
ጀመረች,357,206
እርስ,327,208
ምግብ,487,196
እሺ,365,205
ውሃ,480,195
ሆነው,279,210
ሆኑ,270,206
ተደሰቱ,289,204
ፊት,297,203
አረንጓዴ,330,199
ከባድ,285,201
መልካም,371,192
