word,count,doc_count
في,114250,4103
من,59955,4010
إلى,43916,4036
أن,47108,3795
على,35369,4023
كان,38968,3712
عن,23592,3819
كانت,29071,3578
ما,13127,3639
يا,18066,3395
كل,18068,3345
هذا,12622,3407
لم,12473,3406
التي,11547,3438
لا,11481,3433
مع,10548,3247
هذه,10621,3163
ذلك,7538,3135
يوم,8506,3067
بعد,8091,2992
بينما,6489,3023
الأيام,7089,2980
هو,8278,2901
الذي,6940,2905
عندما,6839,2864
اليوم,6837,2832
لقد,7572,2733
هناك,6643,2604
صغيرة,6119,2614
أنا,7171,2536
شيء,6232,2534
ثم,6386,2517
ولكن,6400,2492
بدأت,7024,2459
هي,5650,2479
بدأ,6441,2437
أخرى,5288,2473
وفي,5098,2325
قال,8604,2175
مكان,4862,2265
وهي,5706,2199
دائمًا,5406,2198
بل,4343,2226
قالت,7762,2046
أحد,4184,2163
وهو,4799,2135
كيف,4805,2115
الأطفال,12215,1834
ذات,3560,2136
وأن,4890,2048
بعض,4792,2033
الجميع,5692,1992
ليلى,24650,1311
وهكذا,3070,2075
هل,4714,1999
العالم,5436,1970
أصبح,4796,1991
أكثر,3610,2011
الصغيرة,5024,1951
كبيرة,3627,1979
بصوت,4319,1949
الآخرين,5048,1922
جدًا,5274,1864
كانوا,5444,1848
مرة,3754,1904
الشمس,4495,1875
مليئة,3433,1882
و,16330,1402
حتى,3171,1874
له,3589,1845
الكثير,3526,1827
أي,3259,1825
بالسعادة,3346,1786
يجب,4155,1755
بها,2966,1773
بين,2992,1769
صغير,2994,1751
وكانت,3673,1718
لكن,3283,1727
جديدة,3838,1705
قد,3002,1723
اللعب,3822,1693
السعادة,5026,1633
أصبحت,3456,1679
الحياة,3593,1671
الجميلة,3200,1654
قصة,3711,1634
حيث,2944,1659
الأشجار,3735,1605
الصغير,4226,1581
وكان,3965,1587
الحديقة,5814,1516
معًا,4144,1574
شيئًا,3089,1603
به,2581,1617
ماذا,2702,1598
يحب,2877,1587
جميلة,2975,1539
فيها,2450,1546
قرر,3097,1512
أو,2816,1521
الوقت,2497,1532
جميع,3010,1512
أيضًا,2669,1509
لها,2681,1504
نظر,2751,1496
رأى,3210,1477
تعلم,2958,1470
شجرة,3332,1453
السماء,3575,1442
يمكن,2785,1468
وقال,3405,1438
اسمه,2054,1480
أجاب,3114,1439
يكن,2291,1464
تحت,2476,1456
البعض,3170,1431
لهم,2622,1442
نعم,3166,1422
آخر,2231,1449
نحو,2253,1431
قبل,2055,1433
ابتسم,2467,1414
شعر,2819,1394
أنت,2873,1392
تحب,2413,1390
التالي,1784,1402
منها,2034,1388
الملونة,2259,1351
وبدأ,2236,1349
أنه,2362,1342
الآن,2110,1350
الأرض,2816,1293
منذ,1708,1330
استمرت,1983,1304
مثل,2104,1295
ابتسمت,2209,1289
هنا,2246,1279
وقالت,2699,1259
وكيف,2521,1255
ليس,1949,1272
مجرد,1870,1269
ولكنه,2550,1240
الغابة,6507,1093
أفضل,2050,1234
الصداقة,2830,1194
إليه,1790,1227
طويلة,1829,1220
عمر,13551,786
يبدو,1944,1202
فجأة,1794,1204
أنها,1856,1196
عاد,1677,1199
وبدأت,1936,1185
عليه,1803,1189
كبير,1642,1188
وقت,1763,1183
فيه,1862,1176
صغيرًا,1758,1169
عليها,1682,1170
بسعادة,1700,1165
وعن,2551,1132
إذا,1867,1150
الحقيقية,2117,1134
تلك,1686,1149
فقط,1593,1150
الأشياء,1988,1128
حول,1752,1135
الناس,2937,1089
الحيوانات,4053,1040
رأت,2614,1091
عاش,1437,1105
الأخرى,1946,1086
أبدًا,1689,1093
شعرت,2474,1055
الماء,2681,1038
رائعة,1652,1072
أجابت,1982,1059
حديقة,2031,1055
بحماس,1562,1066
يعيش,1426,1069
أخذ,1603,1059
أدرك,1827,1049
لماذا,1511,1057
عالٍ,1482,1055
نهاية,1437,1054
رحلة,1860,1028
أهمية,1849,1027
البداية,1426,1041
والمرح,1678,1029
بحذر,1524,1031
مجموعة,1457,1022
سعيدة,1649,1013
الأصدقاء,3536,941
الأبد,1440,1010
القصة,1972,989
وهم,1713,993
ولكنها,1628,995
إليها,1341,1002
بما,1329,999
منه,1391,995
النهاية,1382,995
قررت,1819,974
أصدقاء,1734,976
صوت,1599,976
بسرعة,1493,979
مساعدة,1841,962
يشعر,1891,960
وبعد,1352,979
يلعبون,1531,970
سأل,1828,959
مختلفة,1426,970
فقد,1419,968
صباح,1611,959
إنها,1675,938
بابتسامة,1427,943
أعرف,1371,944
صوتًا,1365,943
بعضهم,1753,929
لك,1519,930
وبينما,1246,939
ولا,1299,934
اسمها,1126,937
بدأوا,1477,923
جميل,1556,920
عاشت,1190,933
نظرت,1458,921
الطعام,1997,901
والسعادة,1389,921
القصص,1957,899
مدينة,2579,875
حياة,1391,914
أيام,1188,920
بالتأكيد,1284,911
الحب,2386,869
هيا,1749,891
اقترب,1303,903
سألت,1645,890
جميعًا,1570,892
البحث,1608,889
نفسه,1567,889
تكون,1355,896
أخذت,1402,890
بكل,1232,895
رائع,1368,890
الهواء,1423,885
خضراء,1069,895
أيها,1408,873
يكون,1325,875
بفرح,1233,878
انتهت,1037,882
دائماً,1775,849
غريبة,1347,864
غريبًا,1155,865
المدينة,3066,794
وصل,1281,853
تكن,1155,857
أحمد,7794,617
قيمة,1323,848
لكنه,1414,844
بأن,1281,848
تبدو,1192,851
معهم,1244,844
استمر,1234,842
تعلمت,1478,832
يومٍ,1776,820
معه,1238,838
مغامرة,1335,833
جديد,1192,837
بنا,1466,825
ليست,1107,837
الصغار,1335,825
جداً,1992,801
تذكر,1215,828
كما,1108,828
أنحاء,1276,817
المزيد,1192,820
سمع,1130,819
وعندما,1086,820
نحن,1349,810
إنه,1438,806
وجد,1645,798
وصلوا,1248,811
واحد,1137,812
الشجرة,2716,754
مليء,1025,813
تعيش,1120,804
الذين,1169,802
لديه,1175,801
عبر,1222,798
يلعب,1240,788
لكنها,1283,783
العمل,1791,763
حقًا,1096,787
رمزًا,1075,785
بألوان,1088,782
المكان,1172,777
خافت,960,783
أصدقائي,1273,766
وجدوا,1573,755
طفل,1149,768
فوق,1371,759
الأمر,1020,771
للجميع,1158,758
سعادة,1006,762
أدركت,1393,746
مكانًا,1231,751
ملونة,1003,759
وبدأوا,1091,753
كنز,1256,747
فتاة,1140,750
كيفية,1295,744
إلهي,973,755
المنزل,1524,735
أصدقائه,1380,740
سعيدًا,1124,749
وأنا,1177,745
العودة,1048,746
عالم,1853,714
كثيرًا,1139,738
وأصبح,977,742
تشعر,1291,730
الجديدة,1167,731
الفرح,1257,726
فتح,1097,731
اقتربت,1065,732
منهم,975,735
أخيرًا,900,737
الخضراء,1060,731
أين,1066,730
بصوتٍ,1486,714
أنتِ,1341,719
حوله,1042,728
الصوت,1274,719
مرور,877,731
الكبيرة,1177,718
أنهم,1193,717
الأحلام,2582,664
أجمل,1012,718
أما,1099,713
بشكل,1027,715
تقع,781,720
ربما,1295,701
مليئًا,892,715
رأوا,1086,707
أيضاً,1338,697
المغامرات,1070,700
معها,960,703
للأطفال,1174,695
يعرف,990,700
حولها,1054,695
سعداء,1026,696
سمعت,965,698
حان,900,700
فكر,1031,694
الخير,1466,676
القرية,2961,619
شيئاً,1228,681
الطريق,1103,684
بك,898,689
الذهبية,1138,678
ومنذ,764,690
جمع,977,682
استكشاف,1017,678
الأم,2461,626
الألوان,2393,628
ذهب,1038,676
المغامرة,1048,675
وكأنها,940,678
يمكننا,1100,672
الشجاعة,1360,662
الشيء,909,675
