word,count,doc_count
і,34555,1064
з,14224,1064
ў,10821,1059
што,9822,1057
на,9456,1055
у,8870,1062
не,7511,1036
яны,8082,986
як,6564,1018
да,5149,1027
але,4951,1003
яна,8492,889
ён,7557,890
а,4447,938
яго,4865,914
іх,4029,935
калі,3599,925
быў,3332,930
гэта,3693,911
была,3466,905
яе,4188,872
пра,4568,851
па,2595,907
якія,2680,866
ад,2604,862
за,2451,861
было,2497,851
які,2151,859
дзе,2364,847
былі,2310,828
каб,2387,824
вельмі,3572,773
якая,1825,757
ім,1776,738
толькі,1621,732
яшчэ,1653,696
я,3355,643
так,1502,694
аднойчы,1073,684
для,1386,651
праз,1382,644
дзень,1364,638
сваю,1229,630
заўсёды,1501,614
ты,2258,590
больш,1216,597
свае,1080,601
ўсё,1174,592
кожны,1076,586
сказаў,1511,558
шмат,1220,565
сказала,1594,548
нават,1056,557
таго,892,554
сонца,1262,541
разам,1175,541
пасля,998,541
ёй,1316,525
адзін,973,528
сваёй,937,528
лес,1555,507
час,932,526
ж,998,517
ўсе,881,519
сябе,925,515
сваім,843,512
стала,952,508
пачаў,981,507
лесе,1484,491
гэты,882,503
там,862,497
пачалі,1002,488
ніколі,812,487
яму,1121,467
пад,820,475
вочы,861,473
можа,869,470
мы,1488,447
усё,834,465
усе,777,462
свой,840,460
вакол,788,461
тое,760,453
бо,1015,445
будзе,851,446
тут,1017,438
хто,715,447
лесу,1178,432
знайсці,869,436
пачала,857,433
таксама,747,434
зноў,831,431
проста,681,433
трэба,905,420
раптам,739,410
неба,801,403
маленькі,718,405
жыла,564,406
сваіх,660,399
гэтага,597,395
дня,491,397
быць,609,390
вось,784,384
аб,1328,365
жылі,671,385
сабе,560,378
прыгоды,769,370
дадому,596,374
сэрца,710,369
дзяўчынка,707,366
аднаго,526,371
сваё,565,368
свет,689,353
кветкі,768,347
над,621,351
маленькая,568,351
вялікім,493,351
гэтым,481,351
ўсім,469,349
адказаў,665,341
любіла,472,346
вялікі,530,343
дапамагчы,632,339
сэрцы,558,341
некалькі,503,342
гісторыі,667,336
табе,666,333
жыў,475,337
стаў,540,334
нешта,503,334
той,478,334
дрэвы,509,333
свайго,465,332
дзеці,1273,307
потым,509,329
жыццё,509,329
ёсць,537,324
розныя,479,325
тым,533,322
адразу,494,323
вы,760,314
птушкі,537,320
добра,524,318
сталі,482,319
гэтай,475,316
зямлі,540,313
адной,401,317
месца,478,314
імі,424,314
самым,448,313
сваімі,443,313
часу,401,314
маленькія,469,310
самыя,465,310
новыя,501,308
ведаў,481,306
са,435,307
любіў,461,305
каля,432,305
ўсіх,419,305
вёсцы,608,297
самы,466,300
зусім,503,298
можна,437,300
ўжо,427,299
ведала,500,296
сапраўды,434,298
адказала,574,293
мне,505,295
цяпер,447,296
вачыма,386,297
спытала,540,291
хутка,458,292
сяброў,509,289
шлях,553,286
далей,431,289
голас,503,285
розных,410,287
свеце,432,282
стары,523,279
ці,386,281
людзі,635,273
вялікай,376,280
тады,396,279
дрэва,582,273
усіх,371,278
цябе,448,274
гэтыя,374,274
птушак,426,272
сябрамі,425,270
зрабіць,389,271
якую,342,272
добры,454,267
чым,346,270
стаяў,338,269
песні,449,263
нарэшце,342,265
адным,335,264
раз,350,261
якое,351,258
дапамагаць,474,254
нічога,372,257
падарожжа,596,250
беларусі,680,247
зразумела,392,253
мае,415,251
асцярожна,459,249
часта,357,252
стаяла,312,252
мяне,453,247
людзей,435,247
старога,387,247
меў,334,248
мог,361,247
гуляць,347,247
таму,321,247
гісторыю,443,241
спытаў,419,241
гулялі,351,243
радасцю,349,243
дрэў,316,244
свету,359,240
знайшоў,397,238
сябры,569,232
ля,337,239
перад,331,239
сабой,292,239
нас,353,234
спачатку,319,235
знайшлі,426,231
вялікія,301,234
гісторыя,353,232
кожным,312,233
часам,301,233
вырашылі,446,227
маленькай,294,231
мела,298,230
зоркі,562,220
крыху,332,225
самае,314,225
пакуль,299,225
месцы,289,225
знайшла,385,222
вялікую,311,224
маленькім,263,225
доўга,277,224
зямлю,330,222
жа,280,223
радасць,325,219
кветак,380,217
спявалі,280,220
побач,286,219
дзякуй,318,218
здавалася,291,218
ракі,420,213
маглі,353,214
могуць,297,215
старой,310,214
сярод,275,215
імя,269,215
амаль,273,214
вялікага,298,213
радасці,279,213
ведалі,283,212
жыцця,329,210
бачыў,316,210
дуба,410,207
ведаю,302,210
вярнуліся,244,211
рабіць,294,209
шукаць,310,208
дзяцей,369,206
магла,354,205
ўбачыла,337,205
сябрам,267,206
хацеў,290,205
поўны,251,206
момант,250,205
сядзела,247,205
маленькую,253,204
такім,262,203
іншым,293,202
вялікая,259,203
самых,277,202
вецер,498,195
таямніцы,360,199
чаму,283,201
янка,2413,135
бачыла,314,199
гэтую,265,200
галоўнае,262,200
нам,330,197
сёння,327,196
раней,257,198
гэтая,257,198
лісце,276,197
сяброўства,378,193
іншых,250,195
зразумеў,314,193
вырашыў,347,191
прыроды,370,190
хлопчык,363,190
ну,338,190
вёскі,392,188
дарогу,283,191
б,282,191
хачу,296,188
будуць,262,188
казкі,420,183
дзён,239,188
адна,243,187
бабуля,1002,163
пайшлі,266,185
святло,292,184
вам,339,181
рэчы,229,184
стаялі,219,184
небе,302,181
вады,299,180
самай,232,182
якой,238,181
такі,221,181
добрым,252,180
якіх,228,180
жывёл,353,176
голасам,209,180
яно,328,176
беларускім,227,179
беразе,285,177
вырашыла,283,177
жыцці,243,177
чароўны,436,171
кожную,241,177
сядзеў,214,176
ужо,209,176
любоў,264,174
то,255,173
якім,212,174
вялікімі,204,174
новых,231,173
рукі,213,172
вядома,227,171
беларускай,355,167
прыгожыя,253,170
бліжэй,210,171
раніцай,193,171
словы,254,169
дом,314,167
жыве,230,169
паветра,196,170
ціха,218,169
жывуць,264,167
пачула,240,167
паглядзела,212,167
скарб,540,156
маленькага,214,166
прыгод,214,166
увесь,198,166
камяні,310,162
важна,239,164
нібы,256,163
іншыя,212,164
старым,209,164
звалі,184,164
добрыя,248,162
чароўныя,270,161
шчасце,296,160
усмешкай,194,163
зараз,209,161
убачыў,294,158
ўвесь,194,161
адчуў,247,159
кожнай,211,160
ўбачылі,240,159
ніхто,192,160
аднаму,248,158
жыць,226,158
трохі,208,158
старую,209,157
любілі,198,157
вярнуцца,195,156
павінны,222,154
маленькіх,186,155
слухаць,213,154
сапраўдны,204,154
наступны,181,154
дарозе,202,153
неўзабаве,213,152
хаты,228,151
вачах,184,152
бачыць,198,151
з-за,193,151
рады,237,149
сілу,249,148
ваду,241,148
святлом,202,149
пачуў,202,149
прыгажосць,266,147
прывітанне,225,148
вада,288,146
ні,348,144
хацела,245,147
быццам,206,148
гэтых,176,148
кожнага,173,148
старыя,190,147
шляху,186,147
тых,184,147
асабліва,169,147
бабулі,329,142
беларускіх,323,142
падчас,190,146
лісця,190,146
ветру,222,144
вас,212,144
вярнулася,177,145
сустрэла,238,143
паказаў,172,145
паглядзеў,188,144
ўсміхнулася,184,144
штосьці,178,144
кожная,204,142
любіць,201,142
пайшоў,202,141
куды,188,141
самага,176,141
якога,168,141
пайшла,232,139
адчула,231,139
ноч,227,139
камень,382,134
вёску,219,139
высокія,159,140
зразумелі,197,138
дапамогу,185,138
гульні,213,137
чаго,178,138
паміж,176,138
пачало,165,138
сілы,184,137
павольна,179,137
сонечныя,166,137
бачылі,227,135
новы,186,136
галавой,179,136
падышоў,166,136
лепш,192,135
збіраць,179,134
назад,145,135
ва,170,134
колеру,167,134
істоты,229,132
падышла,156,134
расказаў,180,133
жывёлы,317,128
вярнуўся,154,133
дома,173,132
сам,164,132
моцна,163,132
сакрэты,257,129
чакалі,159,132
прыйшлі,178,131
павінна,174,131
пайсці,206,130
самая,172,131
прыйшла,169,131
цудоўны,200,130
цэнтры,153,131
прайшлі,146,131
краіне,274,127
здзіўлена,162,130
ціхі,156,130
дуб,375,123
захапленні,211,128
адчувала,200,128
патрэбна,160,129
