word,count,doc_count
и,34195,944
да,23053,944
на,22471,944
се,19155,944
в,13737,944
от,11396,942
с,10898,942
за,9408,938
си,8342,933
че,6329,928
е,5799,904
не,5171,904
но,4237,903
като,4066,902
те,4370,842
които,3346,851
беше,6522,758
една,2725,797
много,3910,761
а,2774,772
това,2375,782
той,4075,732
тя,4479,720
до,2283,775
към,2346,769
един,1991,758
ден,1841,762
го,2619,737
която,2124,748
му,3384,696
всички,2259,724
едно,1841,726
след,1774,711
ще,2451,689
когато,1912,700
което,1758,702
докато,1333,708
който,1726,689
по,1612,688
бяха,2266,651
малко,1452,664
я,2059,633
как,1735,630
нещо,1571,621
ги,1657,618
им,1802,600
този,1189,612
са,1487,600
трябва,1651,585
където,1246,593
очи,1072,579
така,928,577
каза,2046,545
само,1188,567
малка,1140,568
със,1175,563
винаги,1311,557
през,1232,547
какво,1377,536
тях,941,526
започна,1187,519
имаше,1088,511
още,1041,512
там,857,516
него,964,513
слънцето,1130,501
света,1040,494
всичко,855,498
може,954,488
име,646,492
ти,1339,467
нея,838,474
живееше,623,469
истории,916,452
аз,1343,439
толкова,917,438
всеки,715,433
сякаш,1074,418
сърцето,851,422
себе,733,425
видя,954,415
всяка,723,418
попита,968,409
заедно,816,413
защото,717,415
има,830,411
своите,721,402
небето,787,397
цветя,779,393
знаеше,799,388
тази,679,388
очите,629,389
малки,645,388
гората,1582,362
приключения,714,383
сред,588,385
неща,811,375
нови,709,376
хората,1133,363
приятели,870,370
път,609,377
съм,887,366
около,568,371
светлина,687,367
радост,600,369
отново,668,367
време,566,367
другите,664,362
обичаше,539,365
ли,732,359
място,628,359
малък,532,361
тези,588,356
все,562,351
глас,483,349
под,566,346
пред,543,344
над,645,341
бъде,543,342
отговори,732,330
зад,484,336
деца,635,330
усмихна,534,331
тогава,534,331
историята,626,325
селото,1211,308
ако,509,327
голяма,539,325
децата,1094,306
никога,464,322
започнаха,531,317
други,490,317
няколко,552,315
свят,667,311
вече,505,311
дърветата,570,309
своята,498,310
й,1097,293
ѝ,1381,281
голям,422,303
намери,501,300
просто,460,301
можеше,503,299
сърце,532,298
земята,539,297
пътя,526,294
то,559,293
сега,447,295
внимателно,465,294
животни,609,288
повече,450,292
във,470,291
лъчи,499,290
тайни,530,289
нататък,331,293
сила,480,288
дърво,515,286
могат,409,287
из,426,283
красиви,424,277
преди,381,277
реши,544,272
момент,379,276
пълна,401,275
между,345,276
стана,358,274
ни,443,269
живота,463,268
част,428,265
била,902,250
всяко,431,263
дни,369,263
усмивка,375,259
стара,367,258
природата,563,251
били,658,248
ми,439,254
продължи,374,255
село,417,253
отвори,393,253
приключение,410,251
без,349,251
цветове,430,246
погледна,381,247
красотата,430,245
своя,373,246
помогне,388,244
научи,443,242
планини,344,244
разказа,374,243
бил,858,229
звездите,785,231
дървета,338,242
дори,322,241
добре,373,239
зелени,296,241
защо,415,237
върху,335,239
хора,395,237
както,316,239
тайните,469,234
история,378,236
баба,1262,211
върна,334,236
сутрин,277,237
красива,305,236
направи,353,232
същества,419,230
песни,393,230
вода,412,229
при,346,230
бъдат,307,231
любов,342,228
големи,303,229
приближи,290,229
звезди,432,225
здравей,352,226
камъни,343,224
тук,353,222
или,293,219
гора,436,215
взе,309,217
малката,376,215
цялата,309,216
види,331,213
дома,356,212
скрита,274,211
водата,469,205
цветята,467,205
две,253,210
животните,516,202
гори,294,208
разбира,285,208
друг,280,206
забеляза,241,207
листа,334,203
би,353,202
магията,555,196
чу,277,203
носеше,267,203
малките,435,197
планината,572,193
силата,365,198
къщата,364,197
търси,277,198
няма,272,198
вечер,303,197
дядо,1145,173
щастливи,309,195
почувства,308,195
вятъра,300,195
извика,358,193
вътре,285,195
щастие,277,195
красота,305,194
момче,294,194
къде,293,193
край,245,194
различни,256,193
години,249,193
златни,293,190
знаеха,283,190
накрая,226,191
високи,217,191
даде,285,189
трябваше,295,188
обратно,248,189
листата,267,188
разбра,280,187
разказваше,257,186
странно,231,186
магия,313,183
скрито,218,185
малкото,263,183
тихо,242,183
целия,264,182
живот,254,181
добро,273,180
пълен,221,181
дете,251,180
голямо,239,180
точно,249,179
добри,294,177
нощта,400,174
коса,207,179
слънчевите,322,175
нищо,216,177
блестящи,221,176
чувстваше,241,174
места,264,173
живееха,225,174
често,221,174
надежда,282,172
слънце,282,172
щастливо,208,174
ново,224,173
времето,295,171
цветни,242,172
също,223,172
опита,246,171
срещна,260,170
магически,288,168
отвърна,286,168
момиче,243,169
светлината,305,167
края,217,169
дълго,210,169
появи,236,168
сърцата,223,168
излезе,218,168
