word,count,doc_count
র,211802,1546
ত,114653,1546
ন,112402,1546
ল,97715,1546
ক,89081,1546
দ,78113,1546
ব,65605,1546
স,61567,1546
ম,60179,1546
য,53497,1546
প,52903,1546
ছ,48720,1546
খ,41202,1545
শ,37691,1543
গ,37293,1543
ট,35564,1540
জ,30071,1538
চ,22429,1534
হ,22946,1515
থ,18088,1540
ভ,18985,1522
একট,14638,1530
ই,18830,1495
ধ,17669,1493
কর,12420,1491
ষ,12879,1479
আম,12044,1393
বলল,13159,1378
হল,8036,1411
পর,6839,1414
ফ,9145,1381
আর,21561,1290
গল,9869,1373
করল,7907,1382
সব,10137,1365
অন,6594,1386
ড,10619,1354
করত,6877,1374
বন,8840,1343
একদ,3558,1381
ও,5730,1343
মন,6826,1331
এক,5679,1286
দর,4809,1279
নত,4886,1265
জন,5001,1262
ঘ,7180,1227
কথ,4262,1227
খল,3912,1195
এই,3752,1183
খত,3246,1176
ঠ,5566,1159
এব,4734,1158
আছ,3377,1161
কত,2972,1160
য়,22863,995
রত,3082,1124
বল,3438,1115
সত,3711,1078
ণ,4036,1051
উঠল,2478,1041
ঝ,3295,1011
এস,2329,1017
আব,2802,1009
মত,2508,1000
রণ,2225,998
করছ,2293,994
বস,2041,990
চল,2604,967
আমর,3519,948
মধ,2646,941
আক,3200,910
আল,3660,899
তখন,2302,899
হয়,5135,877
আনন,2326,894
ষণ,1852,897
হব,1963,895
আরও,2284,892
রল,1804,893
এল,1947,890
রঙ,2844,861
কল,1916,847
ড়,6692,811
হত,1599,830
ঝত,1629,819
আগ,1537,799
ধর,1599,796
হয,3486,781
তর,1953,792
রব,3233,776
রক,2228,781
রপর,1582,775
করব,1399,757
এট,1536,713
উ,1734,709
রথম,1366,709
জল,2307,702
সম,1860,694
ভর,1167,696
ঞ,1418,691
এরপর,1253,671
সবচ,1081,650
এত,1159,646
লত,1280,642
যদ,1184,642
তব,1095,628
উঠ,1031,628
অব,890,626
ওয়,1702,620
সক,1049,623
পড,1750,616
বলত,1134,615
ৎ,1007,599
যখন,1017,592
উপর,1172,590
লক,1232,587
আজ,1123,585
বর,1010,580
কট,3135,561
সবসময়,1781,570
ধন,1265,571
অস,1014,572
ঢ,935,567
মর,1391,561
আস,953,561
হঠ,887,559
রছ,910,558
মজ,1344,553
হচ,885,556
একস,1121,553
বই,1514,532
এখন,856,536
গভ,1036,531
এগ,893,529
ঙ,1518,521
পথ,1261,519
ইল,878,521
ওয,1222,518
নদ,2399,509
রপ,902,513
ঝলমল,833,512
যব,733,512
আসল,818,511
লল,772,509
রইল,764,509
শক,1019,507
হস,1283,492
সঙ,1179,488
একজন,783,487
বপ,1371,480
টত,930,478
নট,2681,460
বড়,956,472
ঘর,1170,466
চক,706,469
সল,744,468
আশ,722,465
উত,736,457
এভ,565,457
বড,915,454
ৎক,639,449
এখ,813,447
ধরল,656,443
পড়ল,730,440
সন,702,437
শব,841,428
ইত,667,429
রম,1086,420
আসছ,577,423
কব,673,421
পন,965,416
শর,823,410
আ,1234,406
অবশ,518,405
পদ,744,403
কখন,653,399
অভ,829,396
ভয়,1062,392
ফল,999,392
গর,1030,391
ভব,567,391
সময,639,385
রও,555,385
নল,538,385
নয়,578,383
পড়,925,374
রস,672,372
খছ,522,371
অদ,677,364
এমন,500,365
রকম,536,364
অপ,608,362
এর,566,358
লছ,525,356
ধরন,555,353
সময়,562,352
আসত,455,348
লব,811,345
ভয,929,343
ছন,592,340
খব,484,337
গন,658,329
বলছ,452,326
ছব,1056,321
গছ,460,325
উজ,475,320
বধ,473,317
পট,731,314
বছর,459,315
ছপ,653,313
পত,1316,308
আপন,782,311
রশ,454,313
অপর,540,308
নক,674,307
আহ,410,306
চলত,460,305
জঙ,1386,297
যত,491,302
উৎস,401,302
রট,755,299
কম,391,301
ইক,608,295
ইর,464,295
চলল,372,292
আসব,439,290
কষ,430,290
ইছ,383,288
কন,841,284
সবক,394,279
আজও,381,275
ওহ,393,274
নরম,399,269
সছ,372,268
সবসময,453,267
বসল,326,266
উড,776,262
থর,686,262
ষক,495,263
রজ,1292,257
রহ,817,258
রন,531,259
লট,999,254
রহস,805,255
লন,591,252
মল,360,251
আচ,360,251
ইচ,402,248
তখনও,331,245
উদ,332,243
মনট,325,242
য়গ,360,240
মহ,567,238
উঠত,338,239
বত,418,238
লগ,472,234
রদ,436,233
নয,351,233
উড়,488,232
তল,382,231
ধক,408,230
সর,403,228
জড়,313,227
যই,277,224
হয়ত,338,219
ঝল,283,219
জত,339,218
ওই,301,217
গত,302,216
দল,538,214
জম,345,215
ছড়,304,214
একদম,275,213
ষত,401,212
ঘন,375,212
রয়,305,212
ছট,690,209
নছ,272,212
আজক,288,207
চত,390,206
রওন,233,207
ঝর,703,202
কয়,284,205
যন,275,205
অ,288,204
টল,258,201
নগ,307,199
শহর,559,197
বয়,247,199
বয,259,197
সহজ,255,196
এন,238,196
শট,345,194
কঠ,288,194
উচ,260,194
লম,327,192
ওঠ,256,192
কক,292,191
চর,264,188
যম,283,184
যক,303,181
দরক,216,181
মট,286,180
ঞত,272,179
জগৎ,306,177
দয়,287,177
দয,262,177
সমস,275,174
উপভ,223,174
এ,218,174
সফ,257,173
হওয়,245,173
একসঙ,266,169
রমণ,377,168
পছন,234,169
তন,222,168
ঘটন,197,167
উড়ত,528,164
পড়ছ,201,165
যবহ,262,163
মব,268,159
জড,206,159
কয,202,158
এদ,200,158
চয়ই,193,158
গরম,315,156
তখনই,200,156
ময,554,153
আন,219,155
রয,232,154
পড়ত,211,154
রই,179,153
হর,679,148
ধরত,267,150
পশ,390,149
চকচক,214,150
আয়,226,148
জয়,258,147
ছড,198,147
য়ন,193,145
জক,545,141
কখনও,244,142
চন,325,141
যরকম,171,140
একদল,174,139
টছ,167,138
তত,161,138
উঠছ,150,137
উপহ,258,135
দরজ,331,134
অত,193,134
য়ই,153,133
অর,584,129
উৎসব,399,129
পচ,160,130
নব,223,129
ইব,219,129
তক,338,127
দট,197,128
ওপর,187,128
বটগ,399,126
ঘট,342,126
উপ,163,127
কজন,148,127
কতট,147,125
উড়ছ,171,124
জগত,302,123
নও,148,124
কচ,523,121
কগ,183,123
কদ,158,123
কছ,152,123
ঘরট,206,122
ষজন,205,122
জট,200,122
ছগ,188,122
খবর,160,119
অজ,217,118
চড়,202,118
কণ,180,118
শন,333,116
হওয,178,116
সহ,146,115
বদল,142,115
আত,140,115
ঠব,486,110
দছ,171,112
বসব,128,111
তভ,127,111
চড,187,110
পরন,133,110
ঝখ,124,110
বয়স,118,110
জর,161,109
বনট,143,109
মক,186,108
কপ,167,108
ষম,152,108
য়ম,145,108
ড়ত,165,107
সট,266,106
যস,124,107
গজ,193,105
ময়,323,104
ওট,165,105
চমক,116,105
ইন,217,104
সকল,145,104
অবস,116,104
একব,115,104
চঞ,210,103
মগ,168,102
জব,145,101
ণত,140,101
ওর,138,100
যবস,148,99
তট,235,98
সগ,165,98
উপক,148,98
পকথ,272,97
বক,253,97
উল,311,96
বলব,130,97
বনক,124,97
লপ,211,96
গড়,148,96
বদ,123,95
জছ,118,95
এমনক,105,95
টলটল,123,93
আটক,119,93
এইভ,104,93
বছ,111,92
কড়,164,91
রগ,152,91
বসত,108,91
ওখ,105,91
অম,145,90
রভ,341,87
খরগ,506,85
কড,183,87
বলজ,124,87
