word,count,doc_count
ལ་,18228,994
དང་,13663,1016
ཀྱི་,12704,1030
གི་,10397,1012
ནི་,10104,1024
ཞིག་,9884,1023
དུ་,10583,932
དེ་,8099,997
གྱི་,5711,937
ཡོད,6276,885
ཀྱིས་,6607,841
ནས་,5627,872
རེད,7580,759
ཡིན,4378,904
ཁོང་,6209,774
གིས་,4690,818
མི་,4383,806
སེམས་,4432,771
བྱེད་,4210,736
ནང་,3383,773
དེའི་,2753,798
རྣམས་,3728,742
སུ་,2246,760
ཏུ་,2230,750
ཉིན་,2025,758
བཞིན་,2716,707
ཡོད་པ་,1869,738
ཡིན་,2282,710
རང་,3009,645
བྱུང་,2661,661
ཆེན་པོ་,2134,668
སོང་,2993,613
ང་,4125,549
ལ,2290,648
ཚོས་,3418,581
ཡོད་,2127,650
མང་པོ་,1986,657
པའི་,1480,664
གཅིག་,1676,629
ཀྱང་,1589,633
ཡང་,1986,610
མ་,1713,608
གཉིས་,2724,547
དེར་,1599,593
ཞིང་,1461,595
གྱིས་,2005,563
མཐོང་,1587,584
དེ་ནས་,1266,600
བྱས་,1315,576
ན་,1489,565
འདི་,1383,570
མིང་,843,585
རང་ཉིད་,1683,525
འགྲོ་,1539,529
ལས་,1179,536
ཧ་ཅང་,2047,476
གཞན་,1346,496
ཏེ་,1136,503
འདུག,1632,472
དུས་,982,508
ཤིང་,1083,501
ཁོ་,2070,440
བྱས,1293,481
ཚོའི་,1421,464
བཤད་,1406,463
ལམ་,1221,473
དེས་,1095,477
ཁོས་,2378,402
སྐོར་,1223,467
ཚོ་,1369,457
སྐབས་,920,480
དེ་དག་,1288,459
མཉམ་,1133,459
ཤིག་,888,470
ཡོད་པའི་,873,470
བདེ་སྐྱིད་,1878,409
ཞེས་,1116,450
ཏེ,958,455
ངས་,1641,406
གཏམ་རྒྱུད་,1264,427
ཁྱེད་,1848,377
དགོས་,1004,423
བྱས་པ་,808,427
ཚོར་,1161,403
བྱིས་པ་,1404,388
ཟེར,654,429
དགོས,1104,397
ཆུང་ཆུང་,883,406
ཡིན་པ་,843,407
གནས་,728,413
ཡིད་,762,405
ཁྱོད་,1501,363
ཅིག་,697,405
ཤེས་,819,394
རྗེས་,753,394
ཡོང་,866,386
གྱུར་,706,395
བརྩེ་བ་,1239,362
སྣ་ཚོགས་,767,385
བཤད,1203,360
ཉི་མ་,797,369
མིག་,721,367
སྐྱེས་,691,365
བསམ་བློ་,797,358
བོད་,1441,320
ཁོའི་,1191,334
འཚོ་བ་,764,351
དགའ་སྤྲོ་,752,349
ཁྱིམ་,767,347
དགའ་པོ་,829,343
ཐུབ་,653,352
རོགས་རམ་,917,335
སྟེང་,766,343
འོན་ཀྱང་,611,350
བཏང་,643,344
མཁན་,653,341
ན,642,341
ཆེན་པོས་,635,341
དཀའ་ངལ་,846,325
དེ་ལྟར་,605,333
ཁོ་རང་,1004,310
རྒྱུ་,578,333
ལྡན་པའི་,517,334
བརྟེན་,548,331
འདོད་,593,327
དེ,549,329
རི་,947,305
བལྟས་,551,325
བཅས་,608,320
ལྟར་,548,321
མུ་མཐུད་,563,319
མཛེས་སྡུག་,726,309
ཅན་,615,313
ངང་,534,317
བར་,490,319
ཡུལ་,848,298
ནའང་,552,312
དགའ་,545,312
རྩེད་མོ་,909,288
དག་,624,302
ཡི་,676,298
མེ་ཏོག་,1109,273
བྱེད་པའི་,515,306
གཏམ་,667,294
སོ,667,294
རི་བོ་,788,286
ཡིད་ཆེས་,511,300
དེ་རིང་,516,299
ཐུབ,485,299
གནས་ཚུལ་,514,296
བཟུང་,439,299
གྲོགས་པོ་,729,282
དགོས་པ་,498,294
ལོ་,479,294
སྐབས,497,292
དུ,445,292
རུ་,450,291
བྱེད་པ་,463,290
སོགས་,492,288
མདུན་,465,289
ཆེན་,586,282
ལགས,774,271
ཆེ་,418,291
རོགས་,697,274
ཡག་པོ་,537,275
