word,count,doc_count
a,4684,79
ar,3640,79
e,3310,79
an,2301,79
ur,1578,79
o,1494,79
ha,1439,79
oa,1466,77
un,1302,79
hag,1301,79
gant,1265,79
da,1216,79
en,675,79
evel,610,77
ma,487,78
met,415,79
evit,432,78
eus,392,75
war,379,75
eo,377,75
ne,356,75
zo,354,75
ket,403,74
gwelet,277,75
pa,329,74
er,298,70
chom,231,70
lavaras,323,67
ober,166,69
al,267,67
dra,204,67
holl,202,67
em,180,67
mor,486,61
bihan,241,65
all,175,65
c'hoari,266,63
petra,198,64
goude,207,63
voe,254,62
d'ar,189,63
vont,154,63
respontas,149,62
bras,140,62
he,422,56
bet,135,60
deiz,130,60
mont,165,59
e-barzh,197,58
pezh,126,59
vouezh,161,58
traoù,160,58
reas,143,58
tamm,177,57
mat,162,57
setu,219,56
e-kichen,133,57
welas,130,57
tra,118,57
amzer,129,56
dud,167,55
c'houlennas,166,55
vezañ,137,55
glas,188,53
ouzh,106,54
dre,125,53
vuhez,99,53
c'hoant,114,52
vihan,118,51
gwir,110,51
daoulagad,103,51
ret,132,50
rae,109,50
e-pad,122,49
lec'h,116,49
neuze,129,48
den,120,48
zeuas,98,48
vo,96,48
heol,189,46
pe,102,47
kalz,96,47
ken,155,46
anvet,65,47
me,107,46
devezh,101,46
d'an,91,46
penaos,87,46
bezañ,84,46
bep,80,46
fin,74,46
gouzout,98,45
veze,95,45
pep,94,45
gantañ,92,45
evel-se,87,45
re,85,45
gwall,77,45
bez,119,44
tont,87,44
graet,71,44
brav,110,43
dezhañ,95,43
buhez,78,43
hep,63,43
ez,103,42
dour,100,42
e-kreiz,86,42
ganto,71,42
se,62,42
unan,69,41
emañ,63,41
penn,89,40
yaouank,79,40
deuet,70,40
buan,103,39
ul,91,39
kozh,89,39
vez,67,39
ra,60,39
welet,60,39
deus,59,39
seurt,87,38
bremañ,79,38
yeas,69,38
anv,63,38
vefe,59,38
wech,50,38
leun,75,37
bed,67,37
oant,65,37
gavas,51,37
nemet,70,36
gêr,74,35
vras,56,35
doa,55,35
chomas,55,35
diouzh,54,35
tud,73,34
en-dro,65,34
aet,57,34
savas,55,34
din,49,34
gwez,99,33
boued,77,33
ganti,68,33
klask,66,33
doare,54,33
daou,54,33
teuas,53,33
a-benn,52,33
etre,51,33
taol,48,33
blev,43,33
breizh,74,32
ran,55,32
gwelout,53,32
gaout,52,32
kuit,52,32
pelec'h,47,32
bennak,36,32
c'hoarzhin,56,31
grogas,55,31
gêriadenn,114,30
labour,53,31
vat,47,31
dremm,47,31
d'ober,46,31
welout,42,31
avel,76,30
istor,63,30
ya,62,30
gwechall,54,30
lakaat,52,30
piv,51,30
c'hoazh,49,30
goulenn,48,30
eil,46,30
gwirionez,45,30
bloavezhioù,44,30
zistroas,42,30
na,38,30
stagas,55,29
komz,36,29
ti,56,28
ivez,53,28
er-maez,51,28
dindan,45,28
diwar,43,28
nevez,43,28
hini,43,28
sellout,41,28
e-unan,39,28
d'e,63,27
