word,count,doc_count
la,144129,2355
i,115649,2355
va,105065,2337
de,103933,2355
el,85848,2355
a,71690,2355
que,70106,2355
un,54525,2355
amb,49894,2355
les,45274,2353
els,42487,2354
una,39759,2354
en,39436,2352
per,30797,2351
van,31246,2237
es,23575,2346
del,23422,2340
era,19732,2337
al,19063,2340
no,19369,2316
seva,16445,2292
com,14344,2310
més,14366,2304
però,13939,2258
seu,12819,2256
havia,12232,2221
dia,9455,2241
tot,10566,2177
sempre,9427,2093
començar,7891,2099
dir,10113,2060
hi,7035,2092
seus,7737,2046
molt,7896,2019
li,9371,1975
gran,6805,2015
ulls,5722,2026
veure,6495,2004
dels,7631,1982
seves,7296,1987
ser,7384,1982
mentre,4931,2002
és,8314,1944
cada,6754,1965
estava,6294,1972
cap,6309,1957
fer,7207,1907
tots,6239,1865
petit,5891,1864
quan,5058,1876
sol,6513,1846
on,5776,1858
sentir,5132,1839
així,3875,1829
ple,4361,1795
somriure,4831,1771
què,5125,1763
després,4526,1743
si,4111,1735
tenia,3849,1737
d'un,3976,1719
només,3939,1718
cor,5193,1675
fins,3693,1699
als,4366,1683
veu,4078,1686
petita,4966,1670
sobre,4217,1624
eren,3658,1628
mai,3647,1615
lloc,3962,1586
trobar,4177,1582
món,4838,1549
ja,3568,1548
tornar,3396,1545
preguntar,3657,1501
d'una,2832,1513
brillants,2743,1486
entre,3034,1478
altres,3711,1450
ho,3473,1453
cel,4010,1418
vida,3443,1419
tan,2767,1422
cosa,3015,1411
anar,3074,1402
des,2342,1412
mica,3230,1391
podia,2826,1387
d'aquell,1908,1394
feia,2601,1382
colors,3655,1360
plena,2721,1370
explicar,2741,1354
continuar,2561,1351
arribar,2372,1349
aquest,2615,1339
vegada,2342,1334
decidir,2718,1317
llum,4663,1284
també,2361,1314
sense,2314,1297
especial,2306,1295
mirar,2455,1292
flors,4363,1260
pel,2412,1290
això,2625,1280
amics,3837,1254
ara,2426,1277
aquesta,2220,1258
casa,3361,1233
durant,2284,1250
història,3462,1230
arbres,2904,1230
vivia,1668,1241
encara,2076,1216
moment,2126,1211
respondre,2448,1196
sinó,2139,1197
ha,2357,1190
exclamar,2506,1186
semblava,1994,1177
terra,2622,1159
sabia,2154,1165
finalment,1803,1169
vent,3119,1138
força,2387,1147
descobrir,2289,1147
millor,2146,1147
fet,1986,1148
quedar,1900,1134
passar,1760,1126
abans,1750,1116
perquè,1975,1109
parlar,2094,1096
coses,2015,1096
dins,2105,1094
poder,2017,1093
sota,1897,1087
temps,2199,1078
junts,2183,1078
color,2002,1075
uns,1807,1078
alguna,1923,1064
gràcies,1889,1054
alegria,2020,1048
et,2086,1044
felicitat,2336,1037
bosc,6141,973
havien,2233,1035
totes,1721,1037
seguir,1696,1037
suau,1608,1035
aprendre,2104,1025
partir,1404,1033
fulles,2469,1010
nou,1839,1016
allà,1618,1019
ell,1830,1006
nit,2776,987
aventures,2137,994
bé,1813,994
sobte,1485,997
sortir,1583,992
sí,1890,976
camí,2271,969
deia,1493,981
deixar,1473,981
tota,1591,979
posar,1505,980
històries,2381,960
primer,1504,972
brillant,1592,967
petits,1731,962
cop,1594,964
qui,1582,964
volia,1771,956
qualsevol,1386,961
nens,3841,915
ajudar,1848,945
ens,2002,942
o,1456,949
tenir,1451,946
buscar,1729,938
dies,1478,928
estat,1440,927
poble,3871,886
entendre,1473,921
feliç,1821,914
matí,1311,918
agafar,1400,901
convertir,1362,900
potser,1724,893
grans,1394,895
aventura,1755,888
costat,1339,888
aquí,1477,878
altre,1316,870
anomenat,1198,869
animals,2895,840
són,1615,860
tant,1632,856
estrelles,2524,841
cridar,1422,858
ella,1441,854
secrets,1780,847
pot,1388,852
córrer,1453,849
vegades,1390,850
curiositat,1334,849
màgia,2412,831
ocells,1964,838
plens,1187,850
ells,1362,847
donar,1284,848
sentia,1468,839
secret,2013,830
jugar,1843,832
riure,1766,830
res,1265,838
pensar,1387,836
obrir,1247,833
il,1418,830
saber,1252,828
tothom,1505,823
viure,1253,826
aquell,1205,823
petites,1359,820
llavors,1282,818
blau,1953,804
he,1363,811
tu,1401,803
voltant,1165,806
por,1979,791
important,1202,803
muntanyes,1430,799
molts,1237,802
hem,1764,788
part,1215,794
màgic,1825,783
jo,1429,789
moltes,1219,791
em,1434,787
menjar,1567,782
davant,1133,788
fort,1182,787
cabells,1076,787
manera,1148,776
paraules,1605,767
cura,1211,768
nova,1319,764
mà,1187,765
unes,1162,764
pau,6057,682
tenien,1137,758
poc,1864,746
importància,1398,752
compartir,1335,749
molta,1199,750
l'amor,1883,738
mateix,1079,751
ni,1171,748
noves,1268,744
està,1193,742
l'aigua,2038,726
amic,1439,735
gent,1801,725
feien,1065,737
bellesa,1437,729
brillava,1011,730
fa,1092,725
hores,1028,726
d'alegria,996,725
estar,1085,723
estaven,1132,718
vist,1017,719
brillaven,983,713
l'amistat,1465,702
escoltar,1053,708
anys,1012,707
sobretot,1026,705
tranquil,1031,704
fent,981,703
nous,1173,699
podien,1045,699
has,1413,692
l'aire,1033,698
recordar,1023,695
cançons,1510,683
tresor,2734,663
portar,1000,691
prop,987,689
caminar,1073,682
bon,1127,675
vora,1023,674
punt,943,669
riu,2417,639
hola,1112,659
pels,909,661
mans,940,660
forma,1069,657
se,921,658
volar,1816,636
arbre,1118,647
altra,892,648
canviar,1016,642
nena,1274,636
semblaven,848,642
caure,978,639
natura,1570,624
mesura,813,635
meu,982,631
aleshores,851,633
viatge,1462,622
pedres,1271,625
dos,1045,627
porta,1466,618
après,988,622
fusta,1042,621
sorpresa,840,620
màgica,1460,609
final,834,619
aquella,859,618
ets,971,616
somnis,1954,595
us,1168,604
bona,903,607
aconseguir,919,603
mar,2510,577
grup,956,602
ningú,821,602
s'havia,783,602
sentit,788,600
amor,1065,594
gegant,1615,585
darrere,856,596
diferent,809,595
feliços,850,592
veritable,908,591
l'ajuda,846,592
ales,1374,582
ajuda,992,588
passava,742,591
lluna,3263,549
esperant,766,589
rialles,1112,580
jardí,2325,560
omplir,768,584
podem,966,580
primera,756,581
entrar,771,578
pujar,892,575
sóc,910,574
acostar,738,572
jugant,799,571
cara,761,571
verd,1067,564
abraçar,772,568
meravellós,727,568
sé,829,565
pas,745,564
idea,852,557
mare,2125,536
soroll,814,556
somrient,744,552
mirant,727,552
nen,1087,545
ballar,1176,542
sabien,783,544
meva,824,543
valentia,1190,537
crear,1008,537
través,760,541
vivien,708,541
poden,668,541
llegenda,827,536
bondat,1289,528
capacitat,806,535
estona,734,536
fos,671,535
anomenada,614,532
so,828,528
cantar,1078,521
passa,686,525
teu,809,518
música,1779,502
jugaven,707,519
amable,718,518
començava,635,519
branques,871,515
anava,704,516
ben,683,515
teva,889,510
afegir,789,510
observant,651,512
pedra,1406,499
portava,643,511
increïble,624,511
persones,909,506
profunda,640,510
explicava,689,509
tenim,724,506
trobat,767,505
avui,728,505
aparèixer,683,503
saltar,744,502
brillar,685,502
algú,715,501
família,1315,490
estranya,594,501
ensenyar,729,498
alegre,824,496
tristesa,939,494
mira,750,497
criatures,935,492
enmig,607,497
vull,833,493
tarda,634,496
estrany,607,495
explorar,680,492
perdut,857,488
mateixa,650,490
haver,691,489
adonar,611,489
d'en,1222,479
cançó,1582,467
cantaven,626,482
conèixer,701,480
amagat,693,480
assentir,636,480
bonica,757,476
rius,738,476
recordava,612,476
intentar,663,475
silenci,740,473
nosaltres,678,473
estic,633,473
arreu,628,473
vol,766,470
muntanya,1381,457
passat,629,469
fosc,661,466
atenció,571,466
buscant,628,465
créixer,694,463
vell,858,460
núvols,1278,453
veia,595,463
record,657,461
enorme,594,462
mirada,639,461
sembla,652,460
tres,1103,451
llarg,598,458
cova,1755,437
l'aventura,713,451
entusiasme,552,452
principi,598,450
recordant,594,450
festa,1222,439
acceptar,568,447
acabar,566,447
valent,984,440
necessitava,601,445
lentament,561,444
llàgrimes,673,442
aigua,729,440
doncs,598,440
dues,548,438
construir,703,435
l'alegria,764,434
marxar,564,437
alegres,616,436
superar,660,435
observar,572,436
baixar,556,436
vols,567,434
amistat,720,430
aixecar,508,433
pots,627,431
pluja,1205,421
racó,563,431
sent,589,429
sensació,587,429
massa,594,428
l'endemà,519,428
saviesa,664,425
puc,561,425
trist,592,424
diferents,586,424
rebre,579,423
d'amor,633,422
seria,528,423
vermell,789,415
plantes,908,413
aquests,528,419
parlava,581,418
plenes,523,418
mi,543,417
treure,539,417
corrent,510,417
daurada,728,411
té,537,413
demostrar,585,412
agradava,508,412
flor,1531,394
daurat,614,408
formes,613,407
llocs,543,408
melodia,895,402
millors,549,407
intentant,538,407
celebrar,528,407
just,501,407
somni,920,400
maria,3769,353
realitat,715,402
mig,510,405
tinc,541,403
mena,497,402
col,601,400
clar,517,401
moments,569,400
cos,565,398
oh,533,398
home,528,398
canvi,520,398
aquells,513,397
gegants,715,393
d'aigua,601,393
gaudir,539,394
possible,492,394
peixos,1026,384
tocar,644,389
trista,543,390
l'arbre,1365,376
imaginació,798,385
contes,862,382
fosca,596,386
pere,4381,324
despertar,514,387
energia,549,386
encantava,431,387
continuava,473,386
veritat,524,384
vius,506,384
emocionat,476,384
curiosa,465,384
trobava,473,383
dalt,577,380
clara,2455,348
habitants,614,377
resta,489,378
neu,1297,364
forta,546,376
màgiques,831,371
jugava,466,376
segur,490,375
cases,531,372
podria,466,373
fi,427,373
dibuixos,565,370
viu,487,371
foscor,763,366
passió,590,368
llarga,446,370
parar,459,369
profund,515,368
centre,490,367
visitar,484,367
l'ombra,956,359
content,493,366
alta,462,366
preparar,513,365
d'aquesta,425,366
treballar,523,364
d'aquest,436,361
passant,420,361
blaus,418,361
desaparèixer,436,360
feta,460,359
dolça,515,358
rient,447,359
explorant,456,358
xocolata,1302,344
difícil,430,358
sorra,932,349
coneixia,440,357
ràpidament,437,357
llibre,1217,344
conegut,422,356
aquestes,450,355
problema,560,353
mal,515,353
nostre,471,353
respirar,437,353
rosa,1177,340
font,864,344
mirava,434,351
algun,406,351
pares,611,347
perfecte,460,349
pròpia,451,349
jocs,570,347
intel,567,347
suaument,430,349
emocionada,411,349
any,714,342
creant,422,346
atentament,405,346
notar,405,346
ombres,680,340
sabent,413,343
d'or,531,341
volien,447,342
martí,2076,315
cant,572,339
dormir,471,340
cristal,405,341
negres,404,341
protegir,595,337
pensant,403,340
realment,394,340
donava,426,339
tens,418,339
tancar,414,339
l'esperança,573,336
cors,499,337
assolellat,351,339
nostres,447,337
treball,532,334
amiga,467,335
aviat,402,336
contra,453,335
blanc,666,331
cal,431,334
pare,1240,320
roques,546,331
espectacle,418,332
prendre,454,331
comprendre,427,331
recorda,417,331
mostrar,412,331
clau,853,323
som,458,329
ciutat,1035,319
gairebé,392,329
seguia,404,328
dona,525,326
orelles,507,326
mapa,1208,314
antic,468,326
necessitem,499,325
volant,488,325
blanca,470,325
prometre,391,326
negre,555,323
constant,411,325
determinació,440,324
llegir,482,323
platja,1155,312
compartint,397,324
d'emoció,364,324
generació,701,318
groc,678,318
llibres,661,318
quina,415,322
ombra,567,319
apropar,375,320
lluny,411,319
regal,530,317
paciència,451,318
noi,569,316
fons,482,317
perdre,403,318
paisatge,431,317
fresca,427,316
marc,3230,270
màgics,575,313
