word,count,doc_count
а,15562,618
хилла,4998,559
ца,5274,546
шен,4905,516
цхьа,3762,529
ду,3616,497
и,2803,474
цхьана,1692,480
цуьнан,2470,437
иштта,1879,455
шайн,2842,403
дика,2131,427
дийнахь,1489,450
иза,1945,426
долу,1502,427
аьлла,1697,415
ша,1838,401
долуш,1461,408
дара,1498,404
хила,1428,404
амма,1521,397
хаза,1574,388
ткъа,1500,389
хьо,1833,375
кхин,1273,394
цунна,1421,385
цара,1465,375
вайн,1727,360
тӏехь,1681,359
цо,1510,361
дог,1250,368
ю,1221,355
цу,1117,354
хир,1073,354
дукха,1056,348
цкъа,878,354
ма,1161,342
уьш,1276,336
дахар,1164,333
деш,901,339
санна,945,336
царна,982,331
вай,1445,312
элира,1513,308
вара,1085,320
со,1264,311
хьалха,986,318
хилар,855,323
ахь,879,322
йолу,750,325
йолуш,726,320
бу,874,312
деза,878,309
чохь,847,302
яра,957,297
хилира,901,299
шена,748,298
дийцар,947,290
дакъа,606,296
лаьцна,831,286
сан,1103,269
суна,1029,271
хьан,723,277
жоп,753,273
тӏе,690,267
хӏара,859,259
хьуна,645,267
хенахь,649,266
делира,713,263
вайна,678,262
хӏун,733,252
цунах,521,260
чӏогӏа,857,240
оцу,642,244
дац,484,250
дагахь,449,249
ву,741,237
шайна,527,242
хӏума,557,234
шаьш,568,227
дӏа,491,230
жима,450,231
цӏе,444,231
йиш,431,231
лела,523,225
дира,441,223
да,619,211
дийца,465,215
тӏаьхьа,489,214
дерриг,583,208
цхьаъ,640,203
де,334,212
хаа,359,209
дахарехь,686,192
дала,369,204
лелаш,425,201
гӏуллакх,624,192
дош,352,200
йоккха,341,197
цуьнга,407,193
дан,496,189
хаьттира,447,190
доккха,321,195
дина,368,193
дийцира,396,191
цхьаьна,691,179
хилча,432,189
са,386,189
къамел,448,183
хууш,367,185
бара,448,180
бераш,546,175
хуьлу,462,178
бакъ,397,180
хала,306,177
лело,368,172
къона,316,174
тӏера,297,174
хуьлуш,395,170
дар,344,172
нийса,357,167
даг,297,169
дахаран,435,163
хьекъал,338,166
дола,320,166
хиларх,277,167
йина,294,166
даггара,316,165
дацара,253,167
муха,344,163
ваьлла,387,159
бохуш,305,162
стаг,354,158
доцуш,278,161
волуш,297,160
лелор,295,158
лууш,286,155
кӏант,384,150
хьоьга,301,153
ойла,279,153
дерг,288,152
чу,308,151
хаьа,226,154
волу,288,151
церан,326,147
болу,267,149
хан,313,147
шега,246,149
болуш,243,149
хӏинца,284,147
кху,230,148
ас,327,144
йолчу,427,140
сайн,270,146
къамелаш,369,141
дуккха,259,144
хиллачу,477,135
гӏо,472,135
тӏаккха,335,140
соьга,241,142
лелош,235,142
хьажа,229,142
латта,240,141
хиллера,240,140
даьлла,254,139
хӏора,329,135
юха,215,139
дера,197,139
я,243,137
долчу,280,135
цул,203,137
самукъане,300,133
даим,271,134
тхан,263,134
шун,236,134
даха,199,135
хилларг,288,131
хӏунда,236,132
маьрша,288,129
дага,186,131
ӏаш,289,126
хьайн,217,128
вахара,351,122
массо,245,124
лаьтташ,208,125
цуьнца,167,124
хаттар,214,122
цхьан,236,121
ваха,279,119
йоцуш,189,122
лерина,187,121
кхочуш,207,119
яц,176,120
адамаш,254,116
цигахь,192,118
жимачу,183,118
хазалла,297,112
лелар,171,117
нана,355,109
беш,234,113
дезар,147,116
ахьмад,621,97
цӏа,231,112
дора,172,114
кхечу,212,112
веза,178,113
малх,198,112
дерриге,243,110
лелара,188,112
хаьара,202,111
маца,139,113
дийцарш,289,107
лара,157,112
аьлча,201,110
хабар,220,109
дезаш,250,107
чуьра,366,102
делла,188,109
гира,278,105
гӏуллакхаш,224,107
лаьтта,190,108
дин,155,109
хӏумнаш,177,108
деган,192,107
дийр,184,107
юкъахь,200,106
ницкъ,243,104
тахана,192,106
вахар,214,105
хьалхара,234,104
декъал,152,107
гора,176,106
йоӏ,225,104
наха,192,105
нах,183,105
хуьлура,232,103
къонах,252,102
салам,204,103
шина,169,104
гӏийла,190,103
хӏумма,188,103
лаам,156,104
делахь,148,104
хиларна,170,103
безам,241,99
до,166,101
хеташ,160,101
даима,174,100
мел,189,99
доьзал,248,96
даьхна,167,99
юьртахь,200,97
дехар,146,99
шех,142,99
дийна,164,97
ши,163,97
йоккхачу,156,97
дешнаш,166,95
боккха,140,96
бахьана,129,96
хезира,127,96
хьун,202,93
лаца,123,96
кхеташ,200,92
хаар,123,95
лаьттара,119,95
болх,187,92
ойланаш,203,91
самукъа,218,90
цаьрца,239,89
шу,213,90
боцуш,187,91
хи,258,88
деха,155,92
ахьмада,482,79
еза,121,93
дуьйна,138,92
хета,137,92
хетара,131,91
кхета,128,91
гуш,140,90
тхо,212,87
шортта,192,87
дагар,141,89
гӏиллакх,180,87
догӏа,266,83
хаам,112,89
дуьне,184,86
хьоме,181,86
дагна,112,88
бӏаьргаш,158,86
кхетам,179,85
доцу,122,87
волчу,118,87
хӏуманаш,260,81
хуур,125,86
барт,149,85
царах,121,86
хьожуш,113,86
хьекъале,156,84
дай,151,84
лаьа,125,85
лазар,134,84
хьокъехь,159,83
хезна,117,84
мотт,186,81
баха,110,84
бакъо,122,83
беза,112,83
болчу,108,83
дега,104,83
гӏерташ,120,82
шиъ,136,81
дайн,181,79
адамийн,126,81
гӏертара,135,80
дича,109,81
хиира,134,80
адамашна,166,78
кхи,140,79
цундела,110,80
къоман,256,74
хилийта,109,79
лелла,109,79
хетар,126,78
декъа,126,78
тӏехьа,176,76
царех,125,78
йиша,124,78
хаз,123,78
берашна,170,76
шера,123,77
аьтто,172,75
хьехам,115,77
куьг,108,77
цера,125,76
юкъара,98,77
боху,121,76
тера,133,75
хира,104,76
хазар,98,76
хийца,123,75
лаьмнашкахь,148,74
хьала,118,75
оьшу,115,75
дикка,138,74
деша,110,75
яьлла,105,75
дуьхьал,100,75
ишта,98,75
оьшуш,117,74
дас,165,72
дада,163,72
таса,135,73
ӏалайкум,129,73
хазачу,154,72
зуда,125,73
шегара,98,73
хьехар,86,73
хьоьжуш,134,71
даимна,154,70
шеш,100,72
ларам,94,72
арахь,92,72
кхетар,87,72
цаьрга,104,71
йа,127,70
хьожура,95,71
барам,94,71
бахам,117,70
хьай,117,70
хьа,142,69
хилара,91,71
ва,140,69
дагчохь,114,70
хиларан,87,71
бира,86,71
ахьа,107,70
ладогӏа,101,70
шуна,126,69
луш,245,64
доггах,92,70
бохург,88,70
доьзна,87,70
бан,86,70
хьал,136,68
олуш,104,69
таро,114,68
дуьйцуш,161,66
хьолехь,110,68
йист,82,69
сирла,123,67
ма-дарра,93,68
ахьмадан,239,62
ӏаьржа,188,64
вала,84,68
дуьххьара,82,68
саг,107,67
дуьйцур,106,67
йола,103,67
йира,76,68
дийцара,93,67
кепара,116,66
доьхна,88,67
еш,86,67
яцара,82,67
мохь,96,66
денош,96,66
бахар,90,66
диц,78,66
гина,97,65
дахарх,119,64
лерам,117,64
ӏамо,117,64
гӏертар,116,64
кхерам,112,63
долаш,82,64
бац,82,64
шайга,152,61
ассалам,72,64
воккха,95,63
коьрта,83,63
дехьа,106,62
берийн,156,60
вац,76,63
доккхуш,72,63
кхача,97,62
яха,122,61
хилам,96,62
дегнаш,88,62
ламанан,113,61
даккха,81,62
хьайна,80,62
ала,78,62
баьхна,77,62
тӏаьххьара,76,62
схьа,99,61
къайле,108,60
къа,80,61
даккхий,73,61
далар,70,61
уггаре,138,58
хили,82,60
дахара,80,60
дуьненахь,105,59
кхуьуш,79,60
доладелира,77,60
сий,151,57
мега,75,60
ду-кх,75,60
куьйгаш,73,60
жимма,98,59
дик,93,59
хиъна,90,59
ирс,136,57
гӏала,110,58
аьллера,83,59
шай,81,59
дезара,76,59
дийцарехь,101,58
нанас,126,57
хийла,96,58
динан,70,59
дуй,69,59
баьлла,69,59
ӏамош,94,58
тоьхна,89,58
кӏезиг,78,58
гӏерта,77,58
дешар,102,57
бина,95,57
жиманиг,91,57
дикачу,88,57
тӏехула,113,56
дацар,80,57
догӏуш,78,57
волавелира,102,56
дагара,72,57
беран,97,56
лоьхуш,88,56
дуьйцура,82,56
лар,72,56
гӏан,96,55
цун,115,54
денна,80,55
къинхетам,103,54
хӏаъ,96,54
сийна,171,51
талла,94,54
цуьна,92,54
юкъа,65,55
шайх,90,54
шийла,215,49
ассаламу,62,55
бераша,108,53
эхь,81,54
ден,81,54
меттехь,77,54
буьйса,127,52
гӏиллакхаш,198,49
хазчу,71,54
нахана,89,53
хабарш,137,51
вар,83,53
нохчийн,181,49
долучу,76,53
цӏена,74,53
къам,74,53
мегар,71,53
дайна,69,53
дацахь,68,53
тахан,93,52
шеца,63,53
олура,81,52
хьожа,78,52
гӏуллакхан,74,52
къена,71,52
хиллар,94,51
дер,67,52
къегина,64,52
доттагӏ,86,51
сацам,60,52
шарахь,59,52
хетарг,78,51
сийлахь,148,48
бакъду,70,51
шеко,68,51
декъала,67,51
йоцу,66,51
кхиа,65,51
ло,65,51
сайна,64,51
доьхуш,89,50
хатта,61,51
цуьнах,61,51
догӏу,59,51
яла,58,51
долара,78,50
доха,70,50
дешна,69,50
доцург,62,50
зулам,110,48
доттагӏалла,132,47
керла,106,48
бен,80,49
бакъдерг,98,48
диканиг,96,48
къаьсттина,95,48
ла,69,49
адаман,67,49
эца,66,49
кӏеда,65,49
хало,65,49
бохура,85,48
цӏахь,54,49
лаха,79,48
дуьненан,102,47
некъ,75,48
кхаьчна,72,48
болар,69,48
дилла,66,48
те,65,48
даиман,64,48
лаара,63,48
везаш,62,48
доккхачу,62,48
доттагӏий,87,47
теша,59,48
хьарам,58,48
дахь,57,48
лаар,57,48
дийзира,55,48
хӏордан,248,40
хьоьжура,70,47
тӏаьхьара,70,47
леладора,67,47
кхечира,65,47
гӏалат,88,46
бахара,62,47
бала,62,47
дуьхьала,60,47
кхоьллина,132,44
доьзалан,132,44
хьеха,56,47
йора,51,47
суьрташ,100,45
вахана,125,44
кӏанта,70,46
цхьацца,70,46
шо,68,46
лаьмнаш,92,45
тайна,64,46
хиллехь,61,46
тешна,61,46
адам,85,45
хьуьнан,108,44
вайх,57,46
нагахь,56,46
аьтту,80,45
боха,54,46
леррина,73,45
елла,72,45
лаьттан,96,44
берриг,95,44
хӏу,144,42
адамашца,68,45
даар,68,45
ӏама,66,45
дохуш,64,45
аьхка,88,44
ирсе,87,44
ӏалаш,59,45
стага,83,44
велла,79,44
гӏайгӏа,72,44
далла,69,44
меттиг,64,44
дуьнен,61,44
оха,61,44
хьаьжна,57,44
кхузахь,54,44
дела,54,44
махкахь,75,43
боцу,47,44
вайга,66,43
ловзуш,63,43
юккъехь,61,43
аьлчи,57,43
оьзда,57,43
дийцина,55,43
цуьнгара,55,43
эцна,54,43
хилларш,54,43
хастам,79,42
оццу,53,43
кхолла,77,42
ладам,49,43
деношкахь,71,42
дайша,68,42
буса,66,42
аз,66,42
кхоьруш,65,42
уггар,64,42
къонаха,62,42
лан,59,42
аш,58,42
го,57,42
кхетта,57,42
дегара,56,42
гӏур,55,42
ловза,78,41
мохк,127,39
кхетара,51,42
дикалла,75,41
воцуш,47,42
ӏамор,68,41
хьасана,293,32
машар,62,41
хьийза,62,41
вайша,60,41
ваша,59,41
хьана,59,41
олу,55,41
доьшуш,53,41
даьккхира,52,41
хьашт,52,41
гойтуш,100,39
ӏалам,74,40
йоллу,48,41
хеза,48,41
чекхделира,47,41
декхар,46,41
машен,63,40
езаш,62,40
лера,59,40
герга,56,40
хаттарш,52,40
гайтира,51,40
сурт,75,39
лелийра,49,40
ӏаьнан,72,39
хезаш,46,40
леладо,45,40
гергара,44,40
тӏом,91,38
