word,count,doc_count
a,137322,2416
se,135053,2414
na,42455,2414
s,37470,2395
v,32243,2412
to,28952,2374
že,27281,2399
si,26825,2363
je,23651,2369
ale,21764,2385
do,17410,2374
když,13481,2361
z,14019,2323
jako,12687,2303
co,13863,2248
o,14146,2232
byl,12327,2263
tak,10762,2280
po,11548,2238
byla,10626,2209
k,9271,2229
jak,9853,2141
i,11100,2074
které,8023,2127
který,7154,2091
za,7259,2071
kde,6832,2042
ho,9217,1964
která,5765,1990
už,8286,1922
bylo,6126,1949
jednoho,3727,1974
od,4012,1893
jeho,8073,1814
jen,5196,1822
aby,5285,1776
den,5150,1762
by,4981,1754
ji,6553,1679
něco,4450,1707
ve,4399,1692
pro,4354,1682
malý,3867,1666
mu,6219,1602
své,3939,1630
jsem,5564,1600
tam,3956,1620
každý,3587,1582
dobrodružství,5442,1549
dne,3029,1587
malé,3042,1576
až,3062,1545
slunce,3714,1521
měl,3769,1498
ještě,3458,1503
řekl,4301,1449
oči,2755,1476
pak,3337,1457
řekla,3970,1434
jim,4209,1421
chvíli,3114,1425
cestu,3620,1415
lesa,4859,1393
té,2173,1411
kolem,2808,1392
být,2837,1389
u,3122,1383
ti,3561,1366
nikdy,2617,1377
jí,4341,1346
její,4155,1339
ní,2952,1348
byly,2832,1345
bude,2820,1340
malá,2594,1341
úsměvem,2557,1339
než,2371,1339
měla,2681,1329
ty,2751,1324
teď,3034,1298
jejich,3223,1294
tu,2734,1300
ten,2880,1297
najednou,2563,1300
pod,2624,1298
všechny,2683,1294
nakonec,2448,1293
další,2778,1264
začal,2729,1256
jsi,3101,1249
jednou,1945,1268
ze,2200,1261
jsou,2572,1244
všichni,3147,1232
tom,2348,1244
plný,2077,1239
něj,2409,1226
protože,2371,1226
před,2226,1225
já,3011,1206
všechno,2261,1212
ke,2275,1209
trochu,2533,1204
radostí,2218,1209
sebe,2133,1210
stromy,2310,1189
jménem,1478,1201
byli,2755,1166
najít,2318,1167
má,2194,1168
srdce,2560,1146
začala,2335,1145
svou,2126,1145
zpět,2157,1142
moc,2169,1131
cesta,2692,1120
dál,2125,1128
lese,3062,1093
doby,1439,1114
ne,2119,1090
radost,2542,1066
stalo,1905,1074
společně,2088,1070
plné,1729,1072
zase,2257,1058
kteří,1818,1057
není,1735,1052
nad,2061,1041
domů,1915,1023
krásné,1663,1026
les,3016,1001
zeptala,1909,1012
první,1557,1018
velké,1735,1014
zeptal,1895,1007
usmála,1903,1006
svůj,1708,1009
plná,1558,1010
usmál,1729,1004
mi,1976,997
děti,4896,939
celý,1525,998
místo,1733,990
také,1807,986
