word,count,doc_count
и,45870,808
въ,14491,747
о,4907,742
не,4573,721
на,4336,722
но,3316,711
къ,3404,599
по,2184,615
его,3323,565
же,3828,555
съ,5070,529
а,2846,539
да,2554,498
что,2057,467
за,1169,457
во,1376,442
бѣ,3046,400
се,1471,422
ихъ,1419,385
онъ,2157,372
отъ,1219,379
ты,1285,360
они,1818,344
то,1008,358
в,2293,327
до,780,344
ему,1015,339
яко,1697,316
ти,1910,312
с,1140,313
имъ,744,305
есть,879,297
я,1264,289
все,831,287
азъ,1324,278
ни,740,282
сѧ,1835,262
со,626,280
ли,768,273
день,436,277
рече,1249,259
видѣ,750,266
люди,800,264
ми,759,255
томъ,478,256
сердце,553,252
бо,1036,243
свои,473,248
та,1096,237
от,686,242
путь,649,240
к,572,241
ко,1036,229
тъ,1173,224
си,863,228
изъ,428,230
она,825,223
свою,368,229
дни,337,227
мъ,1434,207
како,628,219
гдѣ,459,221
бога,624,218
у,519,219
тако,515,218
мы,514,211
радость,409,212
имя,349,211
любви,437,208
радости,324,205
сердца,340,202
много,460,197
хъ,1405,180
какъ,579,194
земли,341,195
всегда,406,193
вы,487,190
дѣ,1413,172
ю,698,183
любовь,405,188
е,844,180
тогда,312,189
всѣ,477,186
солнце,308,188
вѣ,1228,169
их,411,182
бы,508,180
иже,974,170
і,905,168
го,683,171
него,291,177
ша,905,166
именемъ,355,174
ше,1072,161
є,1319,156
пути,350,173
тѣ,539,169
слова,364,171
кто,298,172
градѣ,353,171
землю,286,168
нъ,570,161
сѣ,529,161
нимъ,269,165
когда,364,163
свое,258,164
своихъ,257,163
бысть,399,159
добро,302,159
лѣ,784,150
своего,300,158
суть,340,157
ви,566,152
старецъ,665,150
жили,292,156
были,371,154
очи,235,156
й,608,148
былъ,395,151
ста,563,148
единъ,310,151
нихъ,247,151
богу,414,148
добръ,333,149
свой,232,149
лъ,611,142
дѣти,601,142
ра,655,140
силу,283,145
время,273,145
того,189,145
вь,426,140
велика,222,143
егда,313,141
лю,889,130
ее,316,140
старца,300,139
нѣ,393,137
нача,436,136
свѣтъ,433,136
ѡ,818,129
своемъ,236,137
зла,284,136
было,224,137
сей,350,134
мѧ,331,134
ди,486,131
людей,300,134
дъ,390,132
мои,244,132
богъ,401,129
как,373,129
ла,518,125
намъ,226,130
при,312,128
де,358,127
добра,244,129
такъ,281,128
гласъ,268,128
нему,202,128
тебѣ,252,126
сила,192,127
нє,460,122
сть,457,122
для,224,126
ꙗ,1007,112
еси,328,123
души,192,125
небо,189,125
те,236,124
градъ,336,122
миръ,252,123
мѣ,360,121
рѣ,410,120
сего,182,124
зъ,476,118
ва,437,118
ибо,266,121
мно,344,119
вся,171,122
будетъ,263,119
только,194,120
великъ,174,120
ма,434,115
своимъ,195,119
ка,357,116
ѧ,405,115
своей,176,119
ея,328,115
слово,258,116
была,214,116
из,191,116
мудрость,224,115
ще,276,114
немъ,157,116
жє,425,111
жизни,177,115
вамъ,225,114
слава,187,114
это,229,113
гла,448,108
он,322,110
нь,246,111
себѣ,158,112
мой,213,111
горы,199,110
са,338,107
долго,161,109
тебе,205,108
ся,312,106
птицы,174,107
аще,218,106
мꙋ,421,102
стъ,218,105
мудрости,217,104
жизнь,155,104
где,188,103
мо,267,101
одинъ,189,102
тебя,189,102
видѣти,209,101
мир,153,101
подъ,149,101
тайны,202,100
пѣ,393,96
вси,221,99
ки,238,98
селѣ,217,98
тамъ,143,99
гъ,230,97
надъ,153,98
лѣсъ,254,96
вели,246,96
началѣ,106,98
сталъ,239,95
небеси,142,96
мира,131,96
ей,173,95
свѣ,394,91
помощь,163,95
ть,218,94
домъ,145,95
глаго,291,92
чтобы,215,93
сє,262,92
ши,234,92
силы,157,93
дꙋ,420,88
быть,176,92
жи,207,91
еще,174,91
дня,113,92
видѣлъ,267,89
бе,206,90
мире,149,91
чи,186,90
сла,257,88
землѣ,199,89
себе,136,90
ней,123,90
мое,162,89
сꙋ,384,85
сердцемъ,136,88
бѣаше,672,78
ї,579,79
себя,113,87
вода,161,86
глаголаше,161,86
иди,155,86
цѣ,207,85
душа,119,86
два,100,86
хꙋ,486,79
сказалъ,371,81
той,137,85
стра,303,82
тѧ,188,84
дє,211,83
юноша,196,83
кѡ,468,78
ними,103,84
зло,176,82
чудеса,185,81
твои,127,82
великое,124,82
помощи,120,82
камень,230,80
младъ,107,82
живяше,106,82
васъ,162,81
отвѣща,162,81
часто,105,82
света,160,81
ло,210,80
воды,141,81
ѿ,251,79
сти,126,81
всѣмъ,178,80
помочь,175,80
всехъ,154,80
града,163,79
добрѣ,161,79
всѣхъ,157,79
имѧ,154,79
га,146,79
аминь,84,80
ръ,254,77
своими,113,79
насъ,110,79
три,163,78
лѣса,163,78
бяше,163,78
радостью,93,79
предъ,148,78
имѣаше,202,77
щи,143,78
мне,131,78
имѣ,187,77
звѣзды,222,76
всѧ,214,76
бѣше,259,75
сердцѣ,142,77
ве,188,76
часъ,112,77
так,108,77
великомъ,96,77
есмь,182,75
мнѣ,124,76
прииде,231,74
который,170,75
рѣки,124,75
хо,230,73
доброту,112,75
своему,97,75
сь,135,74
че,244,72
лѣсѣ,244,72
добры,129,74
горѣ,127,74
про,118,74
ны,118,74
красоту,116,74
доброта,103,74
дѣла,152,73
любилъ,138,73
сло,244,71
началъ,176,72
ꙋ,284,70
печали,113,73
леса,155,72
однажды,96,73
нощи,96,73
тꙋ,204,71
видѣвъ,239,70
рꙋ,182,71
стали,124,72
солнца,101,72
сто,137,71
бѣша,189,70
сии,122,71
ѥ,289,68
яже,227,69
живяху,111,71
твори,110,71
видя,110,71
молитвы,109,71
якоже,150,70
другъ,149,70
воду,135,70
которые,132,70
свет,118,70
гра,211,68
бꙋ,261,67
имена,87,70
словеса,171,68
нꙋ,166,68
тотъ,104,69
своя,101,69
ча,155,68
зи,149,68
пѣсни,195,67
село,137,68
царь,363,64
любо,190,67
зна,128,68
моя,108,68
тѣхъ,106,68
великой,84,68
всемъ,119,67
нїе,172,66
найти,108,67
мя,106,67
меня,102,67
странѣ,102,67
кꙋ,200,65
небеса,86,67
люби,136,66
сия,123,66
благодать,104,66
душу,93,66
слы,147,65
им,121,65
шли,111,65
твое,96,65
ѻ,262,62
своих,90,65
ца,202,63
повесть,86,65
могу,134,64
ха,120,64
жити,173,63
тя,113,64
снѣ,112,64
песни,150,63
благъ,143,63
любовью,83,64
радъ,135,63
всю,76,64
му,131,63
тьма,129,63
гда,119,63
благо,117,63
па,153,62
ща,94,63
или,77,63
дамъ,113,62
жить,107,62
быша,100,62
доброе,92,62
ѣ,130,61
господа,108,61
вместе,103,61
стѣ,86,61
долженъ,136,60
чадо,192,59
глагола,135,60
творити,118,60
господь,112,60
аше,222,58
єго,151,59
птицъ,94,60
земля,90,60
твоя,87,60
любили,119,59
д,214,57
чудо,100,59
реки,93,59
безъ,87,59
великая,82,59
кра,130,58
друга,112,58
малъ,96,58
уже,94,58
вꙋ,148,57
светъ,144,57
даръ,143,57
твою,83,58
конца,78,58
дома,77,58
всем,73,58
под,71,58
гѡ,223,55
дела,105,57
ги,94,57
велики,88,57
печаль,86,57
цветы,86,57
нꙑ,139,56
великий,82,57
был,82,57
моли,136,56
мь,134,56
сквозь,77,57
ры,130,56
там,72,57
лѣсу,128,56
б,232,54
словно,116,56
ри,114,56
царя,165,55
вє,161,55
шѧ,148,55
иванъ,541,48
лꙋ,141,55
зрѣ,82,56
собою,69,56
начали,124,55
лесу,118,55
мудръ,106,55
злато,101,55
бл,154,54
сво,93,55
ро,147,54
благодати,87,55
тобою,85,55
лишь,79,55
славу,76,55
бъ,128,54
великую,70,55
жилъ,70,55
гласомъ,64,55
тихо,64,55
силенъ,108,54
чловѣкъ,219,52
хомъ,99,54
живя,83,54
земле,79,54
помни,73,54
радо,118,53
сы,111,53
можетъ,109,53
игра,106,53
цвѣ,217,51
мнози,87,53
жила,81,53
страхъ,78,53
слыша,76,53
сие,74,53
сїѧ,130,52
стояше,67,53
страха,59,53
ре,167,51
чꙋ,162,51
ъ,104,52
далъ,102,52
сердци,100,52
цъ,99,52
между,92,52
хра,142,51
мѣстѣ,76,52
дне,69,52
всей,68,52
небу,65,52
всего,65,52
гꙋ,121,51
бла,106,51
дѣло,105,51
коже,161,50
речє,154,50
отрокъ,152,50
господи,87,51
времени,80,51
том,74,51
брата,127,50
мѣсто,70,51
хочу,125,50
ꙗко,291,47
мало,62,51
ба,172,49
буду,94,50
ду,89,50
имаше,84,50
будутъ,82,50
цвѣты,81,50
благослови,81,50
милость,77,50
ангелъ,128,49
память,69,50
слꙋ,117,49
бра,115,49
близъ,57,50
нїѧ,112,49
услышавъ,165,48
множество,93,49
видѣли,141,48
щє,82,49
могъ,78,49
птица,132,48
счастливо,73,49
дому,65,49
отца,113,48
всему,56,49
поля,56,49
пока,56,49
книгу,112,48
дети,112,48
врата,109,48
дости,101,48
книга,99,48
молитву,98,48
хлѣбъ,97,48
пти,149,47
которая,91,48
людьми,86,48
пошли,84,48
теперь,77,48
нощь,70,48
очима,69,48
мысли,66,48
глаза,63,48
перед,56,48
ь,103,47
еже,99,47
детъ,96,47
ѥго,139,46
старъ,80,47
знаю,79,47
тꙑ,127,46
каждый,68,47
слышаше,62,47
сердцах,61,47
звери,117,46
лѣто,60,47
облака,58,47
руки,56,47
дѣвица,110,46
времена,52,47
отецъ,163,45
дость,106,46
свѣта,103,46
тво,96,46
злата,93,46
сказа,92,46
если,77,46
чє,133,45
стала,72,46
велику,69,46
сердцахъ,67,46
сꙑ,179,44
послѣ,65,46
высо,64,46
зналъ,63,46
оно,63,46
поле,63,46
научи,59,46
мирѣ,56,46
добромъ,56,46
ѹ,168,44
з,154,44
духа,94,45
сказала,149,44
духъ,90,45
смь,88,45
днѣ,82,45
слѣ,70,45
старцу,69,45
рѣка,124,44
силою,64,45
доброты,62,45
тамо,61,45
них,59,45
всех,55,45
помо,110,44
сердцем,53,45
врѣ,100,44
виде,99,44
тє,92,44
пꙋ,142,43
демъ,85,44
пошелъ,77,44
еди,75,44
зѣ,75,44
нужно,73,44
лы,66,44
дь,65,44
гору,64,44
кои,64,44
наконецъ,62,44
явися,60,44
ды,56,44
ту,56,44
комъ,54,44
полна,51,44
шє,158,42
луна,100,43
можешь,98,43
плоды,88,43
хѫ,143,42
рѣче,248,40
