word,count,doc_count
yn,77576,1111
y,49435,1111
roedd,32503,1110
i,23745,1107
a,21512,1110
o,13181,1103
ei,13395,1091
ar,13059,1081
ac,13266,1063
am,8500,1085
i'r,7703,1089
ond,5889,1066
yr,9386,1011
oedd,6881,1037
a'r,5413,1055
o'r,4841,1051
un,4043,1057
fel,6245,998
gan,6412,976
eu,6112,976
bach,5624,972
bod,4577,985
wedi,4974,961
edrych,3345,911
iawn,3520,895
i'w,2816,897
mewn,2926,894
wrth,3625,876
gyda,3198,882
dod,2649,884
fod,2799,866
mynd,3720,842
gwybod,2657,850
beth,2694,843
ôl,3108,836
mae,3353,827
sy'n,2636,803
llawn,2412,806
â,2392,800
bob,2421,791
meddai,4446,756
lle,2077,770
hyd,2219,767
gweld,1963,742
rhywbeth,2172,739
hyn,2040,737
diwrnod,1472,741
ni,3437,712
cael,1884,734
yna,2435,715
byw,1649,703
mae'n,2215,694
dechreuodd,2075,693
at,1507,701
haul,1880,694
amser,2079,687
hynny,1372,674
gwneud,1559,664
mae'r,1821,658
fe,2787,644
a'i,1529,659
wneud,1572,655
chi,2474,637
aeth,1547,642
fach,2168,624
atebodd,2873,609
fynd,1330,626
newydd,1745,620
rhaid,1707,615
arall,1262,618
rwy'n,2403,601
fawr,1623,611
nhw,2733,595
hi'n,2740,593
chwarae,2122,599
gofynnodd,1938,593
hapus,1567,596
byd,1910,584
mawr,1350,591
ddod,1227,590
weld,1183,580
nid,1634,570
awyr,1528,568
llygaid,1178,573
hen,2410,552
â'r,1177,568
gyda'r,1097,569
allan,1117,563
holl,1316,559
yma,1190,556
gyda'i,1030,558
meddwl,1283,554
daeth,1207,555
hyfryd,1368,549
felly,1205,544
hwn,1085,544
llawer,1108,539
pan,998,532
yno,1037,527
arbennig,1163,516
enw,869,518
dros,935,514
lawr,1034,510
ddim,1104,507
dydd,1075,505
roeddent,2701,479
fwy,1002,499
hi,1405,486
ychydig,979,492
pob,890,488
gilydd,1067,484
dda,888,486
sydd,1081,483
ffordd,1053,478
iddo,1010,478
gyd,1168,472
mor,945,475
eich,1114,472
gyfer,907,474
hefyd,853,473
hun,853,469
sut,905,468
ben,776,469
chwilio,1228,462
angen,955,458
chi'n,1052,454
dechrau,883,455
na,812,456
hir,780,456
canu,1213,446
ein,1046,443
gallu,907,441
siarad,1172,433
ni'n,1294,431
iddynt,978,435
dywedodd,1151,432
i'n,1032,431
coed,1224,425
o'i,727,432
gwelodd,837,430
gwmpas,713,430
rhyfedd,1033,424
mwy,870,424
gwynt,1109,419
dim,755,424
dweud,1087,416
yw,732,418
fyny,722,418
disgleirio,706,418
edrychodd,883,415
fy,972,413
eto,816,415
eraill,798,413
unrhyw,705,412
chwerthin,933,408
eisiau,882,408
ymlaen,692,409
ganddo,747,408
gwallt,602,410
goedwig,1693,394
helpu,977,404
wyneb,754,401
gael,666,402
bydd,709,400
teimlo'n,1286,387
da,922,391
ymddangos,699,393
wedi'i,761,392
a'u,733,392
dan,705,392
diolch,647,391
dal,637,390
hoffi,836,386
bywyd,922,383
eistedd,593,384
efallai,815,380
diwedd,512,384
glas,640,382
rhan,748,379
rhoi,727,378
plant,1731,360
bore,767,371
coch,811,366
gwyn,920,358
nad,597,361
tu,612,360
rhai,608,358
ag,525,358
barod,573,357
stori,1036,349
uchel,599,351
nhw'n,985,345
wel,668,347
bobl,978,341
môr,1675,331
blodau,1071,338
byth,554,345
gwyrdd,680,342
oed,511,344
ofalus,575,342
gwych,632,341
trwy'r,527,342
iddi,699,338
aros,587,339
ydych,635,338
anifeiliaid,912,334
ddau,779,334
byddai,584,336
pethau,612,333
ym,527,334
unwaith,448,335
dŵr,921,327
os,521,332
dysgu,799,327
meddai'r,873,324
adar,793,323
unig,466,326
pawb,714,321
rydych,688,321
gyflym,482,323
dyma,543,322
ysgafn,515,322
rywbeth,499,320
gydag,544,317
sŵn,840,312
wir,486,317
rhyfeddol,600,315
cyn,449,317
golau,648,312
nos,821,307
anhygoel,567,309
ddaear,610,307
rydyn,865,302
deall,556,306
wyt,617,305
pentref,1129,297
peth,449,306
draws,483,305
gwaith,591,303
teimlo,635,302
lygaid,464,304
hardd,518,302
sefyll,443,303
sêr,1344,289
mi,503,300
falch,478,300
afon,871,294
gorau,503,298
digwydd,475,297
wych,484,296
tywyll,477,295
rydym,766,290
hwnnw,427,293
heddiw,492,290
ffrindiau,700,286
pwy,425,289
gwnaeth,449,285
aur,721,281
yng,440,284
erioed,451,283
ti'n,600,280
llais,515,281
yw'r,404,280
llachar,416,277
gweithio,468,276
rydw,599,273
pe,661,272
ddysgu,546,273
credu,442,272
bachgen,465,270
dwi'n,661,267
debyg,402,270
bethau,442,269
neu,422,269
oherwydd,407,268
antur,648,264
llawenydd,486,263
lle'r,457,262
ti,603,259
hon,392,262
ef,511,259
roi,383,260
adref,390,258
mynyddoedd,689,253
cerdded,367,257
ddechrau,353,257
oes,351,257
pam,403,256
clywed,481,253
ddarganfod,405,254
hoff,389,251
symud,387,251
hanes,573,248
wybod,350,251
gerdded,417,250
blaen,340,251
popeth,403,249
nawr,374,248
ffwrdd,363,247
dawel,342,247
drwy'r,356,246
rhoddodd,367,245
newid,477,242
hunain,355,243
parhau,427,241
cymryd,342,242
daith,409,241
fi,401,240
gwrs,374,239
ydw,429,238
aethant,441,237
gwaeddodd,517,235
pa,309,237
gyffrous,336,236
dyna,330,236
braf,320,236
heb,356,235
ydy,411,234
ddweud,355,233
er,320,233
seren,2684,199
o'u,341,232
fyw,366,231
ifanc,387,230
mam,836,222
galon,378,228
anodd,345,227
fydd,313,227
hwyl,424,225
caru,578,222
mynydd,780,219
ddaeth,312,223
arno,314,222
le,335,220
noson,601,216
hynny'n,286,220
tro,293,219
feddwl,313,216
gofyn,363,215
lawer,284,216
gadewch,324,215
lliwgar,402,213
rhedeg,338,213
erbyn,268,214
rhywun,331,213
honno,305,213
