word,count,doc_count
og,84305,1820
en,46843,1820
at,42320,1819
var,37701,1819
i,35543,1820
de,34903,1813
det,25833,1811
med,25406,1818
den,25086,1818
der,24214,1819
på,23140,1820
af,21721,1819
til,20353,1820
han,30910,1525
et,16778,1771
havde,14522,1802
er,17815,1709
om,13395,1802
sig,13259,1804
så,13747,1791
for,13152,1800
lille,12791,1796
men,12702,1791
som,12151,1800
hun,26057,1461
ikke,11945,1765
sagde,9789,1671
sin,7626,1683
jeg,12442,1560
fra,5668,1692
kunne,6682,1660
ved,5900,1666
dag,5491,1667
ud,6377,1641
alle,7067,1618
op,5720,1615
hvor,5239,1611
da,5082,1585
blev,5136,1550
dem,5532,1532
du,8405,1463
være,4628,1535
hvad,4964,1527
begyndte,4396,1504
ville,4538,1494
efter,4050,1500
over,3935,1494
kan,5284,1433
altid,3874,1445
vidste,3736,1442
ned,4255,1429
stor,3703,1436
sine,3881,1428
noget,4186,1420
har,4801,1399
deres,5162,1383
gik,4098,1403
mens,3571,1383
kom,3333,1388
tilbage,3164,1342
også,3169,1337
se,3384,1325
spurgte,3435,1323
sammen,3510,1304
solen,3184,1297
mere,2999,1298
alt,2926,1293
store,2954,1290
bare,3293,1259
øjne,2565,1272
skal,4094,1235
nu,3064,1255
selv,2708,1254
vi,6317,1156
små,3256,1212
ind,2739,1220
andre,3216,1207
tog,2578,1219
elskede,2548,1218
igen,2889,1203
have,2765,1203
fandt,2651,1186
finde,2747,1181
sad,2248,1191
stod,2374,1185
meget,4355,1136
boede,1638,1174
helt,2410,1148
mange,2807,1139
kiggede,2888,1135
hans,4651,1095
smilede,2440,1141
aldrig,2224,1136
hver,2503,1128
tænkte,2479,1127
hele,2226,1123
skulle,2404,1118
fik,2102,1111
mod,2628,1097
pludselig,1993,1106
ham,3785,1067
lå,2027,1085
verden,2901,1065
fortalte,2405,1073
sit,2264,1067
vil,2607,1048
følte,2656,1043
eventyr,3000,1035
rundt,2169,1043
hendes,3989,1000
lige,2021,1039
ja,2794,1016
dig,2705,1009
her,2231,1019
lidt,2404,1010
svarede,2443,989
hende,3493,965
hen,1867,996
hvordan,2052,976
stemme,1587,985
gang,1719,974
venner,2552,956
ting,1862,966
gennem,1918,962
fyldt,1761,964
godt,1953,951
når,1753,954
fortsatte,1546,947
glad,1965,936
end,1492,945
før,1410,906
hjælpe,2191,888
gå,1536,891
man,1843,884
bedste,1593,889
løb,1828,883
gav,1452,890
gammel,1454,884
kun,1400,880
frem,1537,871
forsigtigt,1691,854
glæde,1871,848
smil,1403,838
hørte,1339,839
set,1404,824
gamle,1902,810
gøre,1516,818
hjem,1558,817
mig,1664,811
råbte,1783,807
tid,1352,811
stort,1245,812
nikkede,1293,809
eller,1303,808
hjerte,1639,797
denne,1302,800
måske,1613,791
hvis,1245,794
navn,1156,794
nye,1490,783
sted,1392,784
skinnede,1163,777
åbnede,1188,776
under,1393,769
stille,1393,765
skoven,3444,720
stadig,1229,762
klar,1198,748
ven,1423,728
lærte,1508,726
min,1411,718
blive,1048,721
sang,1899,701
nogle,1286,711
besluttede,1085,707
blevet,1068,707
satte,973,703
pige,1242,697
hinanden,1287,685
væk,1134,688
omkring,963,690
fuld,1035,685
smukke,1246,680
grinede,1121,679
os,1243,675
næste,972,680
glade,1196,674
sprang,1046,677
endnu,1016,677
komme,992,675
himlen,1210,667
luften,1029,670
bag,989,670
god,1120,659
siden,944,662
langt,966,655
fundet,1197,650
blomster,1317,646
højt,933,650
endelig,872,648
vinden,1531,632
dyr,1469,632
legede,1088,640
historier,1225,634
sidst,916,639
jo,1331,630
mor,3034,593
grønne,1007,633
udbrød,1045,625
ingen,969,626
øjnene,953,620
farver,1265,613
sådan,821,622
fantastisk,880,617
fulgte,835,617
dagen,928,612
lyttede,893,608
fløj,1358,595
lang,807,605
morgen,862,603
lange,895,602
hoppede,943,600
bange,1098,594
liv,1126,593
mest,880,597
gjorde,807,598
dansede,1034,593
vej,975,594
lys,1235,587
sten,1357,583
mødte,1050,586
fantastiske,1143,583
nåede,893,588
viste,860,586
været,915,584
nogensinde,774,586
dybt,793,584
langsomt,868,580
smuk,936,578
tak,909,577
blå,995,575
lege,1208,570
næsten,811,574
få,888,572
jorden,1030,566
to,874,569
hus,1064,562
din,976,562
historie,1096,558
tage,819,559
spændende,927,554
gerne,862,553
hvorfor,868,552
først,715,554
ude,749,553
selvom,783,552
må,910,548
nok,789,550
par,770,550
anden,802,549
engang,642,552
ad,788,547
hed,794,544
hjælp,917,534
vendte,691,538
hår,753,535
nej,836,532
lavet,797,529
spiste,806,528
del,940,525
stoppede,701,527
træerne,916,522
røde,977,518
dens,942,518
kendt,716,519
høre,789,516
børn,1113,507
øjeblik,680,516
holdt,647,515
hjalp,780,512
inde,722,512
hurtigt,705,510
varm,741,506
forstod,741,503
lært,805,500
træ,801,500
første,664,501
ny,780,498
lød,677,499
fordi,760,495
år,803,494
haven,1574,471
brug,758,488
begejstret,629,487
længere,707,485
faldt,672,485
lagde,641,483
livet,706,480
rejse,1262,467
nogen,630,478
træer,716,475
flere,685,470
varmt,613,469
skov,907,462
brugte,665,466
gode,736,464
huske,683,464
skat,1183,451
lave,799,457
egen,700,459
takkede,736,456
fortælle,713,456
blade,764,454
videre,615,455
bruge,704,453
forskellige,706,452
ivrigt,581,452
hviskede,704,448
hørt,630,446
levede,552,447
gemt,625,442
åh,615,441
hovedet,600,440
andet,550,440
vand,709,436
foran,564,438
kærlighed,824,431
samme,558,432
dage,554,429
trak,541,429
lavede,646,426
tæt,563,426
smukt,573,423
forbi,562,423
venskab,758,414
hej,596,416
ventede,529,417
træt,579,412
hemmeligheder,699,407
lo,531,410
give,600,405
dyb,507,407
stolt,512,405
tror,606,401
måtte,550,402
farverige,566,401
mad,695,397
vandet,874,393
ser,608,397
særlig,547,398
nyt,520,397
varme,595,395
fast,515,396
spise,642,393
uden,546,395
sofie,5317,292
tale,710,391
kommer,544,392
huskede,532,392
bedre,567,391
magiske,1030,381
længe,508,392
mennesker,742,382
stykke,533,385
pegede,515,385
dele,623,380
forsøgte,548,381
astrid,5520,273
velkommen,503,381
hvem,494,381
mand,767,375
udforske,581,377
idé,521,378
snart,493,377
vejen,540,374
lad,537,374
magisk,571,373
talte,540,373
