word,count,doc_count
und,94062,2105
die,74193,2105
sie,50951,2092
der,48209,2105
zu,29977,2105
er,34235,1987
ein,28032,2105
das,26975,2100
war,26733,2098
den,26376,2104
in,24315,2105
sich,22293,2102
mit,19046,2092
von,16424,2096
auf,16328,2095
es,15934,2088
eine,12791,2081
dass,13094,2055
dem,11924,2067
als,11182,2075
wie,11659,2053
einem,10901,2068
an,10742,2068
aber,11700,2039
nicht,10235,2033
so,10073,2034
hatte,9823,2003
im,9407,1982
einen,8132,1991
des,8802,1932
aus,7547,1954
ist,10082,1887
ich,13943,1784
immer,7340,1918
für,6855,1899
kleinen,6329,1910
nach,6595,1890
ihre,9425,1826
sagte,7619,1829
waren,6183,1853
um,6290,1841
was,6411,1820
am,6516,1809
durch,5682,1815
noch,5468,1818
über,5957,1807
nur,4818,1789
einer,4469,1768
auch,4691,1760
eines,3599,1766
vor,4916,1731
seine,7223,1663
kleine,5251,1690
du,8127,1619
wieder,4965,1683
tag,4025,1704
augen,4206,1671
sein,4935,1646
etwas,4480,1647
ihr,6357,1597
wenn,3962,1598
dann,4427,1572
sonne,3769,1560
ihren,4245,1536
ihn,5020,1505
zum,3665,1527
wurde,3610,1523
konnte,3571,1514
wir,7280,1423
voller,2959,1455
wusste,3341,1420
begann,2657,1425
fragte,3496,1405
denn,3087,1403
ihm,3805,1355
zurück,2524,1383
namens,2121,1381
alle,3230,1347
ganz,3592,1338
seinen,3413,1337
sah,3426,1336
doch,3055,1344
glücklich,2489,1352
plötzlich,2338,1345
welt,3972,1288
rief,3139,1270
kleines,2501,1280
mehr,2394,1277
abenteuer,3617,1249
alles,2231,1251
diesem,1808,1260
anderen,2977,1218
weg,2732,1216
kleiner,2367,1215
man,2892,1196
sind,2785,1198
großen,2167,1201
einmal,1601,1213
vorsichtig,2387,1191
erzählte,2541,1179
da,2214,1180
seinem,2689,1160
habe,2503,1150
tages,1737,1167
stimme,2142,1156
stand,1955,1160
ihnen,2327,1148
hörte,1949,1153
sondern,2113,1146
wo,2122,1143
ja,2935,1121
kann,2240,1133
himmel,2504,1124
lächelte,1871,1132
langsam,1957,1114
lebte,1791,1105
unter,2106,1097
ihrem,2391,1090
freude,2197,1094
hatten,2235,1081
alten,2234,1074
seiner,2086,1056
bin,2387,1044
nie,1797,1057
bis,1629,1055
ihrer,2087,1041
würde,2036,1032
weiter,1738,1038
dich,2205,1020
liebte,1538,1030
haben,1901,1021
zusammen,1735,1024
freunde,2534,987
viel,1743,1001
uns,2184,988
hier,1988,984
nun,1762,988
gab,1587,989
sehr,2323,969
wald,4129,928
nickte,1576,983
vielleicht,2045,971
jetzt,1650,979
schien,1529,981
bist,1877,958
freundschaft,2058,951
selbst,1552,962
leben,1626,959
tief,1500,958
herzen,1892,947
keine,1603,953
schon,1715,948
antwortete,1758,945
mal,1695,945
finden,1608,946
viele,1677,935
dort,1461,937
geschichten,2142,918
werden,1556,920
oder,1485,915
während,1403,916
geschichte,2332,893
schließlich,1336,915
dir,1676,907
jeden,1484,906
zeit,1786,898
lachte,1546,903
kam,1463,897
helfen,1803,888
luft,1351,874
hast,1616,868
lag,1285,874
manchmal,1581,860
sofort,1264,865
wurden,1306,864
sehen,1375,858
entdeckte,1301,859
saß,1198,861
aufgeregt,1343,851
farben,2044,834
bäume,1569,843
suchte,1448,845
besonders,1222,842
flüsterte,1297,839
können,1507,833
wind,1745,825
gemeinsam,1411,825
liebe,1640,818
fand,1355,819
neue,1514,813
lebten,1229,813
bei,1266,811
gut,1321,807
hat,1368,802
versuchte,1515,796
sahen,1534,778
öffnete,1191,784
wollte,1299,780
vom,1208,778
allen,1126,772
bereit,1152,768
blumen,1896,751
morgen,1307,760
machte,1115,764
mein,1506,754
blätter,1453,754
spürte,1423,754
einfach,1190,757
grünen,999,760
mir,1234,748
nächsten,1034,752
bunten,1292,744
sanft,1057,748
sogar,1074,743
fest,1270,738
wasser,1857,723
machen,1104,737
tiere,2307,705
weiß,1082,729
herz,1256,725
diese,1059,721
ging,1091,717
gerade,1025,717
gesehen,1106,713
neugierig,923,712
freund,1259,703
ganzen,954,709
ende,962,702
andere,1033,697
gefunden,1124,693
dieser,979,691
baum,1948,665
neuen,1039,685
all,1006,685
bisschen,1183,679
fast,973,683
hinter,975,682
tanzten,1089,676
meine,1111,675
zur,987,677
herum,929,675
tun,973,671
alte,1261,662
paar,997,663
kopf,918,664
überlegte,976,662
dachte,990,661
führte,1000,659
wirklich,942,659
erklärte,939,657
stolz,916,657
heute,940,653
leises,804,655
fühlte,1140,647
ganze,893,650
jedes,908,646
begannen,933,642
los,833,644
mich,1076,636
kinder,2101,613
rannte,1121,632
hoch,864,637
musste,901,636
kein,830,637
wer,898,634
riesigen,987,631
konnten,1003,630
oft,849,633
ab,873,628
leise,847,628
spielten,948,623
lernte,1072,616
na,1095,614
ort,1204,609
