word,count,doc_count
και,63795,1817
να,43372,1817
η,42842,1812
το,34637,1816
ο,30937,1766
τα,28342,1811
του,28255,1809
της,25301,1790
με,24105,1817
την,22232,1809
ένα,20661,1817
ήταν,18874,1808
που,18525,1812
από,16243,1810
μια,15236,1810
για,14787,1804
τον,13700,1784
τους,13108,1737
σε,10568,1795
στο,10216,1764
δεν,8876,1725
αλλά,6455,1667
είναι,8456,1606
θα,8218,1600
τη,8793,1579
στην,6715,1634
ότι,6831,1606
είχε,5636,1590
τις,5778,1571
μέρα,4146,1609
είπε,7232,1516
σαν,6157,1530
οι,5587,1471
πάντα,4479,1476
πιο,4241,1465
κάθε,4036,1443
μάτια,3433,1446
των,5453,1359
μικρό,3286,1416
στον,3915,1389
τι,4295,1374
πολύ,4286,1280
αυτό,3034,1269
στα,2912,1270
μαζί,2902,1247
χαρά,3425,1218
όταν,2535,1229
άρχισε,2419,1210
έναν,2411,1210
ένας,2518,1192
έτσι,1918,1188
μου,3701,1133
στη,2693,1144
αγάπη,3451,1122
μέσα,2752,1140
όλα,2459,1148
κάτι,2419,1103
ρώτησε,2604,1095
φορά,1736,1058
καρδιά,2172,1002
απάντησε,2331,989
σου,2922,964
μετά,1744,991
γεμάτο,1679,990
κόσμο,2300,967
γεμάτη,1632,980
μόνο,1553,963
εκεί,1723,956
τόσο,1746,947
ζούσε,1178,961
φωνή,1832,920
καθώς,1609,925
μας,2447,901
ιστορία,2783,886
μικρή,1671,912
σπίτι,2121,887
χωριό,2781,859
παιδιά,4110,818
πρέπει,1846,881
γύρω,1494,880
έγινε,1456,873
μαλλιά,1269,872
μεγάλη,1427,867
μεγάλο,1432,857
κι,1426,849
είχαν,1515,843
λίγο,1506,841
ποτέ,1336,844
όλοι,1592,823
πώς,1541,822
είμαι,1849,802
ζωή,1376,799
αυτή,1210,803
χαμογέλασε,1239,793
είδε,1491,785
μέρος,1415,784
γιατί,1317,786
τότε,1140,790
εκείνη,961,791
όμως,1190,780
αν,1246,776
είσαι,1624,765
μπορούσε,1335,772
ιστορίες,1794,757
όχι,1259,771
λουλούδια,1883,745
ακόμα,1266,759
ενώ,992,762
καιρό,883,761
κάνει,1322,743
ήξερε,1199,746
μην,1143,743
όπου,1304,738
πίσω,1155,742
φως,1688,717
κάτω,1257,725
έκανε,1142,712
συνέχισε,1046,707
τώρα,1159,694
κοντά,971,690
πως,1296,678
δέντρα,1219,677
εδώ,1165,672
μαγικό,1575,656
πάνω,1067,667
ξαφνικά,937,665
προς,1039,662
ουρανό,1321,641
όλους,1016,645
κοίταξε,985,642
πολλά,1070,635
όμορφο,941,635
δύναμη,1317,620
χρώματα,1371,614
περιπέτεια,1228,616
αγαπούσε,848,626
αυτά,904,617
άρχισαν,1005,611
πήρε,833,610
ψηλά,1090,601
στις,897,605
χαμόγελο,915,604
όλο,878,605
όπως,811,605
ναι,1187,591
ήλιος,1015,594
θάλασσα,1850,565
μυστικά,1363,576
φώναξε,1032,580
μαγεία,1383,562
ένιωσε,890,572
ταξίδι,1377,556
άλλα,875,570
έχω,984,566
έχει,841,562
σας,1555,541
φιλία,1184,550
δίπλα,780,561
βρήκε,868,558
ήθελε,883,555
ξεκίνησε,746,557
άνοιξε,747,552
αποφάσισε,882,544
υπήρχε,800,542
φίλους,965,536
περιέργεια,694,539
δάσος,1918,502
ώρα,702,536
πράγματα,828,529
νερό,1103,519
μακριά,683,523
έμαθε,842,518
φίλοι,1108,505
ξανά,723,514
άλλο,686,512
κατάλαβε,754,510
μυστικό,1172,495
χωριού,1297,489
καλά,712,502
μικρά,731,500
όλη,646,501
γεμάτος,673,500
ένιωθε,762,497
ήλιο,759,496
σκέφτηκε,702,496
δει,755,494
αμέσως,648,497
βρει,738,494
εγώ,913,487
ελένη,4266,390
πλησίασε,653,489
μπορεί,649,489
απαλά,728,482
έδωσε,695,482
στους,713,481
ενός,633,477
νέα,701,475
αστέρια,1180,457
τέλος,590,473
σοφία,2597,414
ενθουσιασμό,588,471
τελικά,572,470
βράδυ,772,461
αέρα,678,462
όμορφη,630,461
άκουσε,612,461
άλλους,716,458
επόμενη,574,460
περιπέτειες,733,455
όσο,562,456
πουλιά,878,446
έπαιζαν,611,453
ή,614,451
παιδί,721,446
ας,861,442
γέλασε,613,447
δυνατά,575,447
προσεκτικά,600,446
έπρεπε,597,443
μέχρι,566,442
φτερά,900,430
προσοχή,546,440
μέρες,580,439
ακόμη,634,437
γεμάτα,554,439
ψιθύρισε,551,439
δύο,783,432
ομορφιά,858,429
δέντρο,1182,419
ζώα,1218,415
δρόμο,669,429
ξεκίνησαν,550,431
ημέρα,514,430
παλιό,737,420
πριν,519,426
χαμογελώντας,620,423
ανάμεσα,544,425
πρωί,521,425
σημαντικό,576,422
θέλω,735,417
πήγε,602,417
φαινόταν,534,418
γρήγορα,549,414
έβλεπε,572,411
ανθρώπους,723,406
έφτασε,567,410
μικρός,570,408
γλυκιά,534,409
γεια,723,398
κάνουν,614,401
βοηθήσει,581,401
ζούσαν,510,401
μπροστά,538,400
έλεγε,521,396
όμορφα,551,395
φυσικά,527,395
είμαστε,650,391
αγόρι,549,393
χαρούμενη,569,391
ίσως,614,388
βοήθεια,585,388
αγάπης,754,381
γέλιο,733,380
πολλές,530,385
λαμπερά,460,386
έφτασαν,507,384
γαλάζια,501,383
πού,524,380
ξέρω,518,380
έγιναν,496,380
φαντασία,802,370
ελπίδα,1264,354
έτρεξε,507,375
μπορώ,499,373
κάνουμε,565,367
υπέροχο,484,369
έμοιαζε,472,369
βουνά,513,364
ζωής,591,360
περισσότερο,435,360
έχεις,498,358
κορίτσι,523,357
καλοσύνη,646,353
βαθιά,454,358
φύλλα,597,353
ειρήνη,2790,289
μαγική,672,349
μεγάλα,423,353
άνθρωποι,694,344
παιχνίδια,706,343
έξω,510,348
μαγικά,719,342
εσύ,496,348
αναφώνησε,457,347
αίσθηση,446,346
τίποτα,436,346
κεφάλι,460,345
παλιά,505,342
γλυκό,527,341
μπορούσαν,490,342
έπαιζε,456,342
έλεγαν,416,343
συνέχισαν,452,341
πάλι,450,340
έκαναν,427,340
χέρι,453,339
έμεινε,393,340
ώρες,419,339
κάνεις,446,338
ιδέα,444,338
σήμερα,491,336
ευχαριστώ,474,335
κόσμου,526,333
αυτός,439,335
εξήγησε,430,335
απλά,398,334
περίεργο,388,334
χέρια,421,331
μπορούμε,481,329
καλύτερα,426,330
εαυτό,471,328
στιγμή,434,329
έδειξε,433,327
συμβαίνει,413,327
γιάννης,2082,279
ό,417,326
βρήκαν,538,320
φύση,632,316
γέμισε,376,323
πλάσματα,560,317
γλυκά,571,315
έχουμε,434,318
κυρία,1554,284
λοιπόν,421,316
είδαν,527,312
απαλό,413,314
πρώτη,385,314
γύρισε,377,314
επέστρεψε,371,313
χρόνο,478,309
ακριβώς,409,310
πρώτα,348,311
ήρθε,370,309
χαρούμενα,417,307
χωρίς,388,307
μιλούσε,448,305
βιβλία,611,298
γέλια,446,302
κήπο,817,291
μαρία,2005,255
βρισκόταν,365,301
πάμε,477,297
έμοιαζαν,370,299
μπορούν,369,299
μάθει,461,295
ως,440,295
παρατήρησε,366,297
σπίτια,398,296
πολύχρωμα,344,297
γιαγιά,1636,260
υπέροχη,380,295
τραγούδια,552,289
υπήρχαν,374,294
μόλις,346,294
μα,373,292
πήγαινε,371,292
τρόπο,345,292
χρώμα,553,286
μαμά,1077,269
έβαλε,327,288
φιλίας,454,283
παιχνίδι,519,281
καστανά,304,286
όνειρα,708,273
πια,353,283
όλες,345,283
πόσο,373,282
χρυσό,462,279
καλή,387,281
μπορείς,378,281
συνέχεια,336,282
βιβλίο,919,265
έκπληξη,334,281
χρόνια,342,280
αλήθεια,478,276
έλαμπαν,334,280
άκουγε,354,279
αγκάλιασε,334,278
τραγουδούσαν,359,277
οποία,345,276
αφού,331,275
χαρούμενος,362,274
μέρη,425,272
έλαμπε,353,274
θάρρος,400,272
άλλη,335,273
τεράστιο,365,272
οδήγησε,361,272
αγαπημένο,327,272
συνάντησε,409,269
άρεσε,326,270
χόρευαν,368,268
γίνει,417,265
υπάρχει,332,267
μπλε,421,264
έχουν,340,266
χαρούμενο,339,266
χαράς,376,264
λαμπερό,338,265
βρούμε,371,263
εμείς,306,264
νύχτα,507,258
σκοτεινό,432,260
επίσης,345,262
καλύτερο,333,261
χρυσά,366,260
γινόταν,295,262
προσπάθησε,320,261
φίλος,452,257
περίμενε,305,261
απλώς,317,260
θυμόταν,338,259
χρειάζεται,309,259
παιδιών,447,255
κύριος,1165,234
δάσους,656,248
απόγευμα,312,257
καθόταν,294,257
κρυμμένο,351,254
βουνού,414,252
βλέποντας,308,255
χάρη,298,254
φόβο,382,249
δείχνοντας,322,250
σταμάτησε,285,250
κανείς,310,249
κάνω,325,248
αναρωτήθηκε,295,248
παντού,280,247
πόρτα,512,240
υπέροχα,301,245
ωραία,395,242
όνομα,283,245
καλό,326,243
τραγούδι,646,233
κόσμος,365,240
ανακάλυψε,299,241
ενέργεια,331,240
κουτί,728,228
ήλιου,351,238
προσπαθούσε,315,239
γη,542,231
σύννεφα,470,233
περίεργη,282,238
λάμπει,313,237
νέο,300,237
γελώντας,297,236
βοηθήσω,289,236
συχνά,286,236
κέντρο,279,235
γνώριζε,270,235
ελλάδα,337,231
λίγη,281,232
ακούσει,276,232
μουσική,567,223
εμφανίστηκε,280,231
θησαυρό,553,223
θάλασσας,551,223
περπατούσε,269,231
α,325,229
πλέον,285,230
ακολούθησε,277,230
κοπέλα,330,228
επέστρεψαν,265,229
κοιτάζοντας,281,227
αποφάσισαν,314,226
δυνατή,312,226
έμαθαν,304,226
προσπαθώντας,263,227
κλαδιά,330,225
παράξενο,245,227
δωμάτιο,414,222
αληθινή,305,225
ευτυχία,441,221
περνούσε,255,226
λάτρευε,253,226
κοριτσάκι,306,224
σύντομα,303,224
έδινε,293,224
γυναίκα,433,220
πόλη,747,211
μίλησε,290,224
σχολείο,458,219
βρίσκεται,271,224
ίδια,270,224
εξερευνά,276,223
θυμήθηκε,283,222
νησί,874,205
παίζει,309,221
μέλι,580,213
σκοτάδι,438,217
βουνό,506,215
αυτοί,248,222
πήγαν,301,220
ήξεραν,256,221
κάποια,256,221
απαλή,252,221
κάποτε,242,221
πει,268,220
μπήκε,258,220
παραλία,550,211
πέρασαν,259,219
έπειτα,256,219
φρούτα,392,215
ελλάδας,275,218
δάκρυα,267,218
ακούστηκε,264,217
έτοιμος,313,215
λάμψη,311,215
όνειρο,381,213
έτοιμη,275,216
γονείς,389,212
σπιτιού,289,214
όλων,247,215
δυνατό,252,214
ποιος,259,212
οποίο,258,212
αγκαλιά,332,209
βλέμμα,256,211
γιάννη,608,200
παίζουν,278,209
ανθρώπων,313,208
κόκκινο,347,207
σειρά,241,210
σημασία,274,209
είστε,306,208
θέλεις,265,208
μιας,249,208
μονοπάτι,438,202
δούμε,265,206
δικό,261,206
χάρηκε,245,206
βοηθούσε,245,206
έζησαν,222,206
λουλούδι,502,197
δώρο,324,202
πάρα,248,204
νιώθοντας,231,204
κομμάτι,305,201
φορές,263,201
έδειχνε,262,201
φίλη,284,199
βοήθησε,230,200
άλλον,261,199
κοίταξαν,252,199
φροντίδα,318,197
σημείο,265,198
χαρούμενοι,223,199
θλίψη,291,197
φίλο,289,196
όνειρά,336,194
πράσινα,228,197
περισσότερα,266,195
φωτεινό,252,195
βγήκε,214,196
νερά,272,194
περίεργα,235,195
λόγια,254,194
αυτόν,218,195
νέες,254,193
ζεστό,238,193
φύσης,375,189
αργά,234,193
ατμόσφαιρα,221,193
θησαυρός,498,185
μιλούσαν,222,192
πέρασε,211,192
τρέχοντας,222,191
πράγμα,210,191
αυλή,310,188
καταπράσινο,202,191
δημήτρης,1263,160
τεράστια,227,189
αργότερα,214,189
ονόματι,207,189
ήχο,255,187
ροζ,272,185
κατάφερε,230,186
σπηλιά,580,176
σκιά,401,181
καλύτερη,220,186
αέρας,253,185
αγαπούσαν,239,185
ενθουσιασμένος,269,184
έζησε,195,186
σ,227,185
βρουν,222,185
πλάσμα,328,181
μητέρα,495,176
ξεχωριστό,214,184
κορυφή,282,182
έτρεχε,225,183
ψάχνοντας,219,183
φοβάσαι,218,183
στιγμές,256,181
έφερε,218,182
κλειδί,672,169
γέλασαν,207,182
χρειαζόταν,206,182
τελείωσε,206,181
έπεσε,238,180
δουλειά,268,179
παππού,536,171
ψάρια,430,174
νομίζω,248,179
περνούσαν,208,180
πόδια,223,179
αρχή,219,179
γαλάζιο,246,178
έκλεισε,207,179
βρέθηκε,239,178
άκρη,207,178
μερικές,206,178
κύματα,334,174
αισθάνθηκε,216,177
μιλάει,262,175
φυτά,292,174
γνώση,347,172
άνθρωπος,291,172
ηλιόλουστο,181,175
ασημένια,249,173
πλατεία,379,169
κρατώντας,199,174
αστέρι,613,162
ποτάμι,353,169
απ,191,173
καρδιές,219,172
έβλεπαν,208,172
όμορφες,207,172
χορεύουν,237,171
κατάλαβαν,197,171
άλλες,225,170
δώσει,220,170
πρωινό,248,169
ξέρεις,208,170
προσπάθεια,197,170
παρατηρούσε,191,170
οδηγούσε,220,169
πάρει,217,169
ζει,202,169
σύμβολο,234,168
ψυχή,228,168
μήπως,228,168
βλέπω,224,168
ζήσει,244,167
ξύλινο,205,168
φαγητό,234,167
μερικά,193,168
καταλάβει,184,168
χάρτη,394,161
ανακαλύψει,215,166
χάσει,205,166
έψαχνε,204,166
αξία,203,166
διάφορα,192,166
κάνοντας,188,166
γράμματα,397,160
εικόνες,245,164
θαύματα,243,164
ζεστασιά,207,165
ξύπνησε,190,165
αρχικά,188,165
φωνές,256,163
πέτρα,349,160
κακό,243,163
θησαυρούς,241,163
αυτές,194,164
μεταξύ,192,164
σοφή,226,163
ακούγοντας,189,164
δάση,196,163
έτρεξαν,195,163
ούτε,230,162
συνέβη,188,163
πάω,188,163
πράσινο,238,161
γεμάτοι,182,162
παππούς,634,149
γεμάτες,177,162
μοιράζονταν,186,161
σχεδόν,180,161
ζωηρό,162,161
πραγματική,192,160
κάθισε,185,159
κύριο,253,157
κρατούσε,182,159
παίζοντας,171,159
κάτοικοι,301,155
μυστήριο,263,156
τέλεια,219,157
όνομά,178,158
ομάδα,211,157
μυαλό,187,157
πεταλούδες,217,156
ενθουσιασμένη,213,156
καλημέρα,283,154
σιγά-σιγά,176,157
χαμογελούσε,175,157
δική,208,156
άκουσαν,171,157
μακρινό,169,157
ποτάμια,185,156
σφιχτά,187,155
μαθαίνοντας,174,155
οποίος,188,154
πραγματικότητα,285,151
περίεργος,192,153
πετούσαν,178,153
μπράβο,208,152
άμμο,261,150
πολλούς,190,152
ζεστή,189,152
κατά,177,152
κόκκινα,204,151
βρεις,204,151
ταξίδια,235,150
αφήνοντας,162,152
δουν,192,151
λέει,262,149
φέρει,183,151
συμφώνησε,175,151
δύσκολο,173,151
καλώς,171,151
τρία,285,147
λύπη,201,149
ελπίδας,252,147
όσα,179,149
σκοτεινή,212,148
μεγαλύτερη,168,149
έμειναν,168,149
