word,count,doc_count
the,411587,4236
a,207169,4236
and,195524,4236
of,141812,4236
to,131000,4236
was,76517,4236
with,76389,4236
in,64987,4236
it,58777,4233
that,50903,4234
as,40451,4216
they,49695,4106
he,83153,3759
for,32368,4214
had,32405,4198
on,30304,4208
his,65632,3823
but,27956,4198
from,20681,4169
at,21429,4115
one,16585,4138
her,67130,3614
were,20248,4050
their,28012,3970
all,20095,4033
you,28903,3904
like,16395,4016
be,16400,3964
just,13576,3977
this,16852,3920
into,13591,3931
she,59149,3446
out,13312,3885
eyes,13548,3876
by,13493,3854
began,12358,3846
up,13960,3829
even,13144,3820
more,11792,3766
time,11401,3768
them,15579,3716
could,12408,3739
through,11741,3740
would,15510,3672
little,15854,3661
about,13372,3681
day,11405,3695
what,13193,3661
an,11193,3677
then,12220,3610
so,10981,3605
i,18984,3513
small,10716,3592
not,10296,3571
is,13640,3515
filled,9556,3535
there,9931,3529
who,10389,3521
said,12073,3485
knew,9999,3468
looked,9869,3440
back,10078,3428
have,10105,3427
around,8122,3383
voice,9061,3367
made,8362,3328
now,9273,3303
its,12316,3263
over,7396,3271
always,8551,3258
are,9476,3208
found,7795,3224
tiny,10395,3162
wasn't,7764,3184
other,8729,3156
very,9355,3148
down,6925,3157
most,6725,3159
when,7254,3140
after,6959,3123
felt,8888,3099
than,6450,3121
every,7036,3108
lived,4847,3116
once,4959,3065
where,7811,3035
heart,8761,3019
something,7063,3006
first,5812,3016
air,6502,2996
seemed,6781,2978
way,6367,2966
sun,6390,2951
him,13583,2851
next,5665,2916
upon,4325,2929
any,5060,2900
finally,5081,2879
world,8212,2844
we,11967,2795
each,6969,2846
no,6038,2835
named,4649,2842
how,7058,2790
before,5314,2782
see,5858,2758
ever,5071,2749
took,5241,2743
new,6615,2706
been,5398,2705
your,6996,2680
or,5267,2685
if,5413,2682
well,6344,2656
can,6360,2638
carefully,6047,2625
some,6030,2622
towards,5322,2616
my,6431,2602
do,5764,2594
long,4843,2595
off,4637,2595
continued,4380,2582
adventure,7198,2550
never,5088,2566
which,5459,2560
saw,5291,2561
best,5208,2557
joy,5547,2542
nestled,3238,2554
started,5436,2522
loved,4589,2523
find,5320,2508
again,5129,2507
bright,4197,2509
suddenly,4007,2490
place,5195,2471
deep,4348,2467
sky,5884,2444
face,4511,2438
still,4667,2435
help,5575,2419
morning,4276,2432
old,5681,2416
together,5474,2403
while,3660,2400
own,4434,2390
only,3967,2362
away,4023,2361
thought,4259,2344
friends,6340,2312
gentle,4358,2326
across,4105,2306
excitement,3721,2306
did,4299,2285
smiled,3823,2284
