word,count,doc_count
la,85268,939
kaj,36797,939
de,24146,939
estis,13038,935
en,11202,939
ili,13288,909
al,9106,936
kun,8018,927
ke,7152,917
sed,5393,912
kiel,5399,903
por,5116,896
ne,4850,888
ĝi,6102,863
kiu,4150,875
estas,5678,846
pri,4219,830
pli,3406,818
unu,2155,828
granda,2605,787
komencis,2300,774
dum,1789,776
li,9309,688
plej,2659,761
kiuj,2707,759
ĉiam,2523,756
sur,2295,755
sia,2084,753
ĉiuj,2366,740
ŝi,10141,639
diris,2962,715
el,2071,716
havis,1777,718
kie,1768,716
kiam,2001,712
vi,4472,665
mi,4559,657
sian,1835,685
per,2024,673
tiel,1536,672
vidis,1824,666
tra,1590,662
ĝin,1761,640
vivis,1185,646
post,1369,643
suno,1367,640
malgranda,1451,633
tre,2517,614
sentis,1632,623
nur,1357,620
mondo,1911,609
demandis,1487,606
sin,1451,604
siaj,1342,605
plena,1352,604
ankaŭ,1221,598
tiu,1232,597
povis,1341,591
povas,1512,583
siajn,1225,583
okuloj,1140,583
ilin,1492,579
trovis,1455,576
tagon,953,566
da,1232,562
brilis,1066,557
ĉiu,1562,550
tie,1072,547
respondis,1307,539
ni,2619,523
esti,1068,535
ĉar,1088,524
rigardis,963,517
devas,1268,512
ŝajnis,1133,512
ol,927,505
aŭdis,981,496
bela,947,495
ĉi,1161,491
grandan,901,486
sciis,1047,483
decidis,1160,479
kune,1055,480
eĉ,1076,478
kio,948,479
kion,966,474
tio,1080,469
arboj,1071,464
aliaj,1034,464
arbaro,2463,448
koro,1065,462
lernis,935,458
rakontis,907,448
pro,826,447
vento,1370,441
tago,733,447
ĉielo,1250,439
voĉo,838,438
kiun,811,438
ĉirkaŭ,743,427
amikoj,959,423
neniam,765,424
nun,812,423
grandaj,689,423
tiam,650,423
floroj,1134,416
ŝia,1285,412
ĉu,1194,409
venis,647,415
steloj,1384,399
revenis,557,406
nomata,582,404
lia,1102,395
mem,644,398
faris,701,393
trovi,686,392
kiujn,749,391
vivo,713,391
fine,544,389
malgrandan,610,388
havas,684,386
inter,611,385
iam,647,383
tempo,708,380
bestoj,1205,370
fari,662,374
ĉio,651,374
renkontis,671,371
lumo,1146,365
loko,693,367
tuta,558,368
ĝis,539,367
helpi,680,365
sub,569,366
ion,673,364
amis,554,363
iĝis,628,354
donis,589,353
se,562,351
nomita,502,351
ĉiujn,587,350
iris,766,347
ĝojo,670,348
loĝis,458,350
iom,871,342
iliaj,623,344
birdoj,752,342
ĉion,543,344
kantis,634,342
brilaj,539,343
denove,583,342
vidi,565,342
volis,641,341
komprenis,529,341
brila,555,339
lin,785,335
flugis,761,332
nova,590,330
parolis,527,330
knabino,631,326
okulojn,485,327
scias,575,322
ŝin,735,317
antaŭe,433,319
alia,499,316
povus,554,315
ilia,582,313
magia,697,310
akvo,691,309
vilaĝo,1007,305
vin,535,310
