word,count,doc_count
de,201543,3951
y,192920,3951
la,185481,3951
el,135618,3951
a,104287,3951
que,99608,3951
un,96396,3951
con,86313,3951
en,83446,3951
se,72603,3951
su,67186,3948
los,66120,3948
una,63862,3951
las,48560,3936
del,37182,3933
por,32469,3935
sus,31089,3893
era,29441,3907
no,26377,3886
más,25550,3896
al,24888,3901
para,25138,3893
pero,20056,3848
día,14946,3834
lo,17738,3760
como,14315,3712
había,15199,3574
le,18224,3513
siempre,13329,3575
es,15377,3390
cada,12066,3384
todos,12090,3368
estaba,10182,3361
ojos,8526,3324
mientras,7230,3342
dijo,11362,3229
sobre,10228,3235
sol,11022,3145
así,5867,3231
qué,10094,3105
todo,7550,3134
vez,7124,3065
alegría,10015,2981
pequeño,7047,2954
después,6376,2962
lugar,7742,2923
donde,7045,2932
muy,8495,2895
corazón,8421,2892
gran,7442,2862
ser,6784,2847
ese,5103,2869
poco,7659,2771
sin,5862,2783
lleno,5670,2765
voz,5900,2746
comenzó,5489,2754
tenía,5210,2755
solo,5811,2721
algo,6164,2705
sonrisa,5782,2656
mundo,7288,2610
sintió,6972,2613
cuando,5125,2626
vivía,3298,2585
también,4772,2495
hacia,5166,2473
preguntó,5661,2454
llamado,3875,2469
mucho,5062,2442
entre,4659,2420
eran,4805,2409
te,6553,2351
respondió,5821,2365
fue,4525,2387
vida,5343,2367
desde,3922,2387
nunca,4313,2336
aunque,4489,2318
pequeña,4730,2295
ya,4398,2301
amigos,6815,2246
especial,4057,2278
exclamó,4586,2263
convirtió,4768,2258
les,6321,2192
brillantes,3657,2243
sí,4531,2217
colores,5079,2205
amistad,6141,2181
si,4298,2210
tan,3984,2205
ver,3885,2199
cielo,5027,2123
flores,6385,2069
suave,3762,2103
cómo,4294,2081
hacer,4327,2069
acercó,3264,2058
sino,3676,2045
llena,3379,2038
este,3482,2030
parecía,3470,2027
aventura,5229,1978
hasta,3121,2013
sabía,3476,1992
sofía,27694,1517
juntos,4063,1979
momento,3171,1982
árboles,4151,1956
llamada,2523,1985
me,5093,1930
sonrió,3212,1965
finalmente,2832,1968
ahora,3458,1943
fuerza,3659,1923
mi,4396,1902
tiempo,3606,1917
amor,5536,1869
feliz,3700,1904
días,3214,1899
él,3437,1872
historia,5073,1833
nuevo,3098,1821
todas,2992,1822
gracias,3083,1820
aún,2622,1828
luz,4774,1780
agua,5006,1775
podía,3018,1813
brillante,3174,1803
estaban,2929,1791
ella,3414,1780
luego,2789,1788
demás,3619,1770
mejor,2960,1782
encontró,3209,1767
continuó,2626,1773
animales,6171,1700
cualquier,2821,1760
viento,4353,1729
magia,5411,1701
está,3225,1738
llegó,2677,1743
antes,2571,1742
ayuda,3152,1720
dio,2992,1718
aire,2705,1717
uno,2749,1702
importante,2735,1686
encontrar,2877,1650
vio,2729,1645
grande,2654,1644
emoción,2547,1638
historias,3530,1618
curiosidad,2610,1636
grandes,2387,1635
niños,7336,1524
sentía,2859,1607
decidió,2483,1611
bajo,2489,1608
son,2922,1597
otros,2777,1587
repente,2238,1595
aventuras,2952,1580
cuidado,2572,1585
esta,2451,1583
camino,3362,1565
habían,2899,1571
veces,2518,1576
fuerte,2631,1569
casa,4207,1536
hojas,3818,1542
allí,2333,1569
durante,2293,1563
felicidad,3074,1542
ellos,2387,1536
miró,2286,1523
mágico,3507,1488
noche,3876,1471
importancia,2649,1487
cabeza,2226,1483
valentía,3289,1447
o,2304,1462
color,2652,1440
pueblo,5695,1380
secretos,2828,1423
escuchó,2006,1439
montañas,2446,1430
tu,2857,1418
comenzaron,2079,1428
pequeños,2353,1422
parte,2051,1419
otro,2074,1402
incluso,1968,1403
niña,3395,1367
cuenta,2347,1386
eso,2068,1386
