word,count,doc_count
ja,36985,938
ta,18404,911
oli,13101,934
et,12178,937
nad,12294,874
on,9379,923
kui,5724,922
olid,5603,883
see,5781,865
mis,5061,880
oma,5524,842
ei,4434,843
nii,3559,850
kes,3450,828
tema,4062,800
aga,3869,788
ütles,3585,763
kõik,2742,747
kuidas,2701,734
ma,5350,660
kus,2193,737
väga,4802,663
ühel,1216,730
nagu,2429,698
ka,1720,667
väike,1770,665
palju,2147,650
mida,1578,649
siis,1847,639
päeval,1148,646
seda,1592,630
sa,3353,580
neid,1635,615
kõige,1508,596
suur,1470,595
nende,1585,590
midagi,1644,586
metsa,2512,558
üks,1276,589
koos,1426,576
täis,1345,563
iga,1615,556
alati,1361,557
elas,1072,561
küsis,1392,551
selle,1253,549
talle,1338,546
tagasi,1259,548
nägi,1394,540
need,1413,535
päike,1102,537
läbi,1100,523
seal,1368,515
veel,1098,521
hakkas,1051,518
kuid,1647,499
silmad,954,502
metsas,1356,491
me,2319,464
sest,1164,493
tundis,1188,491
olnud,901,486
vaatas,992,475
juurde,965,475
vastas,1232,467
olen,1490,460
üle,931,468
teadis,1154,451
edasi,919,455
kas,1029,445
uusi,1051,442
nüüd,878,446
teda,1031,440
võttis,921,433
lõpuks,712,433
oled,1101,423
said,1375,411
end,839,418
leidis,838,415
suure,777,415
juba,712,413
armastas,693,412
olla,851,406
välja,770,408
tal,678,406
kunagi,661,405
mõtles,856,400
elasid,853,396
vaid,699,398
kogu,692,392
ning,1223,375
päev,696,388
sai,823,384
siin,866,380
rääkis,791,381
ilus,829,380
neile,767,374
elu,861,369
sellest,623,375
läks,827,362
tere,664,358
minna,750,352
rohkem,650,352
ainult,577,351
mitte,593,346
asju,807,339
istus,546,344
kord,468,342
otsustas,691,335
tuli,580,336
teha,773,325
all,536,327
valmis,647,324
leida,561,326
nägid,698,321
läksid,760,317
vana,841,313
kõiki,534,320
ära,597,318
ühe,693,315
alla,573,318
kuulis,528,319
pärast,568,317
hüüdis,636,314
maailma,749,311
väikese,530,316
kaasa,540,312
ümber,489,313
suured,450,312
ole,449,308
üles,481,304
tegi,493,303
vastu,457,303
peale,463,300
lihtsalt,472,299
kõike,503,295
naeratas,564,290
koju,500,291
sõbrad,797,283
näinud,492,290
hea,571,287
poole,447,290
mööda,531,283
hakkasid,430,285
nimega,369,286
ringi,454,283
polnud,432,281
teadsid,600,275
kiiresti,414,277
meie,627,271
sisse,446,275
õnnelik,544,272
nimi,421,275
naeris,452,273
pead,549,270
aidata,567,267
näha,480,269
just,401,269
kohta,412,268
lugu,558,264
enam,393,268
paistis,380,268
leidsid,509,264
olema,417,266
väikesed,454,265
puu,664,259
teised,439,264
rääkisid,455,263
oleks,382,264
isegi,411,263
sind,481,259
andis,390,258
ette,386,254
peaaegu,429,252
jõudsid,406,252
rõõmu,440,251
vahel,347,252
saab,415,250
mille,356,251
kuni,388,248
suurt,335,249
jah,444,246
lugusid,524,243
jälle,386,246
särasid,336,247
puud,407,245
saanud,403,245
aega,400,244
kelle,353,244
vaatasid,423,242
peab,413,241
sees,371,242
puude,434,240
kuulnud,350,242
või,384,241
tahtis,483,238
ise,366,240
head,551,235
aru,431,237
süda,351,238
varem,346,238
mets,488,233
asus,343,236
südames,362,233
minema,376,232
päeva,326,233
jõudis,361,231
teed,320,229
ettevaatlikult,332,228
eest,390,226
ääres,375,226
kuulas,355,226
vaikselt,360,225
tüdruk,543,220
eriline,356,224
tundus,308,225
õppis,489,220
te,517,219
ilu,529,217
lapsed,761,211
uut,368,220
rõõmsalt,357,220
linnud,424,217
jooksis,408,217
sulle,435,215
järgmisel,254,218
võib,367,215
väikeses,239,218
rõõmus,594,205
endale,319,211
mul,317,211
peame,472,207
ees,271,212
koht,344,210
tee,377,209
imeline,287,211
saada,341,209
taevas,340,209
laulsid,321,209
kellel,269,210
kohe,279,208
õrnalt,314,207
sõber,347,206
teisi,336,206
õnnelikult,286,207
teada,437,203
leidnud,393,204
minu,340,204
tuleb,286,204
