word,count,doc_count
eta,93623,2188
zuen,61691,2185
zen,42268,2184
ziren,25725,2167
bat,22808,2179
zuten,20378,2101
baina,15973,2145
ez,16625,2129
bere,19146,2063
egin,16025,2086
esan,15881,2030
zituen,11784,2042
da,12761,1968
zegoen,8333,1983
ere,9150,1962
hasi,7584,1952
batean,6670,1957
egun,6063,1958
izan,7738,1909
zion,10770,1827
beti,9093,1851
egiten,7089,1825
ikusi,6618,1810
oso,7252,1723
zituzten,7259,1693
behar,6111,1701
txiki,4266,1731
joan,5475,1682
zer,5152,1658
beste,5129,1657
bizi,3827,1645
ari,4445,1616
galdetu,4810,1579
erantzun,4837,1531
hori,3852,1510
nahi,3941,1475
pozik,3991,1428
zeuden,3416,1432
batera,3049,1370
jarraitu,3125,1364
batzuk,3075,1364
hartu,2986,1366
guztiak,3413,1356
dugu,4891,1302
dut,4029,1322
aurrera,2471,1349
asko,3559,1317
hau,3201,1323
behin,2042,1347
baten,2809,1324
aurkitu,3495,1287
ezin,3129,1288
zerbait,2972,1271
eman,2577,1261
zioten,2870,1249
horrela,2141,1246
zela,2728,1231
inoiz,2687,1225
gure,4262,1184
handi,2329,1223
zehar,2850,1203
dira,3005,1193
begiak,2114,1196
bai,3315,1166
bezala,2346,1179
ikusten,2414,1158
berriz,2639,1150
du,2650,1149
entzun,2372,1150
gero,2197,1154
artean,2266,1150
iritsi,2127,1152
elkarrekin,3008,1127
duzu,2613,1132
irribarre,2447,1131
lagun,2573,1120
ondoren,2064,1128
sartu,2168,1112
handia,2158,1102
zien,2221,1074
haien,2829,1057
orduan,2202,1070
berriro,2179,1058
orain,1911,1055
hurrengo,1734,1051
begiratu,1986,1045
harrituta,1797,1036
herriko,3832,984
hitz,2242,1011
nola,2049,1015
egon,1838,1018
lagunak,2892,969
barre,2537,972
zure,2647,962
ematen,1723,979
jarri,1800,973
barruan,2064,961
horretan,1657,968
gauza,1965,959
zenean,1603,966
azkenean,1633,965
batez,1698,961
ondo,2280,934
sentitu,1856,940
bakarrik,1794,941
entzuten,1906,927
egiteko,1606,929
zuela,1594,918
zuhaitz,2194,902
etorri,1378,910
gehiago,1402,906
begi,1255,904
baita,1582,893
dago,1706,882
begira,1620,876
sentitzen,1763,868
ondoan,1523,873
itzuli,1299,869
gainean,1438,863
zitzaion,1386,863
lagundu,1696,853
kontatzen,1878,847
izango,1360,859
horiek,1451,854
naiz,1766,844
baino,1372,852
istorioa,2035,833
bihurtu,1433,845
batekin,1343,844
gaur,1420,842
pentsatu,1619,827
jolasten,2025,814
nire,1860,817
geratu,1314,828
ikasi,1800,816
egunero,1302,821
izeneko,1087,821
burua,1258,816
inguruan,1293,815
ahots,1280,812
berri,1380,808
korrika,1658,786
bat-batean,1306,787
eguzkia,1227,787
istorioak,2222,761
bitartean,1321,781
ibili,1270,779
kontatu,1354,776
agertu,1241,776
egunean,1232,772
hemen,1313,770
maite,1593,763
han,1400,757
denbora,1223,758
dute,1425,742
lehenengo,1102,749
izena,1150,746
bi,1740,728
eginez,1161,740
kolore,1543,731
zirela,1233,731
handiak,1313,728
txikiak,1892,713
ederra,1184,729
pasa,1135,729
atera,1088,730
txikia,1540,719
maitasuna,1884,708
batzuetan,1354,717
egingo,1203,719
non,1208,718
azpian,1381,711
gogoratu,1213,710
horrek,1041,712
abentura,1798,694
bizitza,1275,706
nik,1556,694
gara,1292,694
txoriak,1896,677
zara,1148,694
beteta,983,695
irribarrez,1358,685
benetan,1125,688
istorio,1564,674
eguzkiak,1046,686
txori,3371,630
prest,1032,682
oraindik,1004,677
batek,1084,675
urte,1126,674
erabaki,1069,674
zirenean,1002,674
gabe,970,673
egitea,1141,669
berriak,1275,665
zuena,1029,669
joaten,1007,669
argia,1555,653
gertatzen,1050,663
herri,1344,656
bila,1162,659
ezer,1077,660
argi,1401,651
berehala,1002,658
basoan,2067,630
ile,889,651
hala,936,646
elkarri,1148,640
amaitu,943,644
jarraitzen,998,641
euskal,1239,629
jolasean,1336,626
hain,1028,633
pixka,936,635
esaten,1030,629
zabaldu,872,631
etxera,976,628
berezia,924,627
gertatu,994,624
denak,1178,619
egunak,848,626
leku,1049,621
euren,1911,599
edo,939,620
zergatik,996,616
egia,1106,613
haren,1194,607
mundu,1294,601
dela,914,608
eguzkiaren,1117,603
jakin,946,606
ahala,854,607
ni,1097,601
erakutsi,874,604
utzi,844,603
bazen,767,602
hurbildu,813,596
mundua,1316,579
aurrean,866,586
ibiltzen,986,583
ahaztu,855,586
haizeak,1028,580
mendi,1213,573
hainbat,1033,577
oihukatu,1031,577
izaten,847,579
harri,1472,563
lasai,878,576
bihotza,1054,571
distira,1084,570
dena,843,575
zizkion,851,574
ahal,817,573
uste,898,569
bilatzen,886,568
ditugu,1015,563
gogoratzen,916,565
lan,1301,555
zuenean,828,565
sekretuak,1786,542
indarra,1094,557
egongo,888,559
biak,1135,553
laguntza,1081,554
zieten,1029,552
abenturak,1154,549
bertan,818,556
bildu,810,554
egoten,872,552
azkenik,705,555
zein,852,545
zegoela,751,546
laguntzen,963,541
lehen,775,543
une,799,540
haurrak,1757,512
zuhaitzak,1111,527
bidean,810,533
bera,783,532
garrantzitsuena,855,528
guztia,724,531
eraman,757,530
kaixo,935,525
beren,961,522
beraien,1076,519
