word,count,doc_count
و,92184,1821
به,61300,1821
می,49584,1811
با,44359,1819
از,38923,1821
که,33085,1797
در,30633,1814
را,30206,1777
ها,25407,1788
بود,21540,1809
کرد,22908,1779
یک,21536,1749
این,14899,1785
او,20527,1673
های,18250,1678
آن,14684,1734
شد,10238,1751
گفت,13138,1669
روز,6516,1705
است,7820,1658
اما,6365,1646
هم,9618,1579
داد,6780,1622
هر,5313,1610
ای,5920,1590
داشت,5209,1601
پر,5348,1597
کردند,7828,1533
بعد,4630,1580
همیشه,5129,1560
برای,5580,1551
زندگی,4489,1557
من,8846,1445
تا,4325,1529
بزرگ,5548,1500
شده,4433,1502
ی,11726,1338
همه,5029,1460
بودند,4439,1458
کند,5372,1436
خود,4998,1381
نگاه,3860,1377
زیبا,3957,1372
کوچک,3875,1354
رفت,3483,1340
باید,4153,1311
شروع,3330,1287
گرفت,3036,1261
نمی,3007,1261
زد,3302,1253
خانه,4397,1214
دوست,3526,1231
کمک,4582,1195
تو,4882,1175
بلند,2535,1213
یاد,3149,1190
خوشحالی,3233,1183
دیگر,2793,1189
شدند,3002,1184
نام,2180,1175
اش,3091,1145
چه,2801,1139
روی,2726,1135
بازی,4463,1060
مهربان,2801,1091
رسید,2071,1083
سمت,2987,1046
فکر,2261,1051
کنند,2743,1038
کنم,2896,1022
ما,3137,1014
خوشحال,2231,1022
صدای,2771,1005
گل,4484,971
شادی,2707,1002
وقتی,2067,1014
خیلی,3685,982
آمد,1723,1014
تصمیم,1909,1006
مهربانی,2780,986
لبخندی,1908,1000
پیدا,2317,945
تر,1827,951
ادامه,1607,952
دید,1891,946
دوباره,2022,940
تمام,1930,941
راه,1985,936
داستان,2425,925
هایش,2265,928
کردن,2097,931
کرده,1522,937
آسمان,2948,902
وجود,1688,921
بر,1759,901
تعجب,1459,903
لبخند,1902,894
لذت,2019,889
بیرون,1818,892
فقط,1542,894
کمی,1766,889
رنگ,2401,875
حال,1710,885
رنگارنگ,1582,883
دارد,1577,881
پس,1608,879
دقت,1676,877
پرسید,1685,867
دور,1526,864
خورشید,2177,848
شود,1558,860
دست,1499,850
ناگهان,1413,850
آنها,4875,779
زیبایی,1866,828
آب,2452,816
کنیم,2339,817
هیجان,1584,831
بسیار,2340,815
نه,1410,828
حرف,1526,815
گوش,1486,807
