word,count,doc_count
ja,148430,2738
oli,59791,2736
hän,53202,2660
he,39882,2497
että,24400,2721
se,20084,2648
on,22285,2567
mutta,16111,2635
kun,13143,2646
olivat,15888,2588
joka,12532,2602
kuin,12894,2503
ei,12399,2481
niin,9910,2515
hänen,11738,2347
sen,9434,2350
sanoi,11482,2290
mitä,7818,2295
pieni,6450,2311
täynnä,6299,2243
aina,6604,2212
alkoi,6352,2211
jotka,6342,2146
kaikki,5996,2045
yhdessä,6655,2019
jonka,5193,1989
ollut,4758,1987
olen,7519,1880
aurinko,4588,1896
kysyi,5231,1875
jotain,5143,1873
heidän,7221,1831
vain,4049,1856
tiesi,5708,1819
minä,7307,1779
sitten,4796,1793
kerran,2561,1833
vastasi,4774,1763
hymyili,3851,1769
kanssa,3891,1763
asui,2657,1783
myös,3962,1751
ne,4860,1714
paljon,3964,1730
pienen,3979,1710
koskaan,3705,1711
lopulta,3273,1691
nyt,3558,1660
takaisin,3560,1654
jossa,3342,1644
tämä,3648,1632
silmät,2898,1643
katsoi,3764,1621
päivänä,2980,1628
kertoi,3863,1605
hänellä,3333,1607
uusia,4409,1582
siellä,3095,1587
olla,3198,1554
eräänä,2219,1569
jo,3309,1535
häntä,3199,1520
tunsi,4137,1502
metsän,5699,1449
näki,3515,1481
nimeltä,2206,1496
sitä,2850,1462
tuli,2988,1452
voi,2874,1443
hieman,3008,1407
olipa,1529,1427
ole,2623,1364
miten,2948,1340
päätti,2736,1340
huudahti,2981,1332
siitä,2330,1340
aivan,2441,1333
vielä,2297,1329
kohti,2412,1323
juuri,2270,1315
suuri,2326,1312
alkoivat,2461,1290
ovat,2699,1281
istui,2026,1274
sinä,2814,1250
päivä,2469,1255
metsässä,2945,1232
näytti,2020,1235
huusi,2485,1219
olet,2644,1212
itsensä,2137,1206
huomasi,2080,1204
me,3297,1176
varovasti,2323,1193
eivät,2151,1191
kuinka,2606,1176
tehdä,1999,1146
olisi,1914,1144
koko,1814,1145
mikä,1790,1145
taas,1994,1131
yhtäkkiä,1798,1133
otti,1867,1127
ennen,1717,1127
meidän,2563,1111
yksi,1718,1123
asioita,2011,1117
ystäviä,2060,1115
pian,1816,1118
missä,1894,1114
tai,1896,1112
hyvin,2035,1106
rakasti,1669,1109
hetken,1702,1093
löysi,1903,1087
sai,1859,1080
lähti,1640,1078
paistoi,1494,1073
tarinoita,2198,1057
lähteä,1539,1061
vaikka,1648,1057
kiitos,1959,1046
läpi,1615,1051
iloa,1904,1045
metsään,1992,1039
vaan,1588,1046
en,1903,1037
iloinen,1750,1036
auttaa,1932,1031
täällä,1921,1031
niitä,1726,1031
todella,1692,1030
heitä,1941,1024
kaiken,1501,1031
jos,1756,1025
jatkoi,1631,1023
pitää,1689,1010
nyökkäsi,1625,1010
löysivät,2012,999
tiesivät,1994,993
seikkailuja,1629,994
kotiin,1585,991
ehkä,2113,978
tuntui,1623,987
silmänsä,1597,985
alas,1601,980
sillä,1456,978
pieniä,1575,974
kuuli,1575,970
piti,1520,969
hiljaa,1568,968
iloisesti,1566,967
jokainen,1849,961
valmis,1514,965
hänelle,1670,958
juoksi,1745,949
enemmän,1413,952
seuraavana,1254,953
löytää,1424,944
joita,1398,943
monia,1589,937
katsoivat,1589,930
lähtivät,1458,932
ulos,1547,926
suurta,1408,926
minun,1587,921
lumi,9708,767
halusi,1531,913
heille,1680,909
vanha,1559,907
tässä,1442,906
jopa,1319,898
kuului,1286,898
oppi,1937,882
keskellä,1217,895
jatkoivat,1391,891
hymyillen,1354,891
nähnyt,1383,889
metsä,2010,875
ääni,1445,885
päättivät,1819,876
alla,1365,883
minulla,1524,879
aika,1378,881
yhtä,1317,876
uuden,1413,870
hyppäsi,1369,869
toisiaan,1409,864
paras,1267,865
etsimään,1291,864
muita,1392,860
nopeasti,1263,859
aamuna,1005,863
täytyy,1450,847
mietti,1303,849
suuren,1229,850
uusi,1406,846
mitään,1266,839
uutta,1284,837
vähän,1513,831
hyvä,1347,831
palasivat,1226,830
kaukana,1110,826
palasi,1132,824
kasvoi,1179,822
antoi,1204,819
heti,1122,817
jälkeen,1105,817
kaunis,1204,815
kuiskasi,1284,812
no,1617,800
jolla,1148,808
nousi,1073,808
nauroi,1220,803
aikaa,1167,803
kuunteli,1140,803
ylös,1130,802
tuuli,1538,789
eläimiä,1418,785
sinun,1407,785
näkivät,1558,781
sinua,1224,783
vanhan,1192,781
enää,1120,777
utelias,1011,779
yhtenä,1012,778
sydän,1217,769
ystävyys,1315,767
hauskaa,1550,758
usein,1043,765
voisi,1131,762
kaikkea,1013,764
tyttö,1258,759
seisoi,1072,760
puun,1438,746
heillä,1165,746
päivän,1095,747
mukaan,1102,746
puiden,1193,743
hänet,1097,744
teki,1098,742
luo,1122,740
pitkin,1061,740
hyvää,1248,735
yhä,1103,737
yritti,1200,735
ensin,977,733
jälleen,1132,723
hei,1125,722
iso,1103,722
kirkkaasti,913,722
onnellinen,1120,716
ihan,1112,714
nähdä,1102,712
kyllä,1053,710
hänestä,1072,709
päätään,1031,706
olemme,1253,700
paikka,1098,699
muisti,1059,698
ilosta,906,700
muut,1125,695
istuivat,1004,696
seikkailu,1100,693
kukkia,1284,684
nauroivat,1007,689
maailman,1193,684
matka,1158,684
kuten,977,686
leikkivät,1024,682
kaikkia,947,683
niiden,1036,680
lähellä,888,681
metsää,1089,676
lapset,3052,639
tarina,1211,669
ympärilleen,852,673
innoissaan,910,671
katseli,880,668
löytänyt,1102,663
silloin,957,664
loistivat,888,664
kunnes,891,663
ymmärsi,1044,660
saapuivat,912,658
tänään,1054,652
tärkeää,953,653
ystävä,935,653
kauniita,939,652
avasi,927,651
ensimmäinen,857,652
pois,904,647
jota,844,648
sisällä,942,646
heräsi,827,648
ikuisesti,887,646
sisään,1004,642
pientä,871,643
tätä,830,639
älä,882,638
pienet,897,637
koska,922,635
itse,820,635
äiti,2797,598
kuullut,832,633
lauloivat,877,632
sydämensä,848,630
ystävät,943,627
oppinut,1088,623
heidät,977,625
saapui,884,625
ihana,904,623
mennä,837,622
auringon,1030,618
oppivat,1109,614
söivät,868,617
tämän,780,615
pitkään,793,612
onko,952,608
tanssivat,887,609
muista,868,609
mukanaan,808,610
kaikille,847,609
kiitti,832,609
ajatteli,865,607
olevan,798,608
loppu,638,607
kertaa,794,603
lehdet,1022,598
ystävänsä,900,600
maahan,824,600
sydämessään,803,600
nimi,777,600
kertoivat,927,597
orava,1750,581
kaksi,851,596
tekivät,874,594
nosti,757,596
maan,1008,591
eteenpäin,784,593
meillä,945,590
erityisen,747,591
outoa,742,590
iloisia,848,588
katso,875,586
palata,761,584
puut,790,581
yli,867,579
sinulle,834,579
oletko,761,580
matkaa,838,576
osa,996,571
auttoi,869,573
sinne,786,574
ympäri,808,573
lensi,1175,565
leveästi,720,572
juurella,785,568
viisas,766,562
vesi,1025,555
kiinni,787,558
innokkaasti,736,556
valoa,860,552
toki,773,553
pitkä,708,554
tarkasti,736,553
selitti,727,553
itselleen,693,553
miksi,785,551
opetti,852,549
joskus,850,548
tule,720,550
kaikkien,765,549
viettivät,750,548
etsiä,720,548
tapasi,926,544
ihanaa,755,547
juoksivat,822,541
matkalla,736,542
tiedän,729,542
laskea,619,543
vieressä,716,540
päästä,729,539
linnut,758,535
edelleen,740,535
salaisuuksia,955,530
pitäisi,761,533
tehnyt,707,533
rohkea,800,531
mukana,678,533
loisti,730,532
kaikesta,644,533
muuttui,708,531
ihmetteli,681,529
kuka,693,527
odotti,679,525
jatkui,678,521
eri,728,520
olleet,702,519
uudelleen,667,519
samalla,641,515
maailmassa,682,514
sinulla,681,514
marjoja,998,507
voivat,787,509
apua,738,509
puita,685,508
äänen,668,508
tästä,611,508
eläimet,1164,497
joissa,675,506
värikkäitä,635,505
maailma,843,501
melkein,616,505
tiedä,655,504
tunsivat,783,501
haluan,821,498
valo,973,493
punainen,818,494
huomasivat,741,495
etsi,683,495
ihmeitä,679,493
tahansa,624,493
lintujen,705,491
ilmassa,640,492
elämä,728,490
toinen,677,490
luokse,689,487
ystävällinen,611,488
laski,574,487
tällä,607,486
tuulen,815,482
vettä,798,480
etsivät,665,482
takana,597,481
esiin,619,479
niistä,590,479
tulee,687,476
matkan,618,477
onnellisia,680,473
ympärillä,584,474
siinä,618,473
metsästä,682,471
maailmaa,728,469
valmiina,596,471
niinpä,643,470
reunalla,559,471
tulivat,640,469
taivaalla,694,468
valtava,558,470
hymy,662,467
kuulivat,683,465
upeita,617,466
seikkailut,672,464
äänellä,545,466
hiukset,599,465
elämää,626,464
heistä,578,463
lempeästi,535,463
pehmeä,601,461
tärkeintä,596,460
upea,578,458
varmasti,550,457
kaunista,551,456
hitaasti,586,455
oma,639,453
huolta,625,453
erityinen,624,452
lehtiä,720,450
tapahtui,566,452
suuria,565,452
toi,601,450
minäkin,642,449
mistä,564,450
ilmestyi,559,450
herkullisia,658,448
välillä,692,447
ihmiset,854,444
auttoivat,645,447
nämä,587,448
söi,612,447
minua,609,447
ääntä,600,446
ääneen,539,447
uudestaan,625,444
elivät,565,445
liian,612,444
tutkia,610,444
tietysti,544,445
seurasi,530,445
taivaan,607,443
muiden,596,443
tullut,525,444
tuo,596,441
kuitenkin,521,442
ihmisiä,676,439
totta,567,441
astui,588,440
jokaisen,664,438
keksi,591,439
joku,645,438
voimme,645,436
jotta,589,436
käveli,642,435
vei,579,436
tapasivat,681,434
tavallinen,491,437
leikkiä,696,433
salainen,819,430
heilutti,614,432
taivaalle,600,432
ruokaa,762,429
ilo,789,428
valkoinen,568,432
päällä,551,432
ison,552,431
onnea,579,430
erittäin,734,427
punaisen,531,430
ojensi,538,428
yksin,605,425
tietää,549,425
saada,534,424
katsomaan,522,423
monta,519,423
tarinan,694,418
pääsi,550,420
muuta,483,421
sydämessä,524,420
te,675,417
pienessä,448,420
puusta,501,419
suuret,490,418
keräsivät,573,416
vasta,491,417
näin,529,416
vau,572,415
meni,719,411
paikan,542,414
kauan,514,414
ymmärsivät,540,413
saivat,507,413
hauskoja,599,411
ensimmäisenä,467,412
alle,569,410
ajan,507,411
lisää,532,410
pitkän,494,410
auttamaan,561,406
seuraavaksi,476,407
rannalla,725,402
täysin,495,406
isä,1401,389
erilaisia,621,402
aiemmin,517,401
olonsa,513,400
saanut,501,400
naurahti,478,400
ääniä,577,397
sinut,519,398
menivät,569,397
tuntuivat,500,398
illalla,482,398
kukaan,498,397
pitivät,511,396
ystävyyttä,469,396
huokaisi,459,394
ystävyytensä,630,390
lämpimästi,456,392
oppia,621,388
osoitti,494,390
nukahti,488,389
kylän,1108,377
kulki,548,387
voinut,480,388
oikein,513,387
talvi,809,381
ihmeellistä,465,385
yhden,504,384
äitinsä,718,380
tervetuloa,486,384
kiipesi,513,383
kaikista,435,383
laulua,515,381
elämän,543,380
aurinkoisena,389,381
