word,count,doc_count
de,165208,3504
et,142372,3504
la,106905,3504
les,102690,3504
le,100993,3504
des,70732,3503
un,69675,3504
à,69402,3504
une,54116,3504
il,49829,3443
dans,33375,3503
se,33650,3491
avec,31860,3499
que,30252,3496
qui,28306,3490
en,27503,3474
du,26176,3455
pour,25227,3472
était,26311,3407
son,25626,3386
plus,22196,3428
mais,20497,3448
ses,21157,3370
au,16510,3395
elle,33364,3037
sa,20317,3297
sur,15989,3367
pas,16289,3336
avait,16869,3270
ce,13097,3294
ils,25168,3035
par,12115,3238
comme,11127,3175
ne,11809,3152
yeux,10512,3173
lui,14513,3064
petit,11798,3057
tout,9088,3004
aux,10021,2962
toujours,9330,2962
petite,10219,2921
jour,8051,2960
leur,13062,2771
d'une,7537,2860
chaque,9073,2796
étaient,8010,2758
alors,6040,2782
je,14328,2606
soleil,7737,2703
où,7008,2662
d'un,6196,2646
tous,7037,2628
joie,7151,2587
monde,7413,2580
c'est,9824,2525
qu'il,7527,2550
est,8137,2517
grand,6245,2552
bien,6513,2539
dit,7776,2485
fois,4567,2546
leurs,8167,2444
aussi,5575,2456
jamais,5216,2454
même,5320,2432
cette,4917,2394
si,5180,2347
faire,5319,2329
vers,5029,2329
y,5285,2317
après,4648,2315
voix,4916,2301
peu,5195,2251
c'était,4119,2229
là,4831,2191
autres,5058,2125
encore,3998,2111
fut,4516,2026
puis,3616,2045
tu,7188,1966
commença,3446,2043
ciel,4909,2009
sous,4071,2024
nous,6514,1897
chose,3799,1937
a,6675,1875
répondit,4302,1918
sourire,3392,1915
ensemble,3869,1904
demanda,3751,1887
amis,4814,1846
savait,3638,1862
ainsi,2684,1853
heureux,3378,1819
vie,3464,1804
n'était,2914,1803
quelque,3360,1785
brillants,2524,1796
sans,3067,1781
temps,3349,1773
on,6255,1710
très,3778,1762
matin,2594,1785
vous,6594,1695
grande,2910,1761
qu'elle,4479,1727
avaient,3470,1733
pendant,2647,1720
couleurs,4032,1668
arbres,3511,1677
fleurs,4922,1643
l'air,2562,1692
fit,2921,1684
tête,2819,1686
continua,2688,1687
vivait,1946,1691
enfants,6467,1591
rempli,2482,1675
histoires,3657,1642
être,2779,1654
comment,3229,1643
sont,3711,1626
beaucoup,3111,1637
sourit,2611,1645
toutes,2863,1638
vent,3521,1588
suis,3588,1586
village,6115,1531
ces,2669,1599
non,2605,1600
petits,3061,1537
bonheur,3129,1534
nouveau,2529,1545
nommé,1992,1545
soudain,2180,1540
aimait,2498,1527
nouvelle,2490,1527
jours,2153,1510
voir,2589,1498
lumière,3955,1465
devint,2452,1484
qu'ils,3006,1466
travers,2306,1480
douce,2210,1479
forêt,7415,1343
sûr,2224,1452
autour,2152,1448
pouvait,2325,1441
trouver,2403,1435
prit,2150,1431
fait,2228,1419
feuilles,3099,1399
toute,2105,1420
devant,2182,1417
beauté,2839,1382
grâce,2152,1394
fille,2608,1377
quand,2174,1383
expliqua,2157,1377
