word,count,doc_count
de,71010,1096
en,44877,1096
in,35990,1096
it,33842,1096
fan,22930,1096
se,20869,1043
yn,17150,1096
wie,16135,1093
dat,13358,1089
mei,13128,1091
op,9964,1089
te,10922,1068
nei,9395,1082
mar,8699,1083
om,6907,1061
net,6961,1058
as,5980,1034
sei,8107,993
oan,4789,1038
hie,5003,1007
sa,6230,984
syn,8009,956
troch,4653,1003
foar,4824,994
wat,6139,970
hy,10164,904
oer,4629,978
is,5656,945
altyd,4260,940
grutte,3991,944
har,9569,857
dei,2810,954
der,4659,921
by,3281,932
ik,6301,836
ek,3126,863
e,7040,799
noch,2776,853
lyts,2341,854
him,3840,809
út,2281,824
mear,2670,794
dy,2670,791
seach,3546,766
dêr,1969,780
waard,2088,777
harren,3930,739
oare,2087,767
sinne,1977,766
koe,2235,755
wiene,3119,739
sjen,2062,748
er,3948,715
no,2011,739
stie,1670,737
werom,2015,731
ien,1893,732
lytse,2417,720
al,2035,709
wy,3838,671
alle,1768,702
wer,2298,690
hûs,1963,692
fol,1510,697
jo,3848,659
kaam,1850,684
eagen,2060,678
dan,1785,670
binne,1816,646
gie,1818,635
frege,1746,630
dit,1436,630
wol,2135,618
âlde,2041,611
wyn,1941,610
goed,1565,614
grut,1176,619
wienen,2618,593
hawwe,1572,600
wêze,1227,602
alles,1272,596
wenne,886,596
wist,1718,580
soe,1330,585
kinne,1451,568
fûn,1339,569
sels,1140,571
hinne,1137,562
lange,1015,563
gjin,1110,556
moatte,1416,550
kamen,1157,552
hert,1417,544
kin,1276,538
gean,1108,539
bern,2406,515
hjir,1158,534
sil,1940,517
dizze,1159,526
tiid,1197,524
hiel,1413,515
minsken,1764,502
nije,1255,503
begûn,897,505
wrâld,1539,490
libben,1203,494
makke,857,498
ôf,871,497
bêste,1018,491
wisten,1334,485
ferhaal,1555,477
namme,670,489
waarden,946,483
dwaan,1034,473
plak,1051,470
krekt,1372,465
wei,940,466
lang,738,466
hiele,869,461
fierder,846,459
wurde,755,460
hoe,788,456
dingen,1047,451
ús,1224,447
ta,938,451
seagen,1300,444
lei,721,452
tsjin,1054,446
rûn,907,448
rôp,1102,444
bin,1075,442
fertelde,968,436
doarp,1772,421
prachtige,923,429
ûnder,751,431
sy,3120,390
hienen,1019,420
hearde,807,422
woe,867,421
joech,734,421
siet,784,420
sjoen,785,416
dagen,730,416
wylst,768,414
freonen,1018,410
soad,1935,394
beammen,1004,406
tige,1581,396
