word,count,doc_count
an,49676,1021
a,46932,1021
ag,41682,1019
agus,36939,1021
bhí,33498,1018
ar,25539,1015
na,20940,1019
go,18102,1012
sé,18838,994
le,13819,1004
i,10246,1006
siad,11578,927
leis,7428,977
ach,6225,949
raibh,6102,950
ina,4707,937
é,5442,915
is,6494,890
sí,10582,795
beag,4945,903
sa,4830,897
faoi,4951,894
sin,4596,901
ann,4364,905
lá,3991,901
tá,4920,860
seo,3767,858
dul,3617,832
gach,4256,818
chun,3729,823
do,3054,822
mar,2926,824
rud,3477,798
de,3038,806
dúirt,5814,744
tháinig,2574,808
ní,3187,786
eile,2540,793
mór,3057,770
in,2500,769
nuair,2329,764
amach,2163,764
chonaic,2721,745
chuaigh,2531,746
níos,2770,739
isteach,2367,747
dtí,2693,739
ó,2229,741
tú,2980,716
féin,2335,726
bhfuil,2317,719
bheith,2527,703
chuir,1978,697
chomh,2344,681
amháin,1436,696
déanamh,5909,604
iad,2061,679
maith,1889,680
chéile,2201,673
thug,1870,678
iarraidh,1994,673
atá,1681,677
as,1739,672
teacht,1648,670
mé,2616,643
thosaigh,2244,641
áit,1725,647
ba,2242,635
aon,1738,645
duine,1985,636
arís,1711,620
dhéanamh,1727,617
gcónaí,1502,621
gur,1545,607
siúl,1540,596
ná,1284,600
cad,1423,596
scéal,2304,575
aghaidh,1433,590
ansin,1635,570
faoin,1608,568
air,1328,572
chuid,1867,560
ais,1564,564
féidir,1269,568
lán,1352,562
súile,1246,564
gcuid,1651,534
liom,1359,539
mó,1249,532
scéalta,2346,507
suas,1084,529
álainn,1173,525
léir,1359,521
í,1463,518
don,1500,517
nua,1397,517
fad,1290,519
cur,1164,521
rinne,1109,511
mhór,1125,510
daoine,1549,501
d'fhéach,1305,497
den,975,498
éigin,1005,484
arsa,3375,434
acu,1097,478
anois,1169,474
iontach,1037,475
leo,1027,475
fuair,978,471
smaoineamh,1362,461
leat,1031,467
saol,1240,460
féachaint,1003,464
leor,936,463
fearr,966,462
nach,888,461
síos,921,457
tar,997,452
sásta,1038,449
níor,835,449
éis,947,442
mhaith,897,443
fhios,918,438
feadh,816,436
ghrian,991,432
deireadh,746,435
aige,1062,422
cuid,1039,422
beaga,1015,419
fada,730,424
chuig,837,418
imirt,970,412
cosúil,863,414
breathnú,845,413
súil,1177,406
spéir,982,406
teach,1230,398
agat,761,404
gan,861,401
anseo,857,400
dó,947,395
gáire,1163,390
rudaí,1010,392
fanacht,781,396
ón,696,396
freisin,757,393
rith,915,389
ainm,567,393
timpeall,667,390
mo,946,383
linn,724,387
dá,686,386
d'fhiafraigh,1103,375
chroí,824,380
d'éirigh,625,382
níl,698,380
