word,count,doc_count
a,170966,2509
e,148302,2509
o,94290,2509
de,93344,2509
que,86798,2509
un,51446,2509
os,39072,2500
as,37652,2501
unha,37013,2508
da,35334,2485
do,30634,2491
con,28030,2500
non,24435,2486
súa,24933,2473
era,21593,2497
para,19622,2465
ao,18649,2469
máis,18178,2464
se,18299,2459
no,16077,2434
pero,15349,2425
seu,14292,2421
por,12704,2395
na,13827,2351
en,12263,2373
día,10509,2389
como,10737,2322
á,10867,2273
estaba,10036,2274
seus,9894,2248
sempre,9484,2250
coa,8943,2150
onde,7161,2168
nunha,6062,2177
dos,9679,2123
ollos,6663,2160
todos,8591,2123
cando,8010,2129
é,10964,2074
das,9273,2096
súas,8037,2103
mentres,5813,2127
así,4785,2114
cada,8423,2057
todo,6401,2066
sobre,7472,2029
nun,5576,2018
corazón,6980,1978
sol,6600,1980
co,6035,1981
dixo,8771,1936
pola,5442,1944
moi,7386,1894
tiña,4879,1918
comezou,4946,1887
vez,4714,1871
ser,5145,1838
pequena,5141,1835
aos,5922,1816
lugar,5010,1826
foi,4793,1809
só,4692,1775
polo,4071,1764
vivía,2622,1783
entre,4200,1755
algo,4961,1741
despois,4105,1745
cunha,3837,1716
tamén,4528,1704
voz,4334,1706
son,4618,1679
alí,3942,1676
sen,4229,1652
nunca,3525,1660
aínda,4002,1650
pequeno,4699,1638
xa,4219,1636
coma,7207,1590
vida,4075,1617
mundo,4878,1603
historia,5715,1590
nos,3801,1612
alegría,4916,1592
cun,3910,1603
ceo,4717,1581
lle,3875,1572
dunha,2973,1567
eran,3401,1560
historias,4862,1537
tan,3295,1556
ás,4285,1536
sabía,3383,1549
pouco,4492,1530
nas,3469,1544
coas,3500,1538
respondeu,3926,1517
moito,3653,1521
cara,3692,1515
dun,3000,1505
forza,3735,1491
agora,3258,1494
especial,2996,1487
facer,3587,1478
tempo,3710,1471
preguntou,3751,1455
estaban,3176,1455
vento,4579,1415
amigos,4600,1405
chea,2594,1407
todas,2755,1402
forte,2786,1394
ver,2862,1385
cheo,2432,1383
luz,4809,1332
está,3124,1354
grande,2816,1348
chegou,2441,1353
casa,4128,1327
árbores,3297,1336
senón,2702,1342
podía,2429,1342
chamado,2034,1347
chamada,1908,1346
parecía,2433,1336
gran,2629,1313
volveu,2575,1313
había,2745,1310
sorriso,2560,1301
camiño,3681,1278
calquera,2122,1299
brillantes,2056,1287
suave,2359,1277
ela,2997,1262
viu,2436,1266
novo,2380,1262
entón,2383,1260
xuntos,3001,1250
cores,3077,1243
días,2287,1252
si,2872,1242
cos,2466,1242
sorriu,2304,1236
noite,4008,1209
sentiu,2585,1226
ben,2817,1212
aventura,3152,1201
decidiu,2082,1211
auga,3620,1188
flores,3883,1183
amizade,3531,1174
comezaron,2155,1192
mesmo,2139,1191
terra,3136,1175
ata,2160,1181
momento,2047,1180
amor,3365,1159
axuda,2476,1172
outros,2471,1166
el,2431,1154
cousas,2609,1149
toda,1859,1137
grazas,2061,1128
animais,4256,1084
este,2060,1116
hai,2362,1106
grandes,1858,1108
eu,2896,1087
uns,1818,1095
dentro,2104,1085
feliz,2045,1080
felicidade,2590,1072
quen,2403,1069
te,2063,1073
antes,1838,1075
medo,3165,1053
mirou,2144,1064
exclamou,1915,1065
quedou,1828,1066
beleza,2595,1053
partir,1496,1068
aventuras,2219,1057
porque,2210,1052
río,4293,1013
aquí,2067,1032
curiosidade,1810,1028
ese,1590,1030
nenos,4862,981
finalmente,1513,1030
ter,1687,1025
durante,1658,1024
aldea,5062,971
continuou,1620,1021
mar,5433,965
follas,2612,1005
axudar,2103,1011
escoitou,1562,1018
mañá,1600,1017
moitas,1680,1013
importancia,2011,1008
mellor,1877,1007
ou,1869,1007
importante,1725,1004
unhas,1877,1000
estrelas,3316,974
ti,2548,977
aire,1711,986
iso,2100,980
demais,1989,972
segredos,2123,968
natureza,2553,960
esta,1585,960
pedras,2154,946
baixo,1554,954
pedra,2800,934
escoitar,1858,947
pequenos,1687,936
eles,1491,933
súpeto,1399,931
buscar,1565,926
bosque,4875,876
primeiro,1424,926
dende,1491,924
seguiu,1709,919
desde,1363,921
anos,1424,912
palabras,1973,895
cor,1744,895
veces,1744,890
brillante,1480,893
xente,2527,877
converteuse,1324,892
verde,1524,888
achegouse,1397,888
verdes,1168,890
nova,1632,883
bo,1709,879
sentía,1499,880
atopar,1544,873
viaxe,2529,856
moitos,1344,873
atopou,1455,870
novas,1554,865
pensou,1417,865
coidado,1540,856
esperanza,1900,849
esa,1360,856
meu,1733,848
falar,1561,848
quería,1480,848
miña,1651,844
montañas,1453,846
cabeza,1423,845
lúa,7284,758
atención,1164,843
polas,1256,839
maxia,2789,814
emoción,1211,835
poder,1558,826
felices,1235,828
compartir,1428,820
tarde,1216,816
foron,1254,815
explicou,1277,810
tesouro,3099,779
azul,1719,799
vello,1584,799
xunto,1204,804
vella,1670,797
seguinte,1197,803
chegaron,1247,799
nena,2173,782
nada,1329,794
diferente,1129,795
facía,1252,782
paxaros,1644,772
chegar,1090,780
pequenas,1362,774
ten,1255,774
grupo,1304,772
outra,1357,770
madeira,1416,767
pode,1190,767
escura,1324,759
valentía,1668,749
brillaba,1017,758
fixo,1345,752
fin,1011,756
outras,1453,749
lenda,1312,749
xogar,1604,742
case,1155,748
forma,1246,746
estar,1081,745
ríos,1204,738
parte,1135,738
dese,954,739
volta,1078,731
decidiron,1240,727
amigo,1350,723
aprendeu,1213,722
ninguén,1175,721
man,1312,715
fermosa,1065,718
cheos,975,719
abriu,1008,715
bondade,1863,698
final,1063,707
estou,1124,704
primeira,1025,704
nin,1419,696
propia,1004,701
podían,990,698
túa,1272,692
redor,986,693
máxico,1423,686
avoa,5131,630
horas,885,692
