word,count,doc_count
ה,229045,968
את,45704,2509
ל,160140,914
ש,127321,893
על,24064,1991
של,20994,1973
הוא,31486,1832
לו,12377,1998
ב,105101,925
היה,15821,1884
לא,17373,1860
ת,108946,854
עם,12477,1894
י,99414,934
ר,102278,898
א,100931,896
כל,11471,1847
ו,89560,984
אחד,8440,1855
מ,96552,879
הם,16510,1731
אבל,11727,1755
יום,5829,1770
או,17625,1630
זה,11430,1639
אני,14036,1560
יש,6282,1636
היא,16327,1521
מה,6656,1621
היו,5555,1586
בו,4962,1536
כמו,5929,1507
קטן,4468,1507
ע,63913,853
יותר,5193,1449
תמיד,5752,1428
גם,5392,1430
כ,58938,830
ח,57976,839
הייתה,5257,1384
ד,51817,867
ים,41567,974
רק,4334,1370
אותו,4510,1366
שלו,6822,1328
בכל,3711,1362
אמר,6659,1307
גדול,3148,1324
קטנה,2783,1306
מאוד,4125,1284
נ,44600,836
אל,3633,1269
ם,42868,824
איך,3659,1244
פ,39000,852
משהו,3658,1209
כדי,2849,1205
אמרה,5656,1155
ק,35004,823
פעם,2782,1174
להיות,3445,1166
בין,2604,1171
שהוא,3766,1147
בשם,1898,1156
כך,2718,1145
שם,2680,1136
ג,26429,865
צ,29109,821
אותם,2546,1091
טוב,3275,1080
הזה,2553,1083
הכי,2998,1072
ס,25502,804
יחד,2582,1043
אחרי,2581,1043
בקול,2135,1040
עוד,2656,1023
יכול,2338,1026
שלהם,2871,1017
רוצה,2695,1009
להם,2626,1004
מקום,2266,1007
אתה,3559,989
העולם,2710,993
כולם,2746,991
ן,18539,814
ז,18028,818
לעזור,2755,980
הרבה,2142,986
יד,5102,940
מלא,1671,965
קצת,2763,947
הו,12522,836
דבר,1746,954
אלא,1949,950
אחר,1814,951
לראות,1787,950
ידע,2412,943
ט,14158,812
לעשות,2045,942
לך,2329,932
היום,1993,934
התחיל,1844,914
יו,13339,787
מיוחד,1590,913
שלה,4087,884
שמחה,2222,902
כי,1955,893
רו,10713,792
נו,7395,828
ביותר,1676,890
שוב,1944,887
ך,11051,782
ועל,1816,876
עו,10511,773
אותה,2086,861
קו,6322,813
ואז,1874,854
עכשיו,1726,853
יר,8227,778
הילדים,3842,826
מו,7044,786
השמש,2170,839
בעולם,1498,842
שאל,2067,834
חשוב,1655,837
שהם,1727,834
אם,2275,827
לי,2083,826
צריך,1824,828
לכל,1443,828
עד,1379,828
דברים,1727,824
ליד,1685,824
ף,5578,776
שאלה,2027,813
זו,1417,818
ואת,1412,818
דו,5455,771
והוא,1875,807
מכל,1270,810
למצוא,1492,807
חו,5589,762
יל,5679,761
שהיה,1294,808
הכל,1445,805
יא,8280,729
שלי,2018,796
ילד,1853,797
לה,2108,794
אנחנו,2590,788
תו,4859,761
חדשים,1650,796
לב,1612,795
מי,1737,788
הגיע,1315,784
אהבה,1538,781
בתוך,1467,780
ינ,4889,742
המשיך,1568,778
הרגיש,2073,761
ית,4834,730
חברים,1513,766
וכך,1079,769
דרך,1376,765
שהיא,2105,754
ילדים,1890,754
יפה,1434,758
חדש,1381,756
אהב,1345,750
טו,3608,724
הקטן,1488,747
ראה,1675,743
הפך,1338,744
שמח,1481,741
ין,3650,717
אולי,2277,732
כו,3095,722
עץ,1648,730
ץ,3694,706
כמה,1382,730
אחת,1380,727
התחילו,1392,726
צו,2897,709
כאילו,1710,716
גדולה,1029,721
יב,2890,699
נראה,1204,715
קטנים,1223,714
אך,1379,705
והם,1445,704
שבו,1323,704
הבין,1681,700
יע,2661,689
סו,2646,689
לשחק,1677,699
חייך,1426,701
שלא,1410,701
סיפורים,1706,697
אז,1359,700
בשמחה,1139,702
יה,2725,681
ענה,1400,688
עיניים,1013,682
יך,2320,666
יק,2531,663
אש,1698,660
שלך,1440,662
צבעוניים,922,659
הגיעו,1021,655
הזמן,1138,651
פו,1905,641
רצה,1136,649
ילדה,1166,647
חיים,1086,646
חזק,1100,645
המשיכו,1041,640
החיים,1118,638
ידעו,1111,638
תודה,1201,637
כבר,1368,634
למה,1119,636
הביתה,1105,633
פרחים,1260,629
חיוך,1060,631
יודע,1228,627
העצים,1243,625
עליו,1024,623
קרה,1011,616
ימ,1762,607
ביחד,1249,612
זמן,1005,612
שיש,1008,611
אפילו,1003,611
יכ,1775,601
פתאום,952,607
ילו,1683,598
שלום,1616,597
יח,1558,597
באמת,1061,601
מעל,1215,599
חייכה,1153,599
קרא,1071,599
יפ,2277,579
כן,1268,590
בדיוק,975,592
הדרך,1033,590
עצמו,934,588
אף,940,586
אחרים,956,584
טובים,934,582
ולא,853,581
במקום,921,580
חלק,1102,578
קול,930,576
קשה,1054,573
יכולים,951,573
ינו,1593,563
וכל,751,572
חשב,1065,566
רבים,838,568
גדולות,690,566
ראו,1041,562
רגע,1108,560
מצא,923,558
ניסה,1093,556
לעולם,879,557
למקום,773,558
יט,1359,551
התחילה,855,552
ואני,877,549
יהיה,865,549
חי,682,551
בעיניים,743,550
שלנו,1134,545
מתחת,931,547
ידעה,1289,542
שזה,807,546
כאן,1100,542
ענק,843,543
בחיוך,794,543
עדיין,942,540
הגדול,931,540
