word,count,doc_count
क,136802,1240
र,88755,1240
न,86872,1240
ह,79234,1240
स,76117,1240
म,71234,1240
त,70571,1240
द,63115,1240
ल,51703,1240
य,50311,1240
ज,44232,1240
थ,41368,1240
और,40753,1240
प,31623,1240
ग,30838,1238
ख,29879,1240
ब,29214,1240
च,28477,1238
श,24726,1240
व,23533,1237
एक,20362,1240
छ,14937,1236
ए,14735,1234
ट,13887,1225
अपन,12032,1235
भ,11789,1222
बह,11301,1220
कह,12300,1204
रह,10984,1192
फ,9793,1193
कर,7933,1205
ई,9656,1183
पर,8334,1179
वह,8840,1173
हम,11161,1135
यह,7176,1156
ध,8284,1135
ड,9795,1117
लग,5583,1155
उस,6838,1142
उन,9023,1114
आ,5490,1127
उसक,6795,1108
नह,5652,1111
हर,5426,1094
बन,4931,1098
करन,5359,1075
उसन,7383,1052
गय,4336,1078
करत,3972,1066
इस,3336,1060
रहत,2769,1064
सकत,3552,1008
झ,4268,952
ष,4528,948
ठ,4098,933
सर,3534,921
दर,3273,919
गई,2913,922
सक,1977,930
मन,2471,921
उनक,3365,911
अच,2808,890
रत,2767,885
गए,2536,861
तरह,1828,865
चल,3216,830
पत,3431,817
भर,2041,828
बच,4441,803
बत,2374,817
पस,1973,818
घ,2350,808
जब,1816,801
पह,2429,780
बड,2234,752
अब,1889,747
लत,1590,739
घर,2360,730
सबस,1790,732
सम,2388,725
सभ,2398,722
मदद,2832,715
गल,4665,697
जह,1372,710
अ,2334,694
नत,1315,702
पहल,1281,686
वन,1900,669
तन,1560,672
कभ,1503,670
रख,1245,672
अन,2006,660
ढ,2341,653
कल,2183,654
समय,1220,651
ओर,1208,639
खन,1345,635
तक,1137,635
इतन,1251,632
उत,1171,632
रक,1719,627
आय,1152,631
बस,1386,622
लन,1292,607
हत,1368,601
सब,1410,597
कई,1289,597
समझ,1259,595
खत,1038,597
रण,1248,588
ऐस,1024,587
लकर,1446,578
ऊ,1266,556
मत,1120,556
ओ,1187,555
लड,1289,553
धन,1043,552
उठ,931,542
नन,1163,534
चमक,1214,529
गर,1407,523
