word,count,doc_count
je,221010,2487
i,126726,2487
su,77045,2485
se,74657,2487
u,61489,2487
da,45136,2485
na,34800,2482
s,21968,2408
a,18781,2438
ali,19121,2409
od,14995,2436
bio,18063,2389
što,15962,2400
za,14623,2356
bila,13178,2343
nije,12708,2305
koji,11375,2316
kao,11699,2297
o,12952,2239
to,11729,2248
kako,11116,2228
dok,7019,2238
sve,9438,2196
bilo,8343,2182
bi,11590,2098
ne,11277,2088
do,7839,2117
po,6287,2109
uvijek,8154,2077
koje,6986,2072
samo,7128,2060
ga,9149,2037
će,7468,2019
koja,6341,2027
iz,6639,2014
svoje,6101,2009
dana,5624,1989
jednog,4075,1937
tako,4797,1897
kroz,5143,1887
sam,7589,1847
ih,6790,1853
nešto,5507,1854
sa,4739,1854
rekao,7350,1823
prema,5296,1834
još,5215,1784
bili,5766,1762
biti,4785,1771
gdje,4732,1765
rekla,6824,1738
nakon,4477,1739
put,5202,1690
ti,6501,1671
svoju,3957,1658
mali,4669,1643
kad,6216,1604
mu,5840,1599
jer,3798,1597
dan,3932,1587
te,3770,1570
svi,4794,1550
svojim,3202,1558
sunce,3792,1551
ja,5092,1479
svaki,3228,1496
oči,3212,1495
zajedno,4213,1483
više,3270,1492
već,3116,1465
oko,2931,1456
jutra,1900,1467
mi,4079,1437
kada,3289,1441
svoj,3063,1442
jednom,2566,1437
malo,4047,1420
joj,5268,1397
im,3930,1397
si,4022,1377
očima,2312,1360
imenu,1887,1363
sada,2748,1334
odmah,2527,1313
pomoći,2966,1287
bile,2595,1290
počeo,2571,1276
ponovno,2970,1261
li,2971,1245
imala,2163,1238
poput,2370,1230
zatim,2330,1228
ovo,2835,1216
sebe,2344,1218
pa,3135,1204
koju,2060,1214
nego,2457,1204
šume,3258,1182
pažljivo,2396,1189
veliki,2267,1181
živjela,1676,1187
uz,2382,1179
može,2185,1177
priče,2687,1162
svijet,2947,1156
mala,2628,1159
šumu,3225,1152
počela,2190,1161
on,3170,1146
dobro,2369,1142
nekoliko,2177,1137
dalje,2130,1135
šumi,3568,1111
polako,2359,1123
svom,1849,1124
srcu,1991,1121
imao,1975,1115
kući,2143,1112
pronaći,2194,1106
vrijeme,2200,1098
malom,1369,1105
mora,2358,1092
prije,1764,1095
mogu,2078,1091
tada,1659,1091
iako,1832,1084
svijetu,2031,1081
ona,2656,1069
tog,1430,1082
ju,2427,1069
znala,2690,1065
srce,2373,1063
avanture,2268,1060
nikada,1794,1062
jedan,2127,1058
boje,2225,1055
njega,1815,1058
možda,2927,1042
ako,2514,1044
mnogo,1742,1038
nisu,1944,1034
priča,2286,1029
tko,2070,1029
nove,2095,1028
ispod,2002,1026
prvo,1547,1031
znao,2370,1021
njih,1805,1027
sunčanog,1125,1032
ljubavi,1973,1010
velikim,1542,1014
živio,1365,1014
tamo,1834,1007
kraju,1522,1004
mjesto,1900,999
no,1876,988
svih,1497,986
odgovorio,1981,978
ću,2102,975
ima,1691,978
gledajući,1584,972
pun,1496,965
puno,1604,963
odjednom,1652,957
stvari,1688,949
svojoj,1414,951
moramo,2102,938
brzo,1558,939
sretno,1374,941
male,1557,936
kraj,1438,930
ili,1660,927
smo,2296,918
prijatelji,1833,920
avantura,1773,912
bez,1717,911
tu,1497,911
avanturu,1660,908
naravno,1644,899
iza,1587,899
hvala,1610,895
odgovorila,1762,891
ljudi,2296,882
njima,1327,890
selu,1929,883
velike,1359,889
malu,1366,886
vidio,1767,881
zauvijek,1397,880
vidjela,1852,874
ćemo,1909,872
radost,1758,873
starog,1333,877
trenutku,1369,874
čak,1376,870
drugima,1845,864
postala,1497,857
život,1412,857
oni,2058,846
znam,1589,850
preko,1493,850
mogao,1345,845
upitao,1601,839
njegova,1584,839
ponekad,1879,834
svim,1215,838
krenuli,1488,834
dio,1563,830
onda,1581,829
glas,1662,823
velikog,1277,821
znali,1466,818
druge,1274,819
sunca,1263,818
opet,1594,813
postao,1386,814
upitala,1465,813
radosti,1363,811
šuma,2159,798
pomoć,1378,804
ljubav,1762,799
toga,1207,805
životinje,1989,795
iznad,1751,795
tom,1180,797
važno,1444,794
djeca,2798,772
počeli,1272,784
veselo,1243,774
čuo,1158,772
njegov,1396,769
prijatelja,1259,770
priču,1394,758
stigli,1272,758
vidjeti,1172,755
djevojčica,1381,750
često,1024,753
sretan,1277,750
vrlo,1355,747
osmijehom,999,749
sretni,1220,746
njegove,1150,742
treba,1298,738
nje,1169,738
nježno,1238,735
pored,1170,735
tajne,1604,729
pred,1086,733
glavom,953,730
vremena,1088,724
odlučio,1341,721
prvi,1158,721
zrak,1133,717
jedna,1299,715
kuće,1256,715
volio,1210,714
najbolji,1059,715
ispred,1027,715
ovaj,1127,713
pogledao,1076,711
tiho,1511,706
jako,1324,708
vratili,1018,711
nas,1242,708
nebo,1404,706
vratiti,1044,705
njihova,1235,702
dogodilo,1026,704
zašto,1187,699
one,1152,699
nikad,1132,698
shvatio,1260,696
nastavila,1152,694
ovdje,1256,692
prijateljstvo,1424,690
svog,969,694
nasmiješio,1061,692
miris,1247,689
voljela,980,692
vjetar,1778,682
blago,2321,675
staru,981,690
osjećao,1363,685
unutra,1123,687
drugi,1036,685
pogledala,1099,683
putovanje,1630,677
cijeli,986,684
nastavio,1136,681
srca,1143,678
toliko,1066,678
ptice,1182,673
svijeta,1279,670
glasom,910,674
želim,1296,665
tome,957,668
spreman,1042,667
krenuo,1067,664
danas,1157,661
jedne,940,662
jednu,1051,660
svima,993,660
sjedila,932,658
cvijeće,1269,654
hrabrosti,1106,654
avanturama,939,655
malog,909,655
sreće,1048,653
shvatila,1202,650
duboko,922,651
nasmiješila,994,650
vidjeli,1132,646
osjetio,1236,641
svaka,1032,640
puna,854,640
njoj,866,638
najvažnije,864,637
hrabrost,1216,633
pod,1045,634
njihove,1013,634
počelo,833,636
pomalo,883,634
davno,728,633
sjedio,874,630
vrata,1621,621
cvijeća,1062,626
velika,959,627
sreću,978,621
naučio,1121,619
prijatelje,986,618
osjetila,1348,612
me,1109,614
pronašli,1347,610
odlučila,1094,610
otvorila,938,611
mogla,889,611
života,855,610
nastavili,979,608
ćeš,1106,605
ste,1211,603
velikom,830,606
vratio,843,605
vode,990,603
vam,986,603
veliku,849,604
prijateljima,916,601
učiniti,860,601
ubrzo,813,601
osjećala,1254,596
posebno,816,600
natrag,824,598
pronašao,994,596
hrasta,1159,594
dječak,1231,593
dobar,1018,595
ptica,1068,592
zvuk,1060,587
uzviknuo,996,584
živjeli,764,586
životu,816,585
gledao,896,582
bojama,853,582
svojih,738,583
mjesta,863,581
čula,901,580
zbog,892,578
koliko,856,575
postali,823,575
godine,910,574
hrabro,777,575
možemo,1010,572
selo,1269,567
njemu,798,571
gledala,896,567
pronašla,1027,563
riječi,1104,562
taj,806,565
krenula,982,563
ono,958,563
novu,838,563
idemo,1014,560
naučila,1060,558
svaku,757,561
suncu,733,561
pitala,981,558
igrali,868,557
zvijezde,1614,548
uzbuđenja,676,557
prijatelj,811,555
sretna,851,553
čarobni,1580,541
lagano,918,548
istraživati,828,549
svega,667,548
prijateljstva,837,546
nevjerojatno,703,547
njezina,1018,543
među,733,546
događa,770,545
primijetila,849,542
puta,789,540
ni,930,536
sebi,794,537
uzviknula,859,534
ništa,811,534
ugledao,847,531
netko,1194,527
novim,741,532
dugo,718,532
svakog,682,532
pjesme,1008,527
nova,824,529
putu,738,529
zrake,826,528
odlučili,1010,524
način,723,526
zraku,715,526
najviše,648,526
neobično,609,525
rijeke,998,520
nam,816,522
znajući,666,522
primijetio,827,520
nitko,796,519
njezin,872,517
sigurno,685,519
nebu,888,516
vratila,787,517
čarobne,1044,514
zvijezda,1414,509
mislim,781,516
došao,749,516
konačno,703,516
glavu,741,514
jutro,789,511
ugledala,840,509
tajnu,933,507
rubu,672,509
stajao,683,508
zato,862,503
ponosno,679,504
poseban,677,504
živjeti,672,504
smijeh,1027,500
svake,726,502
možeš,809,501
mogli,714,502
stabla,819,498
jedno,807,495
vidi,743,495
čudno,631,496
svakom,715,494
životinja,878,492
zemlju,887,490
dovoljno,754,490
vas,811,489
igrati,849,488
luka,7132,417
umjesto,689,489
sela,977,485
lijepo,680,488
čuli,664,488
noći,999,484
njim,608,488
sva,644,486
godina,655,484
vodu,827,481
redu,709,481
drveća,613,482
vi,856,479
novo,649,481
dva,754,478
pokazujući,633,479
životinjama,759,477
mama,2491,456
grane,732,475
tužno,608,474
izgledao,589,474
malim,624,473
svako,606,468
trenutak,730,466
licu,553,467
otvorio,616,465
sad,806,462
moj,733,462
rukama,596,462
ljude,741,460
potragu,651,461
stajala,628,461
niz,621,461
boja,983,454
spremna,648,456
stari,731,455
večeri,701,455
duge,689,455
ikad,598,456
stare,677,454
novi,652,454
izgledala,543,455
dom,740,452
moram,662,452
vrhu,626,452
njegovo,609,452
moraš,727,450
blizu,603,451
marko,5429,396
uzela,673,449
bude,628,445
svojom,595,445
lišće,707,443
snagu,606,444
spremni,638,443
ikada,547,443
otkriti,601,442
gledali,592,442
baš,716,440
prolazili,526,442
naći,649,440
veliko,626,440
čarobna,1028,435
more,1426,430
