word,count,doc_count
a,283893,2573
és,73748,2573
egy,46506,2573
az,33322,2563
hogy,31382,2571
volt,25901,2561
nem,21985,2544
de,16611,2516
is,17751,2482
kis,10997,2382
mindig,9814,2325
meg,8150,2287
csak,7290,2239
nap,8137,2212
mint,7413,2181
aki,6040,2149
amikor,6065,2130
nagy,7425,2066
el,5188,2075
ez,6107,2058
már,6659,2035
minden,6105,2032
még,5412,2013
mondta,6607,1977
van,5603,1966
hatalmas,6727,1955
ahogy,5527,1936
pedig,5233,1914
olyan,4704,1876
most,5165,1866
nagyon,5289,1774
én,6483,1739
voltak,3798,1761
lett,3771,1728
ki,3629,1716
ha,3698,1704
kérdezte,4255,1681
mi,3922,1683
ő,3789,1676
kell,4144,1653
mert,3557,1651
ahol,3227,1648
egyre,4115,1629
ami,3685,1624
majd,3657,1608
tudta,3313,1601
tele,3171,1594
hanem,3307,1589
mintha,4017,1570
szép,3311,1575
valami,3303,1568
volna,3217,1567
fel,2867,1565
ott,3008,1559
azt,3262,1550
egyszer,2493,1513
együtt,3309,1504
vagy,2914,1506
amit,2723,1486
élt,2304,1488
őket,2935,1431
neki,2807,1430
mit,2797,1430
soha,2673,1428
így,2384,1368
úgy,2361,1363
te,2789,1292
végül,2068,1296
hol,1899,1297
boldogan,2210,1285
hirtelen,2306,1269
akkor,2166,1256
érezte,2518,1231
napon,1958,1234
felé,2124,1231
vagyok,2311,1223
hogyan,2566,1218
apró,2437,1218
kicsit,2370,1215
kiáltotta,2922,1205
ne,2043,1208
állt,1840,1208
jó,2519,1190
fák,2604,1187
aztán,2069,1189
csodálatos,2163,1159
persze,2546,1148
itt,2024,1149
először,1720,1144
zöld,2381,1129
éppen,1804,1131
furcsa,2097,1125
ezt,1657,1098
sem,1739,1090
között,1743,1084
óvatosan,1917,1073
alatt,1722,1062
miközben,1651,1058
sok,1699,1047
akik,1738,1040
sosem,1777,1015
látta,1816,1013
milyen,1659,992
mindent,1611,990
finom,1977,986
mindenki,1802,979
gyönyörű,1614,980
szél,2649,964
lassan,1449,962
magát,1388,962
kicsi,1836,954
ekkor,1533,956
szeme,1422,952
új,1829,938
rá,1325,939
suttogta,1496,937
szívében,1504,935
kezdett,1347,933
lesz,1434,932
válaszolta,1695,921
virágok,2409,910
tovább,1385,917
újra,1499,914
lehet,1409,910
után,1312,903
mosolygott,1328,897
át,1323,897
történt,1280,896
kék,2028,884
boldog,1467,888
akinek,1201,879
ragyogott,1306,874
világ,1544,871
színes,1748,868
nézett,1164,872
mosolyogva,1204,871
azonnal,1335,869
arra,1313,867
tudott,1273,864
sötét,1796,849
látott,1256,851
madarak,1587,844
mikor,1488,837
reggel,1139,839
legjobb,1313,833
jobban,1217,832
különleges,1343,829
ült,1082,830
ismét,1400,826
szerette,1184,823
amint,1204,821
dolog,1125,813
fa,2062,797
varázslatos,2390,794
elkezdett,1193,802
tudom,1231,798
miért,1196,797
egyik,1083,797
szíve,1286,795
le,1062,794
be,1050,794
egész,1051,790
öreg,1439,764
szeretet,1848,756
más,1048,763
erdő,2650,737
többi,1342,746
ért,1002,748
piros,1505,741
nézte,1043,736
ragyogó,1071,728
csillogó,1214,726
hozzá,974,727
ők,1169,724
elindult,980,723
igazi,1054,721
maradt,940,718
legnagyobb,1023,714
segített,1056,711
gyorsan,1012,711
másnap,818,705
régi,1357,698
örömmel,936,699
kislány,1606,692
mesélt,1040,696
szólt,1030,695
benne,955,693
sárga,1290,689
néha,1074,687
őt,1048,687
hát,1122,682
következő,952,682
legszebb,1083,677
legfontosabb,950,678
azonban,922,676
neve,865,674
kedves,937,671
adott,894,670
este,1023,661
közelebb,889,661
hosszú,886,661
hamarosan,985,659
akit,834,659
szélén,823,659
óriási,991,657
fog,879,658
nekik,1009,656
lettek,877,657
vele,903,655
amely,1156,649
újabb,1099,649
szomorú,1114,647
vidám,1021,647
közben,912,645
titkos,1615,634
hangja,918,638
valaki,885,635
izgatottan,861,634
több,863,631
ment,839,631
meglátta,802,630
levegőben,818,625
vissza,810,620
szeretett,797,620
igen,934,617
elmondta,1228,614
gyerekek,2269,603
elmesélte,830,614
sokat,906,613
köszönöm,925,608
erdőben,1413,603
fejét,823,604
két,1007,597
talán,862,598
hallgatta,803,598
bólintott,795,597
neked,806,594
történet,856,593
rengeteg,823,593
tette,756,591
nagymama,3853,559
nevetett,825,577
közepén,689,578
talált,821,574
napfény,914,571
hang,901,570
visszatért,709,569
kellett,853,567
másik,755,562
napot,950,559
annyira,727,558
imádta,664,557
lakott,629,553
barátság,1021,549
megmutatta,762,551
egyedül,839,549
tudták,794,549
tűnt,671,550
meleg,939,547
maga,690,549
kisfiú,1142,544
elindultak,765,546
nagyszerű,859,545
ilyen,691,545
jól,750,544
hallotta,730,544
mind,712,544
fontos,776,541
játszott,674,540
kiáltott,745,539
hiszen,695,538
ma,787,536
mellett,669,536
megértette,695,534
kaland,876,531
válaszolt,718,532
lenne,655,532
jutott,718,531
amíg,672,530
épp,713,528
hívtak,637,528
levegő,665,525
falu,1803,514
arról,684,523
emberek,1004,518
szinte,639,521
nagyméretű,1148,515
zsófi,7544,457
segíteni,737,516
kertben,1269,511
világot,842,514
faluban,974,512
örökre,698,514
kíváncsi,670,512
kapott,649,512
szemei,677,510
senki,672,510
vált,660,510
valamit,656,509
bölcs,1007,505
mély,621,508
figyelte,663,505
fekete,880,503
ezután,624,503
sütött,641,502
mely,845,500
virágokat,860,497
vannak,653,494
megtanulta,723,491
adta,598,492
jött,626,491
hallott,581,488
várta,620,486
tényleg,649,485
véget,624,483
hideg,897,480
mindenkinek,662,479
ragyogtak,615,479
nincs,613,478
készült,621,476
csillagok,1471,467
valaha,580,475
körül,553,474
nemcsak,654,471
levelek,828,468
baj,594,470
dolgokat,611,468
számára,585,468
hely,636,467
víz,871,464
fehér,723,464
azóta,549,465
elhatározta,594,464
első,551,464
eltűnt,591,461
tudod,585,460
világon,587,459
lenni,646,458
csillogott,531,459
tölgyfa,1078,454
felkelt,554,458
akart,643,455
előtt,550,455
örökké,616,454
idő,593,454
vidáman,585,454
táncoltak,604,453
s,1374,444
végén,548,450
nagyobb,535,450
legyen,583,449
vett,531,449
nézd,609,448
vette,532,447
gyere,630,446
