word,count,doc_count
էր,18387,1226
և,17399,1102
է,11993,1159
նա,11839,1137
մի,8534,1202
էին,8089,1165
որ,7073,1157
իր,6341,1118
շատ,7140,1045
ես,8602,864
նրանք,6503,966
մեծ,4963,1014
ասաց,5456,915
բայց,3698,966
փոքրիկ,3550,973
որը,2816,973
հետ,2929,962
այդ,2924,959
ու,4437,858
երբ,2896,927
կարող,2756,907
նրա,2829,864
մասին,2712,870
թե,2399,883
եմ,3902,772
են,2924,829
օր,1813,897
նրանց,2599,798
մեջ,2177,824
պետք,2646,773
ինչպես,2154,801
ամեն,1918,801
սկսեց,1881,794
այն,1952,780
վրա,1774,791
իսկ,2403,730
իրենց,2112,748
ինչ,1803,764
նրան,2112,735
գեղեցիկ,1703,752
որոնք,1600,754
համար,1614,753
եվ,1986,727
ապրում,1217,777
որտեղ,1373,756
սիրում,1356,747
միշտ,1965,694
մոտ,1425,714
մենք,2865,604
լավ,1915,655
դու,2519,606
ավելի,1626,646
անգամ,1063,663
բոլոր,1257,650
չէր,1237,651
ի,1611,608
ոչ,1237,632
ուրախ,1230,629
պատասխանեց,1715,590
դա,1485,592
հարցրեց,1369,593
էլ,1379,588
այս,1145,603
լի,1188,600
միասին,1317,574
սկսեցին,1055,570
քանի,916,566
տեսավ,1046,546
նոր,1111,539
դեպի,981,528
նչ,1242,500
ուզում,1136,506
միայն,887,521
լինել,1010,493
իմ,1139,479
եթե,888,493
քեզ,1200,471
բան,850,489
այլ,784,490
ենք,1352,445
որպեսզի,790,464
արևի,1108,441
մեր,1073,427
մեկ,701,448
դարձավ,702,441
ժամանակ,603,441
նաև,725,431
երբեք,701,430
օգնել,894,415
ս,862,416
արևը,866,415
հետո,704,425
լսեց,680,426
որոշեց,712,418
լսում,721,417
այնտեղ,698,418
ամբողջ,625,415
որի,604,416
ուներ,619,412
լսել,669,397
աչքերը,641,398
ժպտաց,670,396
դուրս,613,394
ինձ,828,376
մտածեց,609,390
տակ,624,384
բարի,816,358
հետաքրքիր,604,372
հասկացավ,636,368
բոլորը,624,367
դուք,931,344
խաղում,547,361
եկավ,501,360
տուն,620,351
ցույց,514,355
ինչպե,586,350
մեզ,693,342
մոտեցավ,454,357
ով,565,349
գիտեր,592,347
փոքր,527,347
ուրախությամբ,497,348
արդեն,540,345
