word,count,doc_count
na,478,18
ozongombe,601,8
li,280,14
ya,240,15
ngua,387,6
oku,318,8
wa,277,9
za,257,9
va,202,10
a,224,9
omunene,131,11
ombwa,234,7
tjita,230,6
omukazendu,84,10
tja,205,6
ka,127,8
ku,151,7
tate,211,5
mokati,68,8
tsa,265,2
tjou,161,5
u,86,7
omundu,80,7
ovandu,77,6
ove,37,7
oya,124,4
tjiu,148,3
ombara,114,4
gwa,68,5
i,29,6
tjiwa,94,4
ri,60,5
tji,60,5
kala,123,3
o,56,5
rira,122,3
kovandu,152,2
sindiga,114,3
ova,46,5
kombanda,143,2
tjomuhoko,37,5
okarepa,135,2
omuti,129,2
ozimwe,126,2
owa,85,3
ine,80,3
wange,9,5
ame,41,4
tse,72,3
ge,38,4
omuhona,37,4
e,36,4
tjinene,63,3
zongombe,28,4
tjimwe,27,4
ndjao,59,3
ombaze,59,3
ko,57,3
tje,23,4
kohandje,55,3
po,18,4
okwa,49,3
tjavo,49,3
me,15,4
to,48,3
namibia,14,4
kozongombe,14,4
mbali,46,3
hu,78,2
nawa,11,4
tjoupi,76,2
yo,9,4
zi,9,4
ai,8,4
umwe,8,4
we,7,4
omu,73,2
otjiposa,67,2
okungoma,33,3
oshowe,33,3
otji,32,3
mbwa,31,3
okuza,31,3
ti,30,3
oga,29,3
ozombanda,28,3
ngombe,59,2
mwa,22,3
okutunda,22,3
vana,55,2
tjitwa,21,3
omupokago,20,3
okutja,17,3
oviungura,50,2
omba,15,3
omutima,15,3
ga,15,3
yi,14,3
okuya,46,2
in,12,3
us,12,3
wavo,12,3
and,45,2
tjihe,45,2
meme,11,3
on,9,3
da,8,3
omiti,7,3
mo,6,3
ou,5,3
ina,38,2
ouzeu,4,3
ke,3,3
mu,3,3
t,3,3
k,3,3
maigana,36,2
okatji,36,2
oshowo,35,2
kuanyama,34,2
omutja,33,2
an,32,2
ota,31,2
zokati,31,2
xa,30,2
tjimune,29,2
omuinyo,28,2
otjizemo,27,2
omulongo,26,2
ombazu,26,2
omulungu,25,2
ombele,25,2
omuhoko,25,2
okukara,25,2
kara,23,2
vyavo,22,2
vya,21,2
okahandja,20,2
vambili,20,2
onene,20,2
ombari,19,2
womuhoko,19,2
omaveze,18,2
omuherero,17,2
omutjange,16,2
konamibia,16,2
shi,15,2
tu,15,2
okavare,14,2
pula,14,2
otja,14,2
rire,14,2
wo,14,2
at,13,2
tjiri,13,2
otjiri,13,2
woku,13,2
opo,12,2
oruveze,12,2
rara,12,2
vane,11,2
ohapu,11,2
vi,11,2
tjozongombe,10,2
tjimanga,10,2
past,9,2
is,9,2
pa,9,2
ondjo,9,2
mona,9,2
nde,8,2
pole,8,2
ondjaba,8,2
ye,8,2
shoka,8,2
tjike,8,2
ombatero,8,2
would,7,2
it,7,2
ee,7,2
oyo,7,2
kazeho,7,2
okutara,7,2
tjange,7,2
like,6,2
monika,6,2
omutse,6,2
otjiwa,6,2
nomilandu,6,2
otjitunda,6,2
tjiti,6,2
se,5,2
ndi,5,2
kovi,5,2
paunene,5,2
ndji,5,2
wendi,5,2
go,4,2
given,4,2
si,4,2
oko,4,2
otjinene,4,2
womundu,4,2
under,3,2
what,3,2
man,3,2
forget,3,2
path,3,2
now,3,2
village,3,2
ere,3,2
ana,3,2
ra,3,2
n,3,2
ozo,3,2
ozohole,3,2
ombepo,3,2
tjari,3,2
day,2,2
high,2,2
has,2,2
view,2,2
walls,2,2
main,2,2
hi,2,2
ehi,2,2
eka,2,2
kuna,2,2
kopa,2,2
mama,2,2
otjipungu,2,2
okuenda,2,2
