word,count,doc_count
yang,59645,1687
dan,58520,1687
di,33191,1687
dengan,26205,1686
mereka,28042,1631
itu,24725,1656
ia,29143,1485
untuk,14303,1674
sangat,13482,1592
dari,9355,1656
ke,8834,1624
tidak,8417,1597
sebuah,7782,1601
tentang,7960,1526
kecil,6700,1557
selalu,6952,1548
hari,5291,1580
melihat,6385,1545
dalam,6306,1534
bahwa,6338,1516
menjadi,6649,1503
akan,6437,1500
ini,6885,1463
adalah,5150,1491
ada,5226,1468
juga,4936,1466
bisa,6257,1381
merasa,5577,1397
tahu,4118,1435
suatu,2709,1472
lebih,4692,1407
mulai,4726,1394
semua,4878,1366
seperti,4151,1370
sedang,3822,1354
kembali,3780,1351
kata,5278,1308
indah,4423,1318
bernama,2434,1365
saat,3251,1321
kita,7184,1205
memiliki,4037,1288
setelah,3276,1307
telah,4157,1281
banyak,3596,1280
kepada,3491,1272
harus,3606,1261
besar,3208,1263
ingin,3341,1256
seorang,3411,1247
suara,3777,1236
apa,3246,1248
beberapa,3170,1245
menemukan,4277,1200
terus,2973,1234
aku,6913,1121
tersenyum,3206,1211
penuh,2991,1209
tempat,3132,1175
karena,2848,1179
setiap,3017,1174
hanya,2617,1178
anak,3858,1113
lain,2944,1136
hiduplah,1210,1169
mata,2402,1131
mencari,3183,1102
orang,3334,1096
membantu,3664,1064
pada,2581,1094
tetapi,2814,1077
hati,2592,1081
baik,2963,1068
oleh,2147,1090
tapi,3237,1056
kemudian,2603,1070
akhirnya,1996,1069
semangat,2529,1049
pernah,2118,1051
belajar,3060,1024
kasih,2289,1045
cerita,2451,1033
membuat,2889,1012
jawab,3045,996
sudah,2533,1008
bermain,3205,981
namun,2164,1003
air,3384,961
desa,5527,896
bagaimana,2097,974
senang,2150,969
atas,1996,973
lembut,1789,978
biasa,1822,973
tanya,2204,958
membawa,1856,960
lagi,1984,948
bahagia,2019,943
ketika,1952,941
hutan,5922,828
matahari,2260,931
sesuatu,1972,937
bersama,2114,929
pohon,3623,881
rumah,3062,895
saja,1927,924
baru,1932,914
tiba-tiba,1602,922
sekali,2402,891
semakin,1918,902
luar,1842,885
mendengar,1488,891
seekor,1979,863
bagi,1697,868
kamu,3634,808
berjalan,1843,841
bawah,1746,835
rasa,1716,834
hidup,1822,831
sambil,2029,823
penasaran,1445,838
terkejut,1436,838
seru,2071,820
sebagai,1408,838
tua,2371,797
hijau,1512,820
hal,1432,813
gembira,1458,811
menceritakan,1453,804
suka,1428,801
memutuskan,2041,783
tak,1593,795
datang,1294,803
dunia,2303,771
mencoba,1676,786
paling,1459,790
satu,1352,791
sana,1355,784
memberikan,1566,776
sendiri,1402,774
matanya,1341,768
balik,1391,766
dekat,1246,769
tinggi,1273,767
segera,1482,758
terima,1334,761
tersebut,2620,723
kisah,1511,752
petualangan,1999,737
tetap,1254,755
bukan,1281,752
mengangguk,1226,746
berbagai,1395,741
menjaga,1999,712
tampak,1303,731
berwarna,1211,729
sedikit,1321,724
sejak,904,730
sering,1098,724
pagi,1386,715
bahkan,1192,716
pun,1207,710
hati-hati,1183,709
sungai,2483,671
anak-anak,1964,684
berusaha,1291,702
budi,9891,457
malam,1923,682
alam,2369,668
keindahan,1804,683
jangan,1197,698
selamat,1243,696
tinggal,1027,699
teman-temannya,1983,671
berhasil,1272,691
menuju,1094,691
keras,1326,684
masih,1060,691
sama,1273,684
mungkin,1282,681
pergi,1152,668
begitu,1039,669
makanan,1497,654
laki-laki,1009,667
diri,1113,663
kuat,1210,660
burung,2742,615
kali,989,664
duduk,981,664
terlihat,1045,659
bertemu,1115,656
waktu,1029,655
berbagi,1192,647
perjalanan,1620,634
bangga,1001,650
berlari,1226,641
dapat,1969,619
mana,1016,642
persahabatan,1726,620
menyadari,973,641
langit,1447,627
seluruh,1038,638
cara,1177,631
menarik,1076,628
pentingnya,1042,626
kekuatan,2057,590
dia,2889,563
bersemangat,895,619
melakukan,1268,608
jauh,945,610
saling,1277,599
kebahagiaan,1259,599
tengah,895,607
