word,count,doc_count
og,127704,2399
að,96926,2400
í,60489,2400
var,50938,2397
á,40742,2395
sem,37444,2399
hann,40834,2228
hún,41258,2072
með,24336,2371
um,21020,2355
af,19765,2353
það,21131,2326
til,18412,2368
en,19690,2343
við,22794,2263
ekki,15046,2292
sagði,19825,2175
þegar,11640,2315
er,18960,2159
voru,12658,2234
eins,12739,2184
þar,9058,2242
ég,22179,1967
fyrir,9074,2205
þau,23714,1886
sér,8473,2163
hafði,9303,2139
þetta,10497,2069
einn,5302,2050
upp,6547,1987
eftir,5845,1985
hvað,7271,1955
svo,6615,1952
því,5998,1961
sá,7117,1936
alltaf,7445,1925
frá,5713,1926
vera,5977,1920
sig,5490,1908
þá,5146,1855
úr,5155,1854
allt,5290,1840
þeir,11098,1728
fór,5721,1823
þeim,5583,1823
aftur,5768,1812
þú,8713,1753
út,5108,1809
saman,6023,1724
fara,5012,1729
eitthvað,5509,1714
aldrei,4524,1723
sinni,3594,1709
bara,4479,1690
yfir,4425,1689
fann,5369,1656
spurði,4964,1658
vissi,5758,1614
áfram,4196,1639
væri,4074,1621
kom,3717,1622
finna,4056,1605
gera,3995,1587
bjó,2425,1609
varð,4448,1557
hvernig,4129,1553
einu,2609,1553
inn,4198,1523
honum,4576,1502
tók,3261,1507
sínum,3430,1502
niður,3439,1486
meira,3602,1474
líka,3569,1460
mjög,5711,1414
daginn,2875,1467
eða,3488,1429
áður,2744,1435
hans,4971,1386
henni,4708,1389
öllum,2930,1413
byrjaði,3146,1408
verið,2756,1404
átti,2862,1395
horfði,3273,1384
stóð,2661,1384
litla,3021,1375
sína,2884,1358
þeirra,3487,1346
svaraði,3467,1333
gat,3181,1334
leið,2809,1336
stór,2521,1332
hana,3406,1307
dag,2517,1322
séð,2626,1317
fóru,3164,1290
stað,2452,1298
hennar,4645,1251
hét,2015,1296
hélt,2539,1286
litlu,1964,1266
allir,3204,1223
enn,2364,1227
eitt,2200,1223
heim,2451,1207
gegnum,2343,1208
augu,1928,1210
eru,2980,1189
þér,2696,1191
höfðu,2715,1189
sinn,2196,1197
leika,2694,1182
hugsaði,2380,1184
sjá,2165,1177
komu,2148,1167
undir,2463,1157
elskaði,1890,1160
nú,2102,1155
alla,2247,1141
þess,2004,1137
ævintýri,3039,1115
leit,2123,1125
leita,2280,1104
degi,1757,1104
brosti,2115,1094
já,2601,1084
hver,1935,1092
sólin,1889,1088
gleði,2378,1066
ert,2167,1056
heldur,1677,1032
öll,1941,1023
myndi,2047,1020
meðan,1730,1011
lítil,1551,1014
sat,1615,1009
gekk,1811,1004
mér,2029,998
koma,1645,1003
ekkert,1738,1000
stórt,1582,998
segja,1773,987
tíma,1629,982
gæti,1699,980
vildi,2024,969
síðan,1610,976
annað,1603,976
þær,4335,907
sögur,2152,947
þessi,1627,951
stórum,1369,948
öllu,1537,943
veit,1709,938
fundið,1581,935
vinir,1895,914
hverju,1506,911
ákvað,1986,900
fékk,1608,907
sínu,1415,910
ef,1468,909
vissu,1794,899
kannski,1999,893
hjálpa,1890,895
aðeins,1481,901
hafa,1598,897
kringum,1486,897
getur,1504,896
augun,1441,892
vel,1459,890
okkur,1866,881
sitt,1448,886
ein,1390,884
fannst,1481,877
hjarta,1681,862
mikið,1363,866
þessu,1381,865
gert,1398,860
héldu,1480,854
lítill,1366,856
stundum,1558,851
fram,1255,855
varlega,1560,840
oft,1296,842
hvert,1307,841
hér,1509,834
hluti,1457,834
hló,1351,834
strax,1397,821
jafnvel,1291,822
einnig,1547,816
öðrum,1341,804
hvar,1403,801
urðu,1348,801
þessum,1121,798
stóru,1198,793
allan,1241,783
smá,1205,775
þig,1345,769
allar,1191,768
halda,1124,767
hljóp,1262,764
hefur,1231,764
verður,1250,760
fleiri,1318,752
okkar,1435,739
eina,1051,746
virtist,1384,739
þannig,1038,744
fundu,1486,735
fallegt,1168,740
kallaði,1080,739
mun,1331,734
gerði,1083,737
sama,1088,734
hrópaði,1235,730
áttu,1151,730
ertu,1165,726
fullt,1040,728
þurfti,1131,725
tré,1383,720
hef,1224,718
vinur,1252,712
bjuggu,1006,714
vindurinn,1408,703
núna,1107,708
þarna,1049,705
sín,988,705
hár,985,704
langt,1044,700
hvort,1008,700
dýr,1414,692
fólk,1266,692
hverjum,1011,696
full,980,693
ljós,1269,685
enginn,1039,689
sögu,1348,682
lærði,1505,671
gott,1075,677
