word,count,doc_count
e,154612,3512
di,134137,3512
la,111734,3512
il,99981,3512
un,96166,3512
che,64051,3512
a,61448,3512
con,57669,3511
si,48045,3512
le,48180,3504
una,44466,3512
i,41794,3498
era,34440,3498
per,34259,3496
in,29569,3507
non,28577,3475
del,28106,3467
ma,24353,3484
più,21652,3457
gli,20629,3404
sua,21361,3387
della,20964,3388
come,18690,3436
da,14387,3423
suo,17656,3275
giorno,13233,3371
nel,15495,3319
al,13049,3258
ogni,13151,3237
aveva,12187,3193
è,15536,3061
mentre,8489,3215
sempre,10522,3120
loro,15724,2996
occhi,9189,3087
lo,11542,3003
alla,9119,3030
così,7343,2993
cuore,9511,2920
suoi,9582,2917
disse,9600,2888
anche,8065,2919
volta,6835,2940
piccolo,8541,2890
dei,10980,2828
tutti,9434,2837
quel,5735,2850
delle,8761,2748
tra,7112,2779
cosa,6958,2730
sole,8279,2665
dopo,6292,2698
c'era,5028,2699
grande,6373,2623
solo,5931,2607
erano,6120,2572
nome,4078,2617
voce,5911,2564
sue,6525,2544
nella,6397,2529
dove,6342,2519
dalla,5519,2496
sono,7462,2434
ancora,5427,2479
mondo,7038,2418
gioia,5977,2441
mai,5133,2436
quando,5046,2389
poi,4687,2376
po,5915,2329
se,4996,2333
tutto,4380,2313
rispose,5980,2274
dal,4352,2265
ad,4637,2250
sulla,4953,2225
verso,4729,2215
sorriso,4377,2221
essere,4657,2204
chiese,4760,2201
cielo,5747,2171
prima,3725,2176
speciale,4362,2161
sentì,4492,2158
fare,4628,2124
fu,4332,2093
pieno,3659,2102
questo,3731,2029
qualcosa,3837,2012
casa,5253,1967
continuò,3511,2002
altri,4465,1976
vita,4188,1981
su,3364,1985
esclamò,4167,1946
insieme,3886,1937
sotto,3706,1926
amici,5265,1890
molto,3870,1907
iniziò,3320,1917
piccola,3685,1900
senza,3321,1879
perché,3472,1868
sembrava,3217,1873
felice,3689,1845
sorrise,3164,1847
storia,5094,1786
sul,3023,1808
ai,3063,1788
ci,3372,1778
ti,3809,1762
forte,2868,1775
divenne,2898,1734
amava,2680,1726
momento,2702,1719
degli,3351,1694
sapeva,2997,1701
avvicinò,2555,1704
lui,3051,1685
tempo,3329,1674
storie,4160,1653
avventure,3448,1665
piena,2724,1681
fiori,4787,1633
grazie,2868,1663
luce,4306,1611
sentiva,3058,1635
vento,4184,1607
bambini,7504,1529
magia,4796,1587
alberi,3278,1614
nuovo,2631,1622
trovare,2555,1599
sei,3031,1588
aver,2611,1595
grandi,2444,1596
decise,2494,1578
questa,2546,1562
vide,2610,1543
sofia,18907,1171
ho,2936,1509
fatto,2348,1516
capelli,2216,1518
felicità,3239,1492
proprio,2238,1501
stava,2266,1494
felici,2314,1490
mi,2923,1465
li,2968,1462
qui,2439,1455
luogo,2771,1446
vero,2255,1454
tesoro,4460,1388
io,2612,1407
finalmente,1899,1410
amore,2785,1383
alle,2094,1386
sé,2023,1379
gentile,2150,1373
lì,1933,1371
lungo,2120,1361
guardò,2052,1361
avevano,2307,1354
nei,2032,1357
foglie,2878,1331
posto,2288,1340
vedere,2045,1345
quella,2043,1334
viveva,1599,1343
colori,3246,1303
fece,1908,1333
ora,1992,1320
iniziarono,2099,1317
subito,1951,1316
coraggio,2803,1294
dalle,1931,1311
o,1854,1308
tornò,1702,1300
vicino,1946,1293
brillavano,1628,1293
profumo,2415,1271
soprattutto,1821,1281
segreto,3029,1251
hai,2162,1260
terra,2465,1253
ha,2010,1261
mano,2037,1258
dai,1799,1252
due,2319,1235
albero,2106,1238
amico,2304,1231
capì,1794,1239
attraverso,1897,1234
avventura,2071,1229
chi,1961,1224
tutte,1816,1226
marco,14903,928
parole,2105,1217
piccoli,2064,1217
lei,2175,1208
