word,count,doc_count
の,177161,2574
た,170343,2573
は,157535,2574
に,137150,2574
を,135986,2574
て,92261,2573
まし,109100,2299
が,69800,2574
と,63055,2574
で,48399,2573
し,38773,2570
も,30297,2552
い,28725,2567
な,28440,2551
こと,24672,2541
から,14025,2514
たち,25563,2319
ある,10023,2487
よう,14365,2418
だ,18352,2355
そして,12112,2435
いる,11869,2423
日,8601,2459
中,11863,2361
する,9847,2389
か,12157,2349
その,11445,2334
ん,12154,2291
お,23499,2089
です,12064,2247
いつ,8008,2270
ない,8244,2219
なり,9046,2202
心,10134,2184
それ,7574,2212
れ,8207,2190
でし,9595,2118
小さな,7504,2144
ながら,6535,2127
そう,8789,2079
さ,6494,2061
ます,11274,1980
始め,5277,2048
見,5609,2030
よ,8481,1987
き,5036,2019
少し,6753,1936
大きな,5519,1937
ね,8024,1891
なっ,4939,1928
一緒,6119,1870
へ,6050,1869
あり,4447,1848
何,4359,1812
声,5116,1794
さん,15420,1643
大切,5123,1780
優しく,4317,1772
目,3926,1765
くれ,4260,1758
まるで,5085,1739
この,5362,1733
言い,6502,1700
笑顔,4960,1687
これ,3503,1691
せ,3124,1681
元気,3599,1634
ませ,3721,1623
自分,4970,1597
みんな,7307,1549
たくさん,3487,1567
でき,3588,1550
や,3570,1550
私,5557,1516
人,7124,1491
ため,4505,1518
もの,3288,1532
光,5783,1489
まで,2773,1522
とても,3628,1502
たり,5515,1449
いき,2982,1483
美しい,3778,1471
いっぱい,2398,1469
一,2913,1460
優しい,3119,1438
家,3989,1420
たい,3212,1426
言葉,3110,1413
不思議,4482,1389
いう,2530,1415
子供,8184,1315
顔,2965,1388
本当,2772,1371
そこ,2400,1376
続け,2959,1351
また,2765,1353
手,2577,1349
見つけ,2705,1339
時,2514,1338
場所,3240,1317
どう,2353,1328
持っ,2418,1323
気持ち,2581,1319
答え,2687,1313
いく,2154,1310
次,2109,1305
空,4909,1262
木,5195,1240
なる,2426,1277
られ,2089,1276
力,3996,1247
村,12206,1107
話,2862,1227
しかし,2275,1230
住ん,1572,1238
なく,2005,1218
しまい,2061,1210
だけ,1978,1206
友達,3920,1173
今日,2866,1183
ありがとう,2177,1176
太陽,3111,1159
教え,2418,1162
すぐ,1960,1167
ちゃん,16658,952
後,1762,1162
物語,3193,1140
名前,1815,1158
女の子,2344,1123
ば,1935,1128
行き,1872,1121
大好き,1686,1121
毎日,2076,1097
ず,1703,1101
前,1681,1093
森,7853,1002
周り,1883,1087
風,3492,1063
彼,4550,1043
色,2225,1067
いい,1995,1058
冒険,4385,1015
すごい,2097,1047
できる,2012,1047
だっ,2516,1037
姿,1776,1033
話し,1773,1025
困っ,2194,1017
もう,1731,1021
僕,2820,993
聞い,1838,1006
考え,1612,1005
でしょう,1675,1004
男の子,1978,999
尋ね,1610,993
秘密,4469,949
感謝,1742,987
感じ,1662,984
喜び,1539,983
静か,1638,981
二人,5257,914
時間,2022,955
さらに,1419,959
ら,2776,931
勇気,2473,926
どこ,1507,940
花,4449,895
あっ,1406,938
どんな,1410,921
大きく,1403,915
遊ん,1494,913
聞こえ,1410,913
幸せ,1886,903
むかしむかし,924,913
世界,3637,873
探し,1884,897
出,1332,902
誰,1568,896
きっと,1331,895
あげ,1495,891
作っ,1824,885
最初,1230,891
ずつ,1309,887
つ,1934,876
新しい,2272,871
大丈夫,1369,884
もっと,1872,875
嬉し,1450,878
助け,1740,865
出し,1266,865
より,1284,863
だろう,1269,861
やっ,1250,860
よく,1181,846
って,1660,839
輝き,1323,843
食べ,2023,829
特別,1411,836
たら,1186,838
間,1130,832
まず,1076,832
来,1340,827
み,1444,824
つい,1638,819
あの,1585,818
ずっと,1234,823
しれ,1283,822
再び,1203,821
気,1153,820
言っ,2040,804
今,1157,813
優し,1556,807
見え,1174,811
上,1674,803
思い,1306,800
遊び,1415,798
かけ,1157,799
様子,1140,799
音,1636,790
夢,3203,766
くれる,1196,791
聞き,1302,788
夜,1774,781
下,1530,783
見つめ,1064,778
あなた,1981,764
わあ,1135,774
行っ,1181,773
懸命,1172,765
楽しい,1366,762
輝い,1048,764
輝か,897,753
母,3538,712
方,1101,747
話しかけ,1106,742
ところ,1076,742
しよう,1044,740
ゆっくり,1065,736
なん,1133,727
一生,1113,723
現れ,1118,718
胸,952,715
みたい,1209,710
笑い,1151,710
しまっ,1072,711
生き,1086,707
忘れ,1065,705
じい,5302,642
一番,1115,702
希望,2041,685
伝え,1121,698
君,3963,649
友情,1925,677
山,2260,669
思い出し,900,687
過ごし,954,686
宝物,2493,662
学び,1088,682
それぞれ,1268,678
うん,1384,673
興奮,951,678
道,1472,668
向かっ,1001,663
れる,897,660
光る,1341,652
感動,930,652
輝く,980,650
行く,982,649
ちょっと,1075,645
強く,929,647
動物,2950,617
度,963,645
奥,1158,642
永遠,1203,640
星,4024,596
美味しい,1606,631
作り,1375,632
叫び,904,638
しばらく,807,637
通し,894,634
頭,858,632
こう,854,632
微笑み,848,631
近く,934,629
