word,count,doc_count
lan,25624,775
ing,12683,773
kang,13141,563
sing,12428,566
ana,4258,731
kanggo,5745,686
iku,6015,665
bisa,4243,683
seneng,4600,666
ora,4954,644
nanging,3514,682
karo,4032,651
banget,4769,626
saka,3439,653
uga,3155,618
dadi,3110,610
kanthi,4260,559
wis,2749,603
dina,1812,603
iki,3204,557
ngerti,2675,567
nalika,1972,586
kaya,2521,553
dheweke,5976,447
sawijining,2267,554
wong,2913,520
urip,2224,538
cilik,1950,543
marang,2204,519
aku,3346,468
bocah,1826,494
yen,2449,468
babagan,1941,480
kudu,1832,477
apa,1374,483
bakal,1528,455
menyang,1535,450
mung,1297,443
saben,1183,429
padha,2419,372
kabeh,1520,399
paling,1436,394
tansah,1788,379
apik,1225,393
gedhe,1407,386
banjur,2416,345
luwih,1056,382
rasa,1118,379
ati,1016,377
lagi,968,376
amarga,1263,365
kita,1581,347
alam,1500,334
katon,1612,329
wong-wong,1775,322
dhèwèké,4845,227
wektu,895,338
kasebut,1819,308
tetep,891,335
sawise,642,337
terus,864,327
para,1633,298
jawa,1428,304
supaya,734,323
duwe,946,315
nggawa,763,320
desa,1852,281
jenenge,522,316
ngomong,1001,300
kuwi,2016,266
kaget,636,304
alas,1691,269
wiwit,827,293
semangat,710,295
ndeleng,861,287
nganti,589,295
crita,813,288
maneh,614,286
swara,874,276
kowe,1506,254
bali,630,279
désa,2537,220
banyu,1225,257
penting,516,276
akeh,613,272
nyoba,585,272
ujare,800,264
nggoleki,828,260
cara,584,257
saiki,482,258
ayu,1267,233
penasaran,476,255
langit,757,245
arep,502,250
isih,431,252
tresna,727,237
gunung,1099,225
nyawang,732,236
omah,682,235
yaiku,411,239
ketemu,636,232
mbantu,577,232
liyane,506,228
njaga,811,218
nggawe,611,223
kali,764,218
tekan,428,227
takon,413,226
tentrem,463,224
kuat,506,222
wadon,437,222
mikir,381,223
bocah-bocah,758,211
sawetara,390,222
siji,431,219
liya,610,213
bebarengan,435,215
mlaku,461,210
wayah,389,212
duwé,811,199
minangka,437,210
tuwa,579,204
nuwun,390,209
sawah,865,194
dening,380,208
wit,638,200
dolanan,758,196
anyar,481,204
kono,339,208
njaluk,504,203
ijo,418,205
krungu,398,205
joko,2847,129
jaman,290,206
ya,358,202
kuwat,418,200
pinggir,336,202
wedi,453,197
alus,321,197
pinter,341,196
sapa,304,194
angin,365,192
sore,310,193
gedhé,580,184
weruh,372,190
dhuwur,348,190
ati-ati,331,190
dhewe,394,188
langsung,480,185
ngajak,372,188
tengah,293,190
lanang,321,188
dalan,425,183
pengin,403,182
matur,349,182
wae,279,183
ngelingi,399,179
njupuk,361,180
wit-witan,327,181
papan,372,178
menehi,372,178
mau,722,167
pancen,325,178
utawa,267,178
ireng,497,171
kepengin,327,176
warga,729,163
kisah,330,175
katresnan,536,168
ngrasakake,430,171
ngisor,252,176
ngrungokake,312,174
tanpa,296,173
sampeyan,584,162
teka,273,171
aja,301,170
nemu,581,161
nyenengake,308,169
lemah,324,168
srengenge,419,164
kebak,258,168
déning,470,161
awake,292,166
biasa,323,164
sinau,514,158
ingkang,1566,125
cedhak,266,164
gampang,253,164
mesem,325,161
wah,307,161
atine,302,160
nduweni,380,156
pengalaman,323,157
lunga,291,157
nganggo,250,158
aneh,279,157
becik,349,154
metu,210,158
cerita,388,152
wengi,463,149
kekuwatan,599,144
manuk,555,145
salah,219,154
warna,314,151
njero,274,152
mesthi,267,152
ibu,592,141
rara,1921,100
lungguh,219,151
ngadeg,247,150
kanca,356,145
suwe,188,149
bungah,264,146
kembang,689,133
putih,414,141
carane,273,145
liyané,419,140
sabar,277,144
kawruh,468,138
ngrasa,368,141
nemokake,331,142
mata,220,144
lembut,198,144
si,1050,117
abang,278,140
panggonan,311,139
putri,1170,113
ngandhani,254,139
mlaku-mlaku,237,139
ngelingake,293,137
kula,478,131
bareng,376,134
nglakoni,286,136
rumangsa,281,136
sregep,314,135
ayo,280,136
tau,260,136
padhang,298,134
jero,231,136
kewan,519,127
mereka,1144,108
sisih,205,136
kuwatir,237,135
watu,484,126
