word,count,doc_count
ya,35766,813
yandi,16350,668
na,19892,573
mu,10861,531
ye,10105,511
mosi,3327,650
kuna,5034,606
muna,7071,549
mbote,5101,580
ngolo,4421,586
mambu,4558,578
nzila,3305,555
nzo,3040,561
kansi,2713,568
muntu,2515,569
mwana,3152,551
wa,4961,509
yo,3927,524
ntima,2624,540
zola,5166,479
bantu,3829,492
vandaka,10003,327
yina,3602,462
a,4258,416
nsi,2107,460
ma,3114,430
ntoto,1878,455
kongo,2744,435
mono,3983,386
bana,3236,399
mbanza,1987,424
mpe,3378,389
kiese,2860,400
nkento,2116,414
za,2493,404
mpasi,1664,409
ku,2522,371
ntangu,1662,366
kwenda,1680,362
nkaka,1339,368
konso,1548,358
mvula,2111,338
nti,1699,338
mona,1298,347
mpi,4064,280
nkumbu,1157,343
mfumu,2108,312
ke,2131,310
kia,1559,312
yonso,1900,301
yayi,1448,309
nzambi,1670,303
ntete,748,322
nene,1165,307
ve,1351,297
vanda,925,306
kusala,1452,294
kaka,950,304
kuzola,1194,293
luzingu,1744,278
lumbu,1067,293
ti,2027,269
nima,647,300
kele,2084,263
e,3075,238
sala,1084,283
o,3168,234
bo,2941,239
kilumbu,770,285
luzolo,1488,268
ba,1323,266
nsangu,1169,266
dia,917,268
andi,1176,260
zina,595,273
mingi,976,259
mpila,827,262
bima,970,258
yau,1174,251
kana,623,262
sambu,1868,232
vana,850,250
bakala,770,248
nkutu,763,245
wenda,1062,238
beto,1607,211
wau,722,230
wakala,875,221
lwa,834,220
nzala,657,224
nsuka,475,228
baka,545,222
zulu,588,220
kumona,554,217
nzola,807,210
nki,517,216
kubaka,516,215
wavova,779,208
ngeye,1050,197
mfunu,487,207
nge,1244,186
mbuta,665,199
i,947,192
mama,859,194
kimosi,354,205
vanga,630,198
wazola,741,191
kima,526,195
kala,657,190
ntu,371,196
ngemba,1061,180
nkanda,627,189
vava,769,184
ndinga,489,189
ko,586,183
nkulu,541,183
nzadi,864,175
diambu,596,181
kwa,732,175
mvu,365,181
waka,427,176
kadi,520,173
kanda,638,164
kulonga,381,169
vo,775,157
lenda,427,164
kutuba,586,160
zaba,416,163
meso,322,165
wamona,439,161
wayenda,510,159
nkisi,911,149
nde,770,152
kitoko,710,153
nsoni,413,159
va,566,155
bonso,470,157
kati,342,158
zolaka,459,153
fwete,576,150
beno,652,148
mia,539,149
mutindu,631,146
yai,532,146
mpangi,536,145
nga,394,148
me,776,139
mvimba,307,149
kuzaba,358,145
nsungi,475,142
vova,682,137
salaka,352,143
madia,478,139
bu,617,135
yenda,303,142
diandi,254,142
tuba,427,138
lumingu,377,139
ntama,235,140
tata,890,124
mbongo,494,133
monaka,333,136
diaka,333,135
mbala,333,135
zabaka,359,134
kuma,396,133
malongi,389,133
kupesa,289,134
kuzinga,315,133
kukwenda,279,131
maboko,539,125
kwiza,274,131
tubaka,432,127
mboka,670,121
kieleka,308,128
kuenda,325,127
mpembe,441,124
kuluta,306,126
buna,369,124
mawa,763,115
ngangu,380,123
mbandu,252,123
bazola,365,120
kuvanda,271,122
nkenda,546,115
bisalu,480,116
mpeve,435,117
ndonga,232,120
nsunga,843,105
bilumbu,356,116
maza,721,107
kina,218,118
boma,421,113
mbele,226,117
kutula,224,117
ntinu,329,114
bakaka,227,115
bambuta,378,111
nsiku,346,110
yi,379,109
kusadisa,283,111
makasi,405,108
kubakisa,267,111
mvovo,396,108
kimvuka,283,109
kumosi,298,108
songa,247,109
nkosi,670,99
zandi,267,108
nza,242,108
bonga,231,108
mawonso,298,106
bena,223,107
bua,309,105
ndambu,233,106
yawonso,300,104
zaya,273,103
ngindu,252,103
yela,202,104
kisalu,309,101
bosi,261,102
nzenza,233,102
zole,178,103
nani,169,103
wena,226,101
yantikaka,395,96
mambote,261,99
mpenza,261,99
kulanda,152,101
sadisa,236,99
wadi,357,96
nkunga,308,97
wabaka,323,96
kuvandaka,312,95
kibeni,178,98
moko,248,96
zinga,290,95
moyo,234,96
nsaka,364,93
ngunda,261,95
ngudi,304,94
bika,234,95
mbi,272,94
ta,272,94
yakala,220,95
kulomba,160,96
kumonisa,186,95
bwala,391,89
wavanga,152,94
kinsuni,233,92
mbeni,231,92
mvutu,227,92
mbuma,268,91
dimosi,169,93
bayenda,227,91
wanda,209,91
yala,194,91
landa,227,90
nda,181,91
wazaya,172,91
walonga,168,91
mpimpa,298,88
mayele,253,89
nkatu,146,91
ka,172,90
nsambu,251,88
nsongi,197,89
kusadila,146,90
nkwa,221,88
nsinga,167,89
bamona,146,89
fulu,226,87
kumaka,224,87
tu,222,87
lungisa,196,87
wateka,234,86
ndumba,208,86
yambote,190,86
kuzitisa,221,85
nkia,169,86
kukuma,134,86
wonga,165,85
bwa,205,84
kiandi,159,85
tala,241,83
wandi,193,84
yango,279,82
ngwizani,311,81
ludi,173,83
tuna,260,81
nsaku,517,75
ki,234,81
longa,183,82
kwendaka,267,80
ngombe,349,75
nitu,163,79
nkanu,338,75
watoma,309,75
wasonga,127,78
nkoko,642,66
ndilu,198,76
pesaka,153,77
una,150,77
kanga,185,76
ee,189,75
yimbi,213,74
tula,164,75
kusonga,119,76
fwa,117,76
mvuka,200,74
mbizi,199,74
banga,107,76
wayantika,192,74
di,175,74
mbu,242,72
wasala,153,74
luyalu,194,73
nsala,583,64
yeno,189,72
nketo,141,73
tubila,177,72
lulendo,142,72
nganda,139,72
matondo,129,72
nkangu,207,70
kimfumu,255,68
makulu,122,71
kudimona,295,67
fioti,148,70
basala,141,70
mpamba,138,70
tunga,123,70
mbisi,198,68
yankaka,147,69
kutala,137,69
kunda,126,69
buela,209,67
bavova,121,69
wavovesa,155,68
ngulu,234,66
se,186,67
mandi,140,68
yimosi,134,68
yantika,120,68
wana,115,68
kudila,149,67
munu,105,68
zingu,175,66
mayingi,130,67
mwa,112,67
masa,190,65
mbila,102,67
yambula,100,67
wazala,142,66
kwandi,96,67
nganga,306,62
matadi,130,66
kuyindula,172,65
mboti,126,66
yadi,156,65
ngunga,155,65
vwa,148,65
batu,148,65
vena,101,66
kulutisa,98,66
ame,226,63
mbasi,128,65
kikesa,114,65
wela,108,65
luvunu,146,64
kukonda,145,64
vutuka,119,64
kuya,117,64
keti,196,62
mpaka,195,62
nduku,236,61
makala,103,64
tuzola,140,63
kulungisa,94,64
bavanga,135,63
mboma,438,56
mbangi,130,63
zunga,157,62
kukala,107,63
kukatula,96,63
landaka,119,62
lua,144,61
luzitu,181,60
balonga,122,61
wambote,118,61
ntalu,111,61
ndenda,150,60
kakala,139,60
tulenda,135,60
yima,90,61
kuta,86,61
mbula,163,59
lusadisu,162,59
nzuzi,362,54
walenda,86,60
makanda,193,57
waba,99,59
vula,92,59
bavanda,91,59
kulu,124,58
balenda,120,58
vunda,116,58
ntembe,157,57
wavutula,113,58
tuka,86,58
tatu,163,56
mfinda,204,55
mbazi,111,57
muingi,198,55
bankaka,145,56
inki,143,56
bambote,99,57
wayela,93,57
ndombe,212,54
kubika,118,56
kumonaka,117,56
vuvu,158,55
lukumu,113,56
songaka,112,56
yayingi,107,56
ziku,106,56
kuiza,98,56
lunda,98,56
sadila,79,56
zi,163,54
vutula,99,55
mpema,181,53
muana,132,54
kamba,130,54
kulunga,79,55
makutu,107,54
kwakala,99,54
nlongo,230,51
tambula,95,54
monisa,93,54
fwana,111,53
mbata,105,53
yoyo,102,53
lumonso,92,53
kulonguka,91,53
nkundi,132,52
kiaki,87,53
dina,77,53
bumba,120,52
bambuma,153,51
kuwa,194,50
