word,count,doc_count
ол,18354,1560
мен,13585,1574
олар,11540,1504
болды,9421,1567
және,9606,1503
бір,7789,1572
оның,8383,1472
деп,7239,1438
еді,6396,1510
бұл,6245,1496
берді,6022,1506
деді,6987,1406
да,5446,1489
бірақ,5409,1483
күні,4908,1518
жақсы,5968,1423
кішкентай,4385,1403
бірге,4348,1335
олардың,4998,1279
үлкен,4016,1354
де,3880,1337
жаңа,5133,1219
күн,3825,1290
бастады,3330,1317
барлық,3645,1266
ең,3252,1281
қалды,3125,1280
өте,3076,1223
келді,2956,1220
оған,3279,1186
өз,3059,1190
туралы,3607,1137
болып,2616,1218
оны,2991,1179
кейін,2539,1189
бар,2531,1169
ал,2610,1162
қатты,2667,1123
сол,2426,1141
әдемі,2627,1112
кетті,2298,1130
болатын,2438,1113
пен,2838,1062
біз,3382,1010
тұрды,2044,1068
әрқашан,2294,1031
ешқашан,1945,1056
керек,2336,1006
қарап,2021,1030
сұрады,2074,1018
деген,2085,1014
айтып,2014,1018
әр,2119,1005
керемет,2283,989
алды,1883,1021
қызықты,2916,930
кезде,1779,1027
содан,1753,1021
алып,1843,1006
айтты,1822,997
сен,2395,927
үшін,1838,968
өзінің,2173,928
екенін,1798,952
жауап,1984,927
сайын,1726,928
енді,1707,928
балалар,3275,789
емес,1570,934
шықты,1557,931
оларға,1823,897
өмір,1626,903
әрбір,1871,879
әрдайым,1836,848
көрді,1594,866
сияқты,1391,860
бақытты,1772,822
тағы,1600,836
жоқ,1450,838
жатты,1443,837
түсті,1405,831
толы,1414,830
екен,1628,810
қалай,1521,812
көп,1359,823
осы,1352,817
не,1434,800
ғана,1292,803
көзі,1217,801
қарай,1286,785
менің,1712,740
түсінді,1224,781
тек,1232,778
бір-біріне,1500,753
жасады,1389,758
ерекше,1294,757
жүрді,1223,763
жақсылық,2285,661
бала,1329,734
барып,1154,740
сенің,1432,716
қыз,1199,730
түрлі,1338,716
қуанып,1127,728
ойнап,1156,717
қарады,1116,710
осылайша,1004,717
көптеген,1182,698
жүрегі,1214,695
жасыл,1290,688
отырды,1046,708
көрсетті,1085,704
бірінші,1061,700
көмектесті,1139,689
көретін,1036,695
болады,1140,675
жылы,1146,670
тырысты,1095,674
таң,1027,675
балаларға,1318,644
жерде,1006,666
біздің,1307,637
оларды,1018,648
келіп,980,651
себебі,951,653
жерге,1062,637
басқа,1060,633
көк,1295,610
