word,count,doc_count
함께,9609,2213
수,8153,2200
그리고,7452,2297
작은,6375,1976
그,6034,1983
정말,5941,1762
날,4591,2077
것을,4856,1760
더,4485,1823
아름다운,5271,1609
어느,3611,1983
더욱,4462,1718
다시,4280,1748
하지만,3749,1741
따뜻한,4667,1463
숲,6270,1060
눈을,3541,1645
있는,3312,1631
아주,3064,1595
다른,3456,1438
거야,3247,1459
이,3278,1406
가장,3000,1470
말했어요,4777,1003
반짝이는,3255,1359
모든,3217,1347
위해,3237,1335
특별한,3089,1351
나는,3426,1248
우리,3215,1287
조심스럽게,2794,1386
있었습니다,3866,1094
하고,2775,1340
옛날,2936,1300
모두,2918,1264
꼬마,4032,997
한,2390,1361
있었어요,3162,1156
웃으며,2594,1280
이야기를,2793,1216
새로운,3029,1133
용기를,2719,1206
너무,2490,1238
많은,2619,1204
이제,2392,1257
아침,2164,1303
커다란,2350,1253
말했습니다,3703,924
그들은,3257,959
고개를,2035,1233
맛있는,2841,1018
마치,2218,1124
마음을,2163,1078
행복한,2064,1086
해,2040,1090
예쁜,2159,1046
있었고,1813,1122
영원히,1970,1078
엄마,3650,648
시간을,1901,1065
미소를,1686,1111
큰,1802,1078
가진,1761,1084
꿈을,3028,781
속에서,2012,1020
멋진,1996,992
하늘을,2339,891
거예요,1927,984
했습니다,2254,898
자신의,2242,887
그때,1522,1059
나무,2075,915
다음,1446,1058
즐거운,1826,952
바라보며,1518,1013
마을,2754,702
행복하게,1550,987
것,1559,982
따라,1587,972
오늘,1879,900
보며,1569,973
춤을,2475,750
친구들과,2045,836
바로,1402,983
내가,1738,893
항상,1500,939
속,2242,761
가득,1402,959
세상을,1886,841
햇살이,1310,974
갑자기,1406,949
살았습니다,1410,947
속에,1493,925
목소리로,1438,935
깊은,1548,889
시작했어요,1724,838
할,1381,907
시간이,1290,922
친구들을,1732,796
이야기는,1638,818
시작했습니다,1655,807
소리가,1406,866
점점,1226,907
있을,1315,883
마음으로,1323,879
있어,1401,859
힘을,1501,833
깜짝,1234,886
또,1366,854
통해,1617,777
드디어,1193,878
네,1464,811
말을,1349,833
먼,983,911
먼저,1255,845
와,1244,841
것이,1259,837
않고,1219,825
모험을,1655,714
되었습니다,1567,735
가지고,1273,805
앉아,1155,832
향해,1297,781
있었죠,1392,754
후,1133,808
서로를,1454,730
그들의,1520,707
어떤,1187,772
이렇게,1078,793
아이들은,2505,448
말에,1087,785
했어요,1330,724
손을,1167,756
길을,1517,668
잊지,1091,764
소중한,1135,752
않았습니다,1354,698
어떻게,1084,756
집으로,1159,737
서로,1179,726
그날,934,783
용감한,1512,637
매일,1038,748
모습을,1033,737
두,1362,658
맑은,1057,726
숲을,1745,556
노래를,1559,598
표정으로,1052,719
내어,1024,721
세,1928,504
잘,1089,704
