word,count,doc_count
et,47209,1028
in,19897,1029
erat,9733,991
est,8804,983
cum,8264,993
ad,7922,986
sed,6738,995
non,5255,944
de,5620,917
qui,5184,846
per,3667,855
semper,4420,837
erant,3216,824
dixit,3961,783
sunt,2676,778
ut,3381,759
ubi,2193,784
quid,2612,757
quae,3561,730
se,2425,745
quod,3153,724
respondit,1996,671
eius,2466,659
die,1159,660
omnes,2270,635
magna,1735,646
nomine,1108,649
ego,2859,605
sol,1523,611
etiam,1289,585
omnia,1722,574
hoc,1527,578
ex,1351,574
post,1302,556
te,1660,524
dies,1011,528
quam,1118,524
sum,1488,508
esse,1091,510
magnum,1143,482
a,1044,468
nunc,1072,466
prope,1008,458
sua,1000,458
hic,923,451
eum,1284,442
vidit,1132,445
suo,865,450
fortis,1032,446
suum,954,446
silvam,1406,434
es,1175,439
sic,711,448
terra,1343,434
amici,1711,425
dum,719,437
silva,1391,421
caelum,968,430
marcus,5955,320
flores,1223,423
oculis,712,428
suam,757,427
inter,818,424
si,840,421
iterum,1037,415
puer,1286,403
me,907,411
eam,1220,403
parva,870,403
tu,1180,395
habebat,754,402
suis,731,401
eos,1200,390
habitabat,538,403
quia,1403,383
eorum,851,395
deinde,754,397
magnus,916,389
sicut,991,386
ita,769,390
coepit,759,386
nos,1245,371
pulchra,623,379
subito,707,373
tibi,705,367
haec,761,365
solum,601,365
vita,921,356
puella,1020,351
plena,585,360
gratias,650,353
mihi,691,350
pueri,1945,322
arbores,705,348
ab,513,352
risit,729,346
tunc,681,347
una,498,349
voce,574,346
inquit,874,339
caelo,856,339
amabat,603,341
aqua,898,334
aves,662,338
ibi,623,338
iam,661,337
saepe,552,338
tempus,678,333
terram,757,329
flumen,972,324
bene,589,330
esset,906,321
corde,748,324
omnibus,561,326
sub,648,323
invenit,667,322
mirabilis,648,319
animalia,1104,309
venit,521,320
oculos,534,315
e,500,315
ei,665,310
magnam,492,313
tam,933,301
aquam,756,303
luna,2540,264
domum,653,304
gaudio,627,303
clamavit,563,304
pro,533,303
amicitia,764,297
audivit,553,301
numquam,636,297
nomen,493,299
statim,521,295
iter,787,289
cur,541,292
quasi,539,291
videre,515,289
unus,402,289
illa,557,285
quomodo,619,282
finis,340,283
vox,536,276
postquam,486,274
mea,500,272
tandem,428,273
viderunt,722,265
cor,527,266
fuit,408,268
res,580,264
multos,407,267
vitam,505,261
villa,590,259
parvus,492,260
diem,351,259
tum,478,255
solis,498,254
fabulas,495,254
eis,530,251
volo,580,245
magno,404,248
simul,447,247
multa,476,246
montem,687,237
ventus,583,235
vis,370,239
facere,442,237
suos,349,239
nocte,447,236
montes,533,234
gaudebant,758,229
tempore,332,237
homines,653,229
salve,439,231
auxilium,477,230
amicus,504,229
stellae,634,226
interrogavit,358,232
sine,343,231
locum,461,228
mundo,529,226
mirabile,329,229
amore,436,225
gaudium,473,222
rebus,387,222
vos,728,214
videbat,443,219
vivebat,288,222
poterat,354,220
clara,416,217
intellexit,357,218
ea,436,216
o,417,213
viam,402,213
sumus,369,212
postea,311,212
aliis,336,211
eo,306,211
locus,420,208
avis,1092,193
fecit,310,210
valde,580,203
vocem,368,207
cantabant,302,208
ludere,378,206
aliquid,319,207
gaudebat,473,203
animo,315,206
apparuit,322,205
loco,333,203
medio,279,204
super,323,202
lucius,2133,161
possum,302,200
narravit,300,200
quis,277,200
olim,262,200
diebus,248,199
aquae,367,195
itaque,413,193
coeperunt,403,193
multas,248,196
unum,240,195
nunquam,311,193
floribus,320,192
audax,358,191
exclamavit,304,192
magis,285,192
potes,317,191
habitabant,324,190
ille,531,185
amicos,368,188
silvae,519,183
cogitavit,263,188
ambulabat,284,187
cantus,408,184
sole,268,187
pervenit,284,186
arbore,326,185
nihil,282,185
curiosus,274,185
magni,267,184
ante,262,184
horto,490,179
parvum,274,183
flumina,261,183
verba,394,180
vivebant,342,181
potest,292,182
hac,244,183
sedebat,232,182
dedit,252,181
rediit,237,181
lucem,327,179
rex,1379,156
oculi,226,181
caput,265,180
magnis,256,180
alta,253,180
memoria,252,180
suas,247,180
rogavit,311,178
umbra,540,172
fabula,300,177
primum,234,178
risu,246,177
arboribus,236,177
tua,280,176
felix,965,159
vere,297,173
invenire,248,174
magnae,237,174
puellae,637,165
mater,634,165
villam,398,170
nubes,524,167
monte,376,170
stella,1555,144
duo,312,171
sciebat,303,171
essent,480,167
habebant,292,171
pater,749,161
mundum,415,168
nova,275,171
novas,279,170
luce,266,170
debemus,349,167
lux,468,164
meum,319,167
currebat,300,167
quaesivit,262,167
ne,257,167
cucurrit,255,167
meus,254,167
fabulam,343,165
lucebat,232,167
timuit,266,166
illo,215,167
possumus,255,166
dicebat,450,161
domus,294,164
amicis,282,164
folia,279,164
via,339,162
sapientia,429,160
volebat,382,161
aperuit,226,164
autem,351,161
fontem,425,159
alia,236,163
mirabilia,363,160
potuit,254,162
scio,295,161
fulgebat,228,162
sapiens,388,158
quadam,212,161
verum,243,160
profunda,212,160
discere,280,158
mirabiles,325,157
illud,228,159
amicitiam,308,156
quo,197,158
arborum,243,155
amor,340,152
solus,291,153
arborem,318,152
ago,226,154
historia,255,153
factus,209,154
ire,234,153
tantum,212,153
sonus,274,151
natura,315,150
vera,252,151
debes,250,151
habeo,245,151
fortasse,257,150
invenerunt,343,148
habuit,199,151
cui,236,150
bona,234,150
antea,225,150
facta,223,150
cantabat,300,148
animalibus,243,149
tres,701,139
multi,194,150
timere,194,150
vide,228,149
bonum,227,148
tristis,227,148
ambulabant,256,147
accessit,206,148
adhuc,195,148
modo,225,147
nobis,221,146
ignis,940,130
cuius,230,145
fuerunt,192,145
cibum,325,142
florum,321,142
vobis,227,144
felices,299,142
habere,201,144
manu,180,143
hodie,216,142
venerunt,225,141
tuum,225,141
mirabilem,223,141
pace,262,140
amorem,262,140
multum,210,141
parvam,208,141
vitae,268,139
bonus,215,140
contra,245,139
veni,239,139
plenus,202,139
timore,190,139
periculum,222,137
horas,169,138
vir,299,135
dulcis,206,137
omnium,243,136
ludebant,223,136
redierunt,171,137
magica,344,133
illi,271,134
stabat,188,135
pervenerunt,185,135
noli,184,135
viderat,181,135
incepit,175,135
quoque,207,134
audire,203,134
fecerunt,196,134
silvas,191,133
lupus,1108,113
naturae,405,128
totum,173,133
illis,204,132
quas,190,132
cogitabat,209,131
mei,239,130
ipse,268,129
vel,163,131
scire,253,129
avium,218,129
annos,167,130
