word,count,doc_count
ແລະ,23335,1043
ໄດ້,16412,951
ທີ່,14233,988
ຂອງ,12187,1004
ມີ,8948,1028
ໃນ,8039,939
ເປັນ,5474,935
ມັນ,7998,816
ໄປ,6271,888
ວ່າ,4989,937
ຫຼາຍ,4996,919
ຢູ່,5287,859
ໆ,5577,844
ກັບ,4199,875
ຈະ,4569,845
ນັ້ນ,4142,860
ແມ່ນ,3195,882
ເຫັນ,4058,828
ຄົນ,4035,828
ແຕ່,3863,821
ບໍ່,3772,818
ໃຫ້,4169,790
ສິ່ງ,3598,769
ມື້,2202,829
ຊື່,1533,829
ຢ່າງ,2812,770
ທີ່ມີ,2446,781
ນ້ອຍ,4168,703
ເບິ່ງ,2962,728
ໜຶ່ງ,2905,726
ລາວ,7429,511
ມັກ,2317,724
ຈາກ,2149,727
ທຸກ,2388,697
ນີ້,2134,704
ເພື່ອ,2065,696
ຮູ້ສຶກ,2328,682
ຄວາມສຸກ,2461,672
ພວກເຂົາ,4687,565
ເຈົ້າ,4543,566
ຄວາມ,2482,635
ເມື່ອ,1731,647
ສາມາດ,2019,634
ມາ,1613,647
ດ້ວຍ,1675,641
ຂ້ອຍ,4018,524
ນາງ,6608,408
ຢູ່ໃນ,1489,633
ກໍ່,2810,564
ບ້ານ,2404,568
ສຽງ,1975,584
ດີ,1683,594
ເລີ່ມ,1722,592
ເຮັດໃຫ້,1422,576
ທີ່ສຸດ,1292,576
ເດັກນ້ອຍ,2201,534
ຂຶ້ນ,1473,563
ທີ່ຈະ,1414,563
ແລ້ວ,1349,561
ຊ່ວຍ,1767,541
ຍັງ,1316,554
ກັນ,1693,534
ເວົ້າ,1878,523
ພົບ,1396,539
ເຮັດ,1601,525
ໃຫຍ່,1399,527
ສວຍງາມ,1244,533
າ,2425,479
ເລື່ອງ,1444,521
ຕ້ອງ,1278,517
ຄື,1221,512
ຕົ້ນໄມ້,1715,489
ຫາ,1153,512
ກໍ,2153,466
ອີກ,1038,510
ບາງ,1308,492
ເອົາ,1177,489
ກ່ຽວກັບ,1425,477
ເຖິງ,1004,489
ບ່ອນ,1151,482
ຕ່າງໆ,1038,486
ຮຽນຮູ້,1411,463
ເວລາ,1002,481
ຊີວິດ,1070,459
ຮັບ,1019,459
ຢາກ,1086,452
ຜ່ານ,1029,454
ໃຈ,923,457
ຫຼິ້ນ,1501,422
ຕອບ,1191,435
ອື່ນ,915,445
ຖາມ,1023,434
ພວກເຮົາ,1797,395
ຜູ້,1223,414
ກຳລັງ,942,426
ເພື່ອນ,1168,415
ເຕັມ,839,429
ເຄີຍ,876,424
ຫຍັງ,908,422
ຍິ້ມ,1022,415
ໝູ່,1622,387
ພວກ,1663,384
ພຽງ,712,420
ອັນ,929,403
ຟັງ,882,404
ຮັກ,918,399
ນ້ຳ,1430,373
ສ້າງ,1027,387
ບອກ,759,396
ດອກໄມ້,1651,355
ຮ້ອງ,919,384
ສັດ,1389,362
ກາຍເປັນ,727,387
ນົກ,1628,346
ເທິງ,788,381
ຂະນະທີ່,669,383
ໃຊ້,800,376
ບໍ່ໄດ້,675,381
ຄວາມຮັກ,958,368
ຄິດ,781,375
ສີ,1722,332
ການ,960,363
ລົງ,636,377
ຄັ້ງ,650,376
ປ່າ,1533,336
ຮູ້ວ່າ,609,376
ໂດຍ,691,365
ເຮືອນ,954,348
ເຊິ່ງ,628,362
ໃກ້,628,362
ຕາ,715,358
ຄຳ,2142,291
ຕະຫຼອດ,579,360
ພ້ອມ,648,353
ເຂົ້າໃຈ,641,353
ໄປດ້ວຍ,589,349
ໃໝ່,882,333
ໜ້າ,647,342
ຫຼັງຈາກ,593,343
ໂຕ,1166,317
ໂລກ,813,331
ທາງ,695,335
ກວ່າ,555,341
ຄົນອື່ນ,713,333
ບໍ່ມີ,587,338
ພະຍາຍາມ,636,334
ຖືກ,602,334
ອາຫານ,936,315
ເລີ່ມຕົ້ນ,588,329
ສືບຕໍ່,556,328
ເດີນທາງ,786,317
ສອນ,845,313
ສັງເກດ,600,322
ງາມ,684,316
ຮ່ວມກັນ,740,309
ໄດ້ຍິນ,482,320
ຍ່າງ,570,315
ເຮົາ,1008,293
ດີໃຈ,557,313
ຫົວ,645,308
ຕໍ່,527,312
ເລົ່າ,590,308
ພວກເຂົາເຈົ້າ,1927,246
ຊະນິດ,533,305
ຖ້າ,590,302
ທຸກຢ່າງ,488,306
ທັງໝົດ,530,302
ບິນ,1226,270
ຕົວ,490,301
ເດັກ,707,291
ໄວ້,518,299
ແສງ,1034,275
ອ່ອນ,457,300
ເຂົາເຈົ້າ,998,274
ຮູ້,521,293
ເຂົ້າໄປ,460,295
ຊ່ວຍເຫຼືອ,658,286
ສູງ,494,292
ສະແດງ,543,286
ກິນ,781,275
ຈຶ່ງ,487,288
ສຳຄັນ,497,287
ທັງ,489,286
ສໍ,608,279
ຕັດສິນໃຈ,396,287
ແຫ່ງ,504,282
ແກ່,521,281
ສະເໝີ,466,278
ນັ່ງ,436,279
ເຫຼົ່າ,485,274
ຫຼື,439,274
ເຊັ່ນ,407,274
ຂອບໃຈ,503,269
ສົດໃສ,415,272
ຕາມ,459,269
ແລ່ນ,555,261
ຕົນເອງ,434,266
ສູ່,429,259
ຄິດວ່າ,380,261
ອາໄສ,371,259
ທົ່ວ,405,256
ດັງ,455,253
ສວນ,797,237
ແບບ,371,255
ໄມ້,707,239
ເຂົ້າ,523,246
ຊອກຫາ,485,247
ຫົວໃຈ,445,247
ນຳ,417,247
ບໍ,407,246
ຄົງ,398,246
ແຮງ,492,241
ບໍ່ສາມາດ,362,246
ຕື່ນເຕັ້ນ,377,245
ເລີຍ,438,241
ຊາຍ,607,232
ວິທີ,422,240
ສະຫຼາດ,366,241
ແມ່,1192,202
ດາວ,1858,171
ໃສ່,403,236
ຈົນ,346,238
ເມືອງ,726,221
ອາດຈະ,408,234
ເວົ້າວ່າ,436,232
ກ່ອນ,343,236
ຄືນ,420,230
ຕໍ່ມາ,280,234
ອອກມາ,332,231
ກັບຄືນ,308,232
ຍິງ,425,225
ສອງ,423,225
ທຸກສິ່ງ,330,229
ກ່າວ,392,222
ຄວນ,364,223
ເກົ່າ,338,222
ຄັນ,462,216
ແມ່ນແລ້ວ,419,216
ຄວາມຮູ້ສຶກ,417,213
ທີ່ເຕັມ,300,217
ຮອດ,375,213
ສຸກ,709,198
ສີຂຽວ,387,211
ຮອຍ,358,211
ສຳລັບ,343,211
ເຮັດວຽກ,458,205
ອອກ,310,211
ສີສັນ,367,207
ຕອນ,343,208
ແມ່ນ້ຳ,543,199
ວັນ,361,206
ເທົ່ານັ້ນ,260,210
ຕັ້ງໃຈ,316,206
ແບ່ງປັນ,347,204
ສະບາຍດີ,452,199
ໃດ,285,206
ສະຫວ່າງ,431,199
ມື້ນີ້,381,201
ຄ່ອຍ,326,203
ເພາະ,300,204
ກໍ່ໄດ້,344,202
ສີຟ້າ,432,194
ສົມ,1248,157
ອົບອຸ່ນ,295,198
ຄອບຄົວ,425,192
ແນວໃດ,278,198
ສ່ອງແສງ,366,192
ຮ້ອງເພງ,522,185
ຕ້ອງການ,250,197
ສົນໃຈ,334,193
ດິນ,348,192
ຄວາມເມດຕາ,404,189
ລູກ,515,184
ຈື່,280,194
ເກັບ,388,189
ສະຖານທີ່,341,191
ອ່ອນໂຍນ,251,195
ສະຫງົບ,308,192
ຄວາມຮູ້,397,188
ຢ້ານ,357,189
ສ່ວນ,283,191
ດີທີ່ສຸດ,276,191
ປ່າໄມ້,507,180
ເລື່ອງລາວ,333,187
ແຕ່ລະ,274,189
ກໍາລັງ,363,184
ຕໍ່ໄປ,235,189
ໝາກໄມ້,650,170
ເປັນຫຍັງ,246,188
ອະທິບາຍ,278,184
ຄືວ່າ,275,184
ຢາກເຫັນ,272,184
ລົມ,361,180
ທີ່ເປັນ,291,183
ໃຫ້ເຫັນ,240,185
ຮັກສາ,280,183
ຮູ້ຈັກ,265,182
ຄວາມຝັນ,636,164
ຄວາມສາມາດ,366,176
ຈັບ,271,180
ນໍ,312,178
ທ້ອງຟ້າ,379,175
ປາ,906,151
ຫນຶ່ງ,319,177
ມ່ວນຊື່ນ,296,178
ໄຫຼ,302,177
ປີ,301,177
ຕັ້ງແຕ່,217,180
ນ້ອງ,1436,124
ໃຜ,255,176
ຢືນ,230,176
ແຄມ,338,171
ຢ່າ,292,173
ນຶ່ງ,313,172
ຄໍ,738,153
ຕົວເອງ,242,175
ຄວາມງາມ,320,171
ທັງສອງ,335,170
ແທ້ໆ,267,173
ອ້ອມຂ້າງ,256,173
ການເດີນທາງ,401,166
ເລັກນ້ອຍ,220,174
ພາ,321,169
ດຽວ,252,172
ດັ່ງນັ້ນ,217,170
ລອຍ,478,158
ຫວານ,354,163
ລະຫວ່າງ,211,168
ທີ່ເຮັດໃຫ້,235,166
ເຂົາ,545,150
ສະບາຍ,244,163
ຂໍ,229,163
ພໍ່,627,145
ຮຽນຮູ້ວ່າ,217,162
ຕົກ,225,161
ແປກ,304,157
ບອກວ່າ,233,160
ມາຈາກ,207,161
ຟ້າ,651,141
ເພາະວ່າ,246,159
ເກີດ,216,160
ທ່ານ,542,145
ອອກໄປ,221,159
ສຸດທ້າຍ,192,159
ອາກາດ,233,157
ຕົ້ນ,425,147
ຕົນ,270,153
ຫາຍໄປ,264,153
ຫຼັງ,235,154
ສີຂາວ,279,152
ຫຍ້າ,316,149
ອອກຈາກ,193,154
ດ້ວຍຄວາມ,176,153
ຕາເວັນ,240,150
ເບິ່ງແຍງ,254,149
ຄວາມຫວັງ,273,148
ຄວາມສົນໃຈ,329,145
ໄວ,233,149
ມື,251,148
ກະ,402,141
ເຖິງແມ່ນວ່າ,179,150
ແມ່ຂອງ,372,141
ລັບ,251,146
ລະມັດລະວັງ,199,148
ຄົນໃນ,258,145
ດອກ,479,134
ຮຽນ,366,138
ຢຸດ,226,144
ທໍ,298,140
ເອງ,186,145
ໄກ,206,144
ມິດຕະພາບ,294,140
ນອນ,220,143
ສາມ,286,140
ອ່ານ,328,138
ການຜະຈົນໄພ,277,140
ເທື່ອ,206,143
ເສັ້ນທາງ,298,138
ແຂງແຮງ,221,141
ແນ່ນອນ,194,142
ທັງຫຼາຍ,275,138
ປະຫຼາດ,247,139
ກັບມາ,197,141
ຝັນ,259,138
ມະຫັດສະຈັນ,284,136
ສະອາດ,216,139
ບຸນ,968,105
ເກີດຂຶ້ນ,190,139
ຕົກລົງ,202,138
ນຳກັນ,265,135
ຕັ້ງ,175,139
ຍາວ,178,138
ອັນຕະລາຍ,230,135
ຄວາມກ້າຫານ,272,132
ເຫວ,749,109
ປອດໄພ,207,133
ບັນຫາ,224,132
ໃບໄມ້,231,131
ສີແດງ,234,130
ໄປມາ,181,132
ຄືກັນ,173,132
ການຊ່ວຍເຫຼືອ,194,131
ສີເຫຼືອງ,193,131
ຍອມ,189,131
ມາກ່ອນ,177,131
ຕອນເຊົ້າ,164,131
ບານ,261,126
