word,count,doc_count
ir,35623,1072
buvo,12888,1066
kad,10943,1066
jis,11003,967
į,6447,1039
savo,5943,1044
jie,8784,956
su,5430,1022
bet,5337,1014
kaip,4715,980
apie,4596,933
jo,4707,904
yra,3906,924
o,4075,918
iš,3130,931
kai,3163,897
tai,3321,870
labai,5310,792
ji,5933,749
visada,2520,821
taip,2066,826
vieną,1505,842
ant,2233,806
po,2167,801
pradėjo,2518,787
nuo,1824,806
gyveno,1523,787
tik,1996,771
jos,3118,725
prie,1936,760
jų,2114,753
dieną,1445,756
dar,1754,746
kur,1544,721
kuris,1762,709
aš,3439,655
per,1652,680
suprato,1486,678
visi,2290,648
ne,1720,663
pasakė,1979,650
kurie,1518,648
kas,1484,644
turėjo,1464,639
gali,1492,636
žinojo,1232,641
jau,1702,626
pamatė,1514,631
ką,1615,626
ar,1619,617
jį,1363,610
saulė,1375,602
atsakė,1684,592
kartu,1416,600
visą,1090,589
vardu,869,578
būti,1266,564
tapo,1107,559
paklausė,1201,547
niekada,1074,542
tu,1570,522
mažas,871,533
net,1087,525
nes,1117,522
už,900,527
didelis,885,526
jam,1283,506
nusprendė,1490,489
ten,1030,500
daug,1073,498
čia,1162,493
juos,953,499
viską,1027,488
atrodė,904,490
kartą,804,492
turi,929,486
tada,933,480
norėjo,1135,472
tarsi,1147,466
kuri,831,469
ją,952,463
mes,1341,440
vis,776,457
vienas,767,451
miško,1748,417
pat,727,445
mišką,1172,431
nebuvo,706,444
padėti,1027,425
saulės,988,422
nors,740,428
visus,726,426
vėl,840,422
reikia,828,422
kurios,688,419
tarp,591,414
tarė,810,397
medžių,661,396
tiek,675,393
kitą,607,391
jiems,804,383
grįžo,492,386
to,548,384
dabar,667,376
sušuko,765,371
šalia,524,376
galėjo,792,367
namo,598,372
dienos,506,374
akys,587,369
pro,579,368
kiekvieną,596,365
rytą,479,366
bus,652,356
daugiau,685,355
didelį,556,358
staiga,576,357
paslaptis,813,343
miške,760,340
jei,566,343
pasakojo,557,343
pasaulį,712,338
atėjo,505,342
sutiko,582,338
širdis,581,338
viskas,529,338
tau,686,332
toliau,535,331
pasiekė,550,330
tą,495,330
visiems,558,328
rado,584,327
tačiau,491,328
nusišypsojo,495,324
švelniai,499,322
pajuto,572,319
šiek,505,321
galiausiai,459,317
draugai,795,306
dangų,550,312
kol,524,311
toks,450,311
jai,598,303
džiaugsmo,441,307
mažą,415,306
šviesa,710,295
tos,364,305
laiko,428,299
esu,556,295
kartais,558,292
medžio,588,291
jonas,2759,221
man,497,289
pamatyti,504,288
nori,545,286
padėjo,445,289
išgirdo,398,287
nei,449,284
stovėjo,378,286
žinoma,423,284
mano,500,281
pilnas,423,283
gėlių,666,273
visas,422,280
kurio,347,282
svarbiausia,465,278
akis,355,279
šis,389,277
galėtų,501,273
visų,400,272
rasti,419,269
kelionę,444,268
lyg,444,268
toli,480,266
būtų,469,266
aplink,368,269
draugais,423,267
gerai,427,265
medžiai,479,263
gyvena,399,265
nustebo,365,264
kurį,328,264
šį,356,262
senas,471,258
draugystė,467,257
žemės,586,253
sėdėjo,339,260
tyliai,396,258
spalvos,431,256
kažką,366,257
šakos,372,256
kiekvienas,433,253
akimis,328,256
matė,479,251
negalėjo,390,253
vėjas,743,242
balsas,388,251
iki,344,252
viena,364,251
miškas,516,246
dažnai,340,251
ieškoti,357,250
jūs,435,247
stebėjo,334,250
didelę,359,249
mėgo,404,245
kažkas,346,244
mūsų,445,241
netgi,390,242
žmonės,505,235
greitai,335,240
šviesos,536,231
kodėl,410,233
pilna,309,236
pats,307,236
esi,339,235
nieko,330,235
širdyje,324,235
nuotykių,377,233
kurią,303,233
širdį,352,231
paslapčių,463,227
atgal,323,231
nuotykius,346,229
ėjo,447,224
naujų,334,227
didelio,294,228
maža,276,226
paukščiai,416,221
spindėjo,301,224
žaidė,291,224
kelias,329,222
pasirodė,294,223
tiesiog,322,222
ėmė,354,221
gėlės,464,217
tavo,393,218
klausėsi,301,220
netrukus,358,218
pastebėjo,255,221
ilgai,278,220
vandens,482,213
šiandien,317,217
pas,345,216
pasaulio,408,214
istorijas,375,214
istoriją,382,213
seną,290,215
džiaugėsi,310,213
kitų,324,212
