word,count,doc_count
un,42518,1109
bija,18753,1106
ar,10738,1100
ka,8593,1096
par,8167,1084
kas,7708,1082
ir,9253,1032
no,6164,1080
viņa,8290,1008
bet,6076,1052
uz,5279,1048
kā,5464,1027
savu,3765,1004
tā,3364,995
viņš,8112,870
viņi,7367,889
to,3480,962
ko,3294,930
sāka,3522,917
kad,2828,922
ļoti,5416,828
lai,2365,868
tas,2774,825
arī,2216,812
visu,2004,806
viņu,2118,791
kur,1964,795
daudz,2633,756
pēc,1903,766
pie,2096,751
es,4198,691
dzīvoja,1554,759
jo,2300,726
zināja,1799,729
vēl,1674,704
teica,2025,676
tad,1656,678
tik,1575,676
nebija,1474,678
vai,2128,654
kopā,1631,664
vienmēr,1611,656
pa,1315,655
tu,2721,618
tikai,1316,646
atbildēja,2103,620
tur,1394,619
visi,1746,589
tās,1359,590
var,1175,591
mēs,2555,553
katru,1242,584
dienu,1004,589
viens,1192,582
kaut,1206,571
viņas,1973,549
savas,1010,571
man,2134,533
kļuva,1123,553
atkal,1331,544
viņam,1610,534
jau,1269,541
turpināja,998,547
meža,2533,499
saprata,1022,530
pat,906,533
devās,904,529
jautāja,1112,515
savā,855,511
atrada,929,507
saule,994,505
esmu,1433,491
ja,959,502
mežā,1533,485
ne,868,499
viss,956,496
atgriezās,721,498
būt,951,491
nav,881,489
šo,885,487
viņiem,969,473
tagad,1004,472
šī,779,473
acis,787,472
spīdēja,731,470
redzēja,1015,462
nekad,779,467
vienu,736,467
mazs,658,467
varētu,853,457
līdz,743,455
zem,798,451
mums,1201,440
mājās,778,448
kādu,728,446
atrast,858,442
varēja,908,439
stāstīja,772,430
būs,789,425
ceļu,846,423
visiem,733,423
tev,941,413
jaunu,777,417
ieraudzīja,770,416
lielu,640,417
tie,812,409
mazā,638,413
draugi,1092,399
palīdzēt,914,401
pēkšņi,666,406
dienas,552,405
kurš,740,396
acīm,549,399
viņai,950,387
gan,752,391
esi,790,390
prieku,668,390
sacīja,789,386
nolēma,804,380
savām,618,384
reiz,496,385
vairāk,652,380
atcerējās,643,379
viena,564,379
sirds,746,372
koku,653,372
vārdā,496,375
maza,537,373
saules,804,363
apkārt,563,367
tieši,588,366
zemes,600,364
atpakaļ,544,365
pilna,522,365
saviem,586,362
tam,511,362
liels,511,360
visas,575,357
atradās,508,358
jā,746,350
pasauli,714,350
šis,525,347
dziedāja,651,339
mežu,675,337
vairs,521,341
dziesmas,712,336
uzmanīgi,582,338
redzēt,623,334
priecīgi,651,332
cik,581,331
katrs,579,331
labi,576,329
koka,608,327
jūs,798,317
sēdēja,430,323
draugiem,613,318
skaista,445,322
savus,456,319
liela,447,319
kura,437,319
beidzot,446,318
šajā,445,317
kāds,441,316
atklāja,555,313
mīlēja,484,314
dienā,467,314
ziedu,948,301
šīs,439,314
protams,470,310
debesīs,616,298
kurā,519,300
citiem,567,298
spēku,501,296
gāja,479,296
palīdzēja,520,293
pilns,398,295
tajā,402,294
starp,411,292
stāsts,513,289
laika,422,291
kāpēc,477,287
aiz,392,288
doties,503,284
laiku,466,283
iesaucās,601,278
mīlestību,497,280
vien,407,276
putnu,500,273
ceļā,441,273
skatījās,395,274
diena,447,272
vējš,805,262
patika,491,270
debesis,448,270
visus,379,271
kāda,389,270
lēnām,403,269
galvu,397,268
mazu,381,268
sauca,378,268
tos,368,268
skaistu,362,267
ozola,567,261
šeit,468,262
pasaulē,427,263
mani,445,260
stāvēja,318,263
tāpēc,390,261
izskatījās,351,261
varbūt,526,256
tevi,452,257
vienā,308,259
bērni,893,242
šodien,428,253
zelta,788,243
lapas,571,246
paskatījās,360,251
klausījās,355,250
laimīgi,399,248
bieži,342,249
cauri,342,248
ziediem,441,245
pats,317,248
lietas,357,246
katra,355,245
skaistumu,411,243
nedaudz,378,243
pasmaidīja,361,243
sirdi,390,241
vēja,517,237
nekā,317,242
vietu,352,240
ziedi,576,234
mājas,397,238
būtu,330,239
jaunas,345,237
mirdzēja,330,235
caur,317,235
pret,342,234
it,324,234
pacēla,312,234
skaists,305,233
mūsu,380,230
smaidīja,334,230
ceļš,392,228
stāstu,412,227
pavadīja,294,230
tiem,311,229
otru,334,228
stāstus,368,227
īpaši,282,228
meklēt,331,226
kokiem,336,225
sevi,306,225
ūdens,472,220
citu,284,224
jānis,1837,183
jums,418,220
balss,337,222
putni,388,220
draugu,349,218
vēroja,309,219
krāsu,468,214
krāsas,468,214
skaisti,307,217
nu,399,214
mežs,464,212
paldies,314,215
meitene,466,211
lietu,401,212
gaismu,389,212
sirdī,302,214
draugs,300,214
zvaigznes,548,207
arvien,317,213
pasaules,439,209
dzirdēja,275,213
gaisma,386,210
zemē,301,212
debesīm,362,210
dziļi,289,211
jaunus,319,210
iet,306,210
laiks,300,210
nākamajā,253,211
vari,340,207
tiešām,289,208
viņus,286,207
piedzīvojumiem,300,206
spēja,297,206
zinu,295,206
palika,249,207
noslēpumu,458,201
draudzība,441,201
vēlējās,344,203
nevarēja,264,204
gatavs,286,203
abi,385,200
tuvāk,261,202
varam,371,199
nevis,284,201
blakus,280,201
citi,273,201
sākās,246,201
