word,count,doc_count
ny,74016,910
dia,23172,909
sy,17453,907
ary,15838,905
izy,15720,883
amin'ny,12506,904
tsy,9102,902
i,14649,828
ireo,12128,840
fa,7141,899
ho,7828,874
tamin'ny,7081,871
rehetra,6620,855
nisy,6120,861
azy,4743,868
no,5395,858
tao,4721,858
iray,3598,870
izay,5206,843
kely,5112,844
tsara,4882,820
andro,3091,836
mba,3885,810
izany,5221,781
avy,3306,788
teo,3811,780
zavatra,3422,780
tany,3359,776
be,4385,761
hoe,2980,770
hafa,2761,767
olona,4507,736
hoy,6163,709
misy,2403,750
lehibe,2271,750
nahita,2465,736
tena,3157,723
ilay,4370,703
rehefa,2826,693
indray,2329,696
nandeha,2203,697
koa,2091,698
an'ny,2022,694
raha,2047,692
nanomboka,1878,677
ao,1965,663
nanao,1857,662
na,2143,658
hazo,2759,642
toy,1678,647
fomba,2298,637
feno,1818,632
eo,1513,617
maro,1641,608
fotoana,1738,604
io,2018,597
fitiavana,2352,588
any,1534,584
an'i,1697,579
tonga,1455,573
noho,1272,574
ka,1619,569
ihany,1334,571
aza,1172,571
mahafinaritra,1489,567
kokoa,1465,565
indrindra,1479,560
niaraka,1145,550
inona,1543,544
afaka,1371,545
nanana,1119,548
ianao,1884,537
miaraka,1484,541
teny,1475,535
vaovao,1329,535
toerana,1330,534
momba,1476,529
ity,1801,515
aho,1611,515
mafy,1227,517
tia,1364,513
saingy,1260,506
nandritra,944,509
satria,1100,495
manana,1207,493
efa,1273,487
izao,1340,483
antsoina,839,486
vorona,2339,466
tontolo,1590,474
ankizy,2009,462
anatin'ny,943,474
mbola,1024,470
lasa,926,469
feo,1098,460
nitondra,905,456
manodidina,942,449
biby,1579,433
anaty,981,440
nanampy,805,438
ala,2055,422
eny,1061,425
tokony,974,421
farany,767,423
hatrany,832,422
manao,898,421
sady,1421,412
foana,922,417
nahatsapa,744,418
atao,749,415
nianatra,950,411
masoandro,780,409
fiainana,879,406
fifaliana,882,405
niverina,683,407
mety,808,405
tantara,1223,395
anao,900,396
isika,1469,389
nanome,688,398
nilaza,886,395
rivotra,951,390
isan'andro,956,386
mandeha,800,383
nijery,685,382
rano,1540,363
nanohy,591,373
sakafo,1119,365
fanahy,894,367
ahoana,612,367
faly,701,365
mila,793,362
nanjary,755,362
hafaliana,812,355
voninkazo,1284,349
manokana,620,357
asa,920,352
trano,923,348
tarehy,728,341
fo,701,340
nanaraka,534,337
nankany,701,334
ve,606,331
hevitra,608,326
maintsy,696,324
nipetraka,497,325
lalana,847,319
nitsiky,705,315
maso,486,317
isan-karazany,590,315
mainty,622,312
hanao,459,314
loko,695,310
toa,588,311
ry,934,306
nampianatra,628,309
nefa,530,310
hanampy,566,308
nahazo,444,306
maitso,517,305
ela,457,305
hery,726,301
fantany,489,303
zava-drehetra,507,300
nitady,450,299
niasa,483,298
hitany,454,297
samy,586,295
roa,735,289
nandray,465,291
fotsiny,442,290
azo,459,289
nanontany,490,287
isaky,579,285
fanantenana,643,284
manampy,505,284
voankazo,1100,276
tamin'izany,413,283
zava-dehibe,480,280
fanampiana,538,279
nataony,431,280
tenany,410,278
intsony,485,276
tokoa,479,273
tamin'izay,392,274
nampiasa,422,273
mena,595,270
voalohany,367,272
hafahafa,527,267
saina,462,264
tamin'i,405,264
marina,437,262
niaina,378,262
kosa,527,260
olana,450,259
lanitra,477,258
naniry,387,259
namany,581,256
vato,1132,249
lavitra,387,258
reniny,874,250
eto,467,255
bebe,704,252
natao,382,255
izahay,610,252
mahagaga,527,248
hita,413,249
nanatona,351,248
sary,822,242
mahay,433,246
vao,416,244
mihitsy,334,244
nitombo,379,243
niteny,378,243
manontolo,391,241
tsirairay,389,241
renirano,747,236
zazalahy,471,238
fiainany,340,239
taona,379,238
aminy,343,238
manaraka,354,237
avo,370,234
gaga,367,234
nibanjina,354,234
ambanin'ny,307,231
fahalalana,440,228
nihomehy,372,228
mahita,330,228
zavamaniry,538,225
vita,374,227
anjara,493,225
lalina,343,226
ahy,422,225
ilaina,337,226
nahatonga,311,224
samihafa,365,223
mitondra,343,223
nanapa-kevitra,313,223
manga,459,221
fahasambarana,364,219
namana,401,218
malefaka,300,219
akaiky,292,219
haingana,320,218
ravina,425,215
nihira,402,215
te,356,215
misaotra,335,217
fantatro,333,215
zazavavy,388,213
nihaino,298,214
mahavariana,376,213
faritra,329,213
masony,324,212
naka,312,212
tamin'io,265,211
fifandraisana,337,210
fony,333,210
betsaka,302,210
maromaro,276,210
niantso,325,209
nijanona,552,206
nandalo,299,209
niseho,290,209
nanazava,288,209
mamirapiratra,347,208
hazavana,475,206
nizara,360,206
maraina,275,207
zaza,1017,197
sarotra,289,205
taminy,398,202
soa,474,201
natahotra,279,203
