word,count,doc_count
и,34617,947
на,22668,947
да,22418,947
се,20301,947
во,16023,946
со,14126,945
од,11124,947
го,10040,937
за,8413,941
што,7589,940
како,6814,942
ги,6253,904
не,5449,913
е,5148,896
дека,5473,878
но,4151,907
ја,5625,866
еден,3125,875
тие,5076,804
тој,4794,803
ден,2502,849
сите,2823,823
една,2809,801
по,2274,806
кога,2663,784
таа,4556,722
ќе,3168,759
кои,2589,767
до,2101,772
а,2375,751
додека,1628,748
беше,4965,656
едно,1670,745
тоа,2292,722
многу,2416,718
кој,1887,727
низ,1704,674
секогаш,1841,665
своите,1707,657
само,1586,648
кон,1776,641
му,2896,610
секој,1541,647
им,2172,622
така,1085,640
нешто,1398,619
очи,1298,621
си,1672,605
која,1470,600
каде,1263,589
својата,1286,587
беа,1594,543
рече,2228,524
мало,913,546
сонцето,1430,531
својот,969,512
име,660,501
голема,873,487
нив,848,482
никогаш,875,481
заедно,993,469
ти,1287,458
треба,978,463
него,853,465
уште,844,462
јас,1392,445
време,763,462
ова,984,451
има,826,455
мала,797,455
село,921,445
била,1587,425
имаше,965,442
нивните,886,444
биле,1619,419
селото,1725,416
сега,834,439
може,720,437
биде,785,433
радост,911,423
срце,943,420
себе,669,412
голем,689,410
таму,700,408
глас,718,407
другите,892,402
пријатели,1075,396
пред,686,406
бил,1640,379
толку,810,401
нови,855,397
мал,655,401
своето,697,398
живееше,549,398
туку,632,395
неа,665,393
светот,904,386
околу,636,392
кое,667,388
шумата,1692,353
секоја,673,380
нејзината,785,374
мали,675,373
неговата,745,362
праша,828,359
луѓето,1144,348
место,658,361
сум,840,355
потоа,619,361
малку,641,360
повеќе,566,357
други,574,356
големи,531,357
нејзините,817,349
неговите,696,352
деца,801,347
знаеше,686,350
дел,565,352
меѓу,507,353
одговори,897,339
љубов,659,336
пат,556,338
нивната,638,334
небото,833,326
светлина,695,328
свет,689,324
под,583,326
оваа,500,328
децата,1488,300
почна,566,316
било,576,315
неколку,481,316
тогаш,471,316
ако,512,314
живот,488,311
крајот,433,312
полна,466,311
најде,565,307
врати,488,307
земјата,601,299
животот,470,302
секое,492,296
приказни,623,291
среќни,532,290
продолжи,492,290
животни,684,284
очите,456,290
овој,425,290
над,509,285
стара,441,286
луѓе,490,284
покрај,457,281
добро,455,280
планини,369,282
работи,444,277
ѝ,857,264
можеше,434,271
без,398,268
виде,531,263
неговиот,453,264
внимателно,457,262
бои,487,261
тајни,556,259
повторно,472,260
патот,542,257
среќа,465,259
помогне,414,258
девојче,421,257
срцето,441,256
дрво,462,253
дали,412,253
или,373,254
види,394,253
можат,386,252
стана,365,251
авантури,435,249
вода,434,249
неговото,420,246
некој,339,247
цвеќиња,507,242
па,390,244
две,313,245
колку,380,243
погледна,395,242
научи,411,241
момент,343,241
златни,440,238
приказна,432,238
ми,422,237
нејзиниот,458,236
авантура,426,235
дома,387,236
зад,310,235
природата,587,227
полни,317,234
кај,358,232
ништо,294,232
коса,292,231
направи,329,229
нејзиното,390,227
исто,331,228
би,366,227
еднаш,287,229
дрвјата,427,224
тајна,388,224
планината,588,218
марко,2690,159
песни,421,221
храброст,415,221
приказната,385,221
помош,351,220
мора,350,220
полн,295,220
тука,306,219
бидат,321,217
бидејќи,351,215
ни,359,213
убава,346,213
сила,360,212
гледаше,342,212
долго,271,213
отвори,297,211
чувствуваше,338,209
овие,324,209
нова,279,210
сакаше,312,209
ние,385,207
