word,count,doc_count
ക,217089,1679
ന,192588,1679
ട,161883,1679
ത,129341,1679
ച,126618,1679
യ,108820,1679
പ,94752,1679
ര,71474,1678
ല,61683,1679
മ,61019,1677
റ,48025,1679
വ,42274,1674
ണ,38372,1674
സ,38229,1671
ഒര,26375,1677
ള,29283,1646
ഞ,29166,1639
ൽ,24502,1657
ദ,18886,1673
ങ,20990,1636
കള,21450,1631
ൻ,17273,1644
ഷ,17942,1629
എന,14685,1646
അത,13793,1615
കണ,9472,1607
ങള,11920,1560
ങൾ,12162,1525
ശ,9173,1527
കൾ,10116,1514
വസ,4420,1558
ൾ,7796,1531
നത,6987,1526
പറഞ,9046,1480
ഴ,6858,1468
പക,7572,1456
എല,6726,1460
ഹ,6845,1443
സന,7787,1427
ഗ,6678,1431
ധ,5622,1414
അവർ,12830,1358
ടങ,4048,1401
ജ,6568,1359
വര,4997,1369
ഉണ,5961,1360
അവര,8654,1326
വല,4365,1358
വളര,4534,1333
ങന,5699,1305
കഴ,4653,1311
ഭ,5110,1307
അവ,3814,1301
കയ,4621,1279
ആ,5440,1264
വന,3156,1263
യത,3268,1210
നമ,4930,1191
മന,3581,1195
ഷത,4016,1180
മത,3798,1178
മറ,3773,1169
അട,3483,1151
അന,4096,1140
രമ,3042,1147
രത,3737,1134
ഈ,3012,1135
അങ,4257,1119
തന,2969,1126
മനസ,2800,1121
നല,3628,1056
രക,3982,1041
ടത,3068,1048
യങ,3404,1028
അപ,4608,1017
ഹരമ,2283,1032
റഞ,2207,1030
തത,2608,1020
തമ,2494,1018
യപ,1894,1019
പര,2478,1013
ആക,2763,994
ഓര,4222,979
എത,2022,989
തൽ,2049,979
സമ,2287,975
നൽക,2389,959
യമ,1975,955
സഹ,2495,935
ഇത,2241,930
ഇഷ,2185,926
ടപ,2287,868
റച,1940,860
ങൾക,1677,855
രങ,3308,840
കര,1759,846
റത,1606,845
അവൻ,5158,817
നടന,1661,841
അറ,1697,839
അവന,4130,819
അമ,7266,793
പഠ,2376,823
കഥ,2344,823
രണ,1336,828
മയ,2824,810
ടർന,1678,817
ടമ,1497,815
ശത,1961,808
അവൾ,4494,786
റയ,1665,806
കൾക,1656,803
നന,1644,775
ഇന,1720,771
വസവ,1392,773
ളത,1744,764
പത,1466,766
രയ,1855,752
ശക,1739,752
തര,1308,753
പച,1711,749
പല,1613,746
അവർക,1653,737
അവള,3912,719
ഹത,1690,726
പറയ,1394,722
ആര,1683,719
ചത,1176,722
രദ,1201,719
കത,1626,708
വർണ,1840,706
കടന,1045,704
റക,1849,695
ഷമ,1177,699
ബ,2368,689
റവ,1110,693
എങ,1231,692
ർത,1194,692
കഥകൾ,1988,674
വഴ,1503,677
ർന,1118,660
ഷയ,1212,652
ആദ,1784,645
ആഗ,1147,641
റങ,1347,639
തയ,1395,630
നടക,1037,632
ഏറ,918,630
ഗങ,1939,610
അവസ,1093,614
ചര,969,614
ഇര,912,611
വപ,2049,600
വർക,1265,606
ശര,1106,606
ചയ,975,606
യൻ,1583,600
ഓർമ,1235,602
ലത,1248,601
ഷവ,1011,592
ചപ,933,585
ഓട,1220,581
തപ,877,582
രഹ,940,574
പട,1224,568
വദ,965,564
ഒന,785,562
കമ,881,559
ലന,894,555
രവ,2399,542
ആസ,941,549
പങ,974,545
വസങ,772,546
നക,1612,538
പലതര,1036,541
ൽക,885,542
എപ,811,539
രസകരമ,1017,530
എട,870,531
രന,1062,524
കല,1166,523
ശബ,989,524
അവൾക,1275,517
ഭവ,752,519
കഥയ,991,515
ൾക,937,511
നങ,1367,497
പരസ,838,500
പറന,1250,492
മൾ,1001,487
മരങ,965,486
ഴയ,2032,477
പറ,876,483
കറ,1002,481
ഗത,789,480
ഒഴ,904,479
ദര,945,475
ഇവ,742,468
തല,717,460
കയറ,827,448
ഥ,899,445
രഹസ,1439,439
പറക,1244,438
ആശ,639,440
ടയ,764,437
നട,710,437
സമയ,598,435
തങ,801,432
അല,712,423
അഭ,751,414
മസ,598,410
ആവ,550,408
ഷണ,678,404
യവ,641,404
ളവര,714,403
ദത,608,403
ടന,974,400
ഇപ,573,402
എഴ,856,397
മരത,853,397
ർ,718,395
ഉപയ,671,395
യന,1011,389
ളങ,576,392
ആയ,503,391
യക,804,387
ഹവ,647,386
വയ,533,383
ഞപ,528,380
ലയ,670,375
റന,637,369
കഥകള,804,366
ഭവങ,630,367
ഭക,719,366
അദ,1215,360
ടക,542,360
കട,523,360
ആള,670,358
രച,621,358
ലക,755,356
നയ,845,354
രശ,528,356
നപ,441,354
ഹസ,848,350
വൻ,537,352
ണങ,603,349
യരശ,523,347
ഇറങ,493,347
ധയ,598,342
ചകൾ,560,341
ഖ,618,339
ഭമ,507,332
ഖത,425,332
ദരമ,583,330
ർക,529,329
തക,818,325
സങ,472,324
ഡ,612,321
ഒള,548,320
മര,635,317
മഞ,950,313
പഴയ,532,314
മടങ,372,308
ആവശ,414,307
കന,500,305
ഞത,381,305
തലയ,434,304
ഞങ,676,297
കവ,686,296
ആല,399,298
മണ,727,295
തണ,436,296
സര,573,293
കടല,1685,282
അവയ,477,290
ഉറങ,452,290
കപ,621,287
അയ,500,285
വരച,755,282
തട,579,283
രണങ,325,281
ൻപ,363,279
റകള,456,278
എൻ,650,276
ഷങ,481,274
ചകള,465,273
രസ,413,273
ർച,347,273
തകങ,744,268
വട,420,270
ദനമ,412,269
എവ,375,269
റപ,363,269
അച,1178,262
യസ,433,267
വർഷങ,334,266
ലപ,421,265
പന,771,259
ഒട,347,262
അസ,320,261
ചറ,445,260
ഉത,649,258
ഒത,356,260
ലവഴ,324,260
വളർന,325,258
കൽ,319,257
ഷകരമ,340,253
റമ,373,252
യല,600,250
തശ,2064,236
സഞ,436,247
ബന,319,245
തൻ,521,243
നവ,428,243
രവർത,399,242
തകരമ,372,238
മഴ,771,234
വയസ,301,236
അര,635,233
ആഹ,337,233
ണമ,277,233
ഉള,310,231
ലങ,352,230
ഉച,293,229
കരയ,389,228
മള,349,227
മധ,474,226
മകള,337,227
ഉദ,324,226
ടര,306,226
രധ,324,225
യയ,609,222
രകള,478,223
രകൾ,646,221
ശയ,270,222
ഇല,286,221
മകൾ,335,220
ചന,646,214
രൻ,479,215
ൽപ,314,216
ഛന,493,214
ചക,733,212
