word,count,doc_count
нь,11204,886
байлаа,5981,822
тэр,6296,773
энэ,4884,825
юм,5633,763
байсан,4909,812
гэж,5336,777
байв,4304,770
ч,3321,761
байна,3918,686
нэгэн,2670,742
тэд,3535,669
өдөр,1893,748
түүний,2396,646
дээр,2022,647
нэг,1706,647
бол,1854,620
олон,1786,604
тэдний,2073,579
сайхан,1956,569
би,2752,500
их,1677,562
тухай,1639,532
сайн,1606,525
зүйл,1438,525
хэлэв,1836,467
том,1244,513
болж,1128,522
түүнийг,1367,501
болно,1230,501
бүх,1207,501
маш,1627,466
байх,1192,498
тэрээр,1719,439
бөгөөд,1242,475
л,1077,486
хамт,1193,469
байгаа,1068,476
шиг,1167,468
ямар,1106,469
нар,1231,452
өөрийн,1279,448
болсон,983,470
хамгийн,1019,466
газар,1106,458
хоёр,1240,443
харж,935,455
хүүхэд,1545,396
хүн,1121,426
гэдэг,790,448
дунд,935,434
цагаан,1445,393
чи,1491,383
илүү,878,427
гайхалтай,953,415
амьдардаг,751,430
юу,988,411
түүнд,866,413
болон,896,408
бас,991,396
зүйлийг,752,413
гарч,765,411
харин,855,403
хүчтэй,848,401
байдаг,788,401
дараа,702,406
тэднийг,918,388
олж,783,391
бүр,732,391
гэсэн,718,389
бид,1185,350
жижигхэн,801,380
эхлэв,838,376
вэ,870,356
гэхдээ,650,364
мэт,687,359
тулд,731,355
сэтгэл,709,355
үргэлж,866,342
гэрэл,936,332
уу,908,333
авч,612,355
хэзээ,584,357
руу,722,346
дуу,762,342
та,959,320
хэрэгтэй,690,340
ээж,1197,297
дуртай,604,343
хийж,572,343
ярьж,681,325
хар,882,305
хүү,940,293
асуув,718,308
бусад,669,311
хамтдаа,689,309
мөн,575,318
болох,520,320
цаг,514,318
хөх,1147,262
миний,735,294
хараад,492,312
өөр,558,305
түүх,537,303
өглөө,457,307
гэнэт,492,301
гэвч,497,299
аз,676,283
гэдгийг,493,295
гэр,695,277
хүмүүс,676,278
улам,502,288
баяр,700,272
биш,463,286
