word,count,doc_count
र,89861,921
न,85042,921
ल,71198,921
क,67813,921
य,49561,921
म,49213,921
स,48451,921
त,47995,921
द,33355,921
थ,31178,920
ह,25914,920
ग,25904,916
ई,22934,921
प,22495,917
ख,21523,918
ब,20876,914
हर,20558,891
गर,17064,919
ज,17229,916
छ,16349,910
एक,11576,920
च,11876,895
व,11248,890
ट,10740,880
उन,11674,862
श,9518,881
ए,8241,881
ध,8480,869
भन,7816,872
आफ,8102,862
उ,9010,851
भ,7174,849
पर,5692,841
पन,4726,848
फ,6303,808
तर,3889,799
अन,3849,791
ड,5212,777
ठ,4844,776
बन,3993,777
ष,4640,769
रम,4316,729
रक,4137,714
बस,2731,725
सक,2971,718
सब,3537,708
सम,2847,715
रह,3078,707
झ,2819,673
यस,2345,661
दर,2599,657
यह,2297,657
भय,2404,635
अर,2772,625
नक,2106,620
उनल,4779,583
कथ,2192,606
एउट,3369,590
ढ,2597,590
पह,1910,591
मन,1908,591
घ,2033,585
एर,1408,590
जन,2559,575
इन,2587,568
छन,2092,564
ण,1795,549
रत,1976,543
उसल,4532,502
वर,1648,531
जस,1348,533
मल,2020,524
आ,1583,516
चर,2249,495
भर,1170,506
पछ,1096,503
वन,1157,493
आक,2538,477
कह,1125,491
उत,1269,482
चम,1408,475
यसपछ,1067,478
सध,1388,474
लक,1737,469
नय,1562,466
उसक,1876,462
यक,1221,461
उनक,1579,453
सहर,1770,442
कत,1060,443
भएक,840,444
भए,928,440
रण,1131,437
मक,1200,435
फर,772,433
जसल,743,400
आय,2109,384
महत,907,396
जह,713,396
रल,1591,387
जसक,650,395
आव,1073,387
इल,1236,385
लहर,1303,383
लग,811,386
बढ,788,382
अझ,732,382
हन,1241,375
घर,800,376
तल,1286,366
नद,1041,368
नम,737,369
बत,918,367
कस,789,362
एन,648,363
यत,578,356
हस,1080,348
नज,636,350
रय,804,342
ञ,845,340
आश,819,340
तम,806,338
उम,519,336
शक,1073,330
भव,737,332
धन,619,328
गल,780,323
बच,1227,315
उड,1398,313
अब,648,319
आम,1902,304
ङ,1490,307
गय,511,310
सहय,851,306
डर,822,302
वक,490,305
शम,965,294
यव,499,293
यसल,566,292
बग,1139,286
गए,439,290
इ,669,285
मनम,557,286
तय,535,285
तप,1013,280
कसर,482,285
चल,522,284
यम,481,284
णय,585,282
हल,648,281
अ,658,277
कल,815,275
अग,545,276
पत,708,272
समय,452,274
अल,527,273
सपन,1805,258
वनक,626,270
नन,433,271
रहर,763,267
गक,519,266
महस,484,265
बल,487,264
सल,575,260
आनन,548,258
वप,451,258
लम,683,254
तक,602,254
जम,393,255
ऊ,743,251
रहन,412,254
अचम,397,253
डक,614,250
उठ,386,252
वनम,1060,243
यसक,526,245
रश,610,243
लब,917,239
नल,814,238
गलम,1140,232
नहर,456,237
इरह,378,237
रस,468,235
आउ,372,233
यसर,313,229
दय,491,226
रहस,824,220
एकदम,381,223
जव,378,223
तहर,452,222
षक,484,221
चक,348,222
खम,369,219
झन,369,216
मद,452,214
अस,378,213
कम,366,213
अच,319,213
पढ,549,210
अद,436,210
आज,356,209
तत,250,207
सन,428,204
पम,321,204
खक,437,202
थम,394,200
गलक,878,194
शल,936,193
जब,324,199
घरम,388,198
रङ,655,188
भएर,250,192
छक,259,191
षण,419,189
उज,398,189
खर,667,186
लल,709,185
दत,368,188
एकअर,522,186
आएक,258,188
गह,310,187
सज,276,187
तन,361,185
नभन,298,184
कर,354,183
उक,282,182
एकद,296,180
उद,275,179
आत,354,178
कन,250,178
आउन,253,176
दथ,308,175
खहर,300,173
पल,292,173
सफ,318,170
यहर,317,170
रब,550,165
गम,337,166
वरहर,576,163
यल,361,164
पक,306,162
दल,466,159
डरल,337,160
शर,371,158
आकर,270,159
एनन,214,158
घरक,282,157
आग,470,155
बह,514,154
थप,226,154
गत,218,152
दरत,410,149
पस,212,151
उह,471,147
जल,446,147
ईल,346,148
मह,267,148
पटक,236,148
मध,253,144
मत,222,144
अघ,235,142
नथ,183,142
यद,205,140
नभर,175,139
झर,275,137
सह,231,137
वल,308,135
समस,241,135
मम,232,135
कठ,230,135
सफल,222,135
फरक,179,135
वस,263,133
रव,284,128
हज,766,123
रणल,348,127
जसम,189,127
सद,153,126
धक,216,123
आवश,181,123
कक,248,122
आर,610,116
दम,162,120
ओह,159,120
गन,231,119
समयम,207,119
चढ,265,118
रद,261,118
गएर,160,118
अह,143,117
इच,232,116
गहर,260,115
अभ,193,115
एपछ,137,115
जक,362,111
यन,331,110
घरहर,193,110
गएक,137,110
आए,128,110
दयम,156,109
मस,200,108
डम,237,107
बर,221,107
रच,170,107
भइन,184,106
बज,322,104
नगर,119,105
चन,769,97
डहर,134,103
जत,134,103
सर,246,101
उभ,113,101
रन,175,100
वनल,222,99
खल,213,99
यमय,244,98
वरम,136,99
वभ,125,95
नर,164,94
जहर,143,94
इएक,120,94
रभ,187,92
नमस,159,92
शब,158,92
जङ,546,88
यसम,137,92
छर,133,92
हक,166,91
अत,152,91
रमण,151,91
तब,141,91
झरन,355,88
इद,117,90
तव,131,89
आइप,114,89
ठम,176,87
इत,193,86
पख,246,85
चञ,148,86
अध,137,86
फल,227,85
एकस,213,85
लड,183,85
लन,142,85
थक,136,85
दक,146,84
नत,118,84
नब,104,84
अवस,100,84
डल,163,83
नह,116,83
दछ,142,82
घन,111,82
उफ,103,82
दलहर,182,81
लत,169,81
चमक,112,81
नस,111,81
एकजन,110,81
खतर,115,80
हनत,171,79
नसक,96,79
सफलत,145,78
उच,136,78
खस,117,77
वध,107,77
शन,172,76
कप,167,76
टक,161,76
उल,131,76
नप,118,76
इम,133,75
कमज,108,75
हट,97,75
फलफ,146,74
सत,144,74
अव,112,74
लनस,82,74
भएन,82,74
उपह,152,73
टल,132,73
रङक,145,72
जग,92,72
एकत,135,71
वरण,131,71
लय,122,71
थन,112,71
रमम,98,71
मनल,182,69
वत,196,67
असल,88,67
झल,87,67
भइसक,76,67
हप,76,67
मर,93,66
हसक,91,66
घटन,79,66
आइरह,77,66
हनल,1013,56
मज,112,65
सव,111,65
समर,91,65
गइन,90,65
षल,671,59
उथ,185,63
हत,83,64
टम,156,63
टर,152,62
गलल,151,62
सङ,138,62
सहमत,76,62
मनपर,76,61
औ,88,60
उर,100,59
आजक,69,59
इनन,76,58
उप,118,57
इक,104,57
कड,85,57
पय,77,57
मरण,73,57
नरम,72,57
षत,67,57
घरब,64,57
मव,106,55
गनम,89,55
इहर,87,55
षमत,85,54
रआम,371,51
धम,70,54
समयक,68,54
यजनक,65,54
ओर,72,53
शत,72,53
भइरह,55,53
ईक,142,52
दहर,101,52
ठक,78,52
आध,72,52
ढल,68,52
रर,58,52
लयम,124,51
अवसर,89,51
अक,85,51
ओछ,79,51
भवहर,73,51
भई,69,51
वजन,163,50
नपछ,55,51
तरक,113,50
तथ,67,50
रदर,126,49
षम,78,49
स-स,61,49
दलक,141,48
उस,110,48
शहर,107,48
पश,83,48
अनग,69,48
ईन,68,48
कलकल,55,48
यब,52,48
बक,113,47
जर,66,47
घट,64,47
गलत,58,47
अवश,50,47
दन,119,46
दलल,194,45
महर,59,46
खब,56,46
धर,105,45
लयक,97,45
वरल,88,45
अम,185,44
यचक,61,45
मग,117,44
तवम,88,44
धल,78,44
यप,65,44
वनभर,62,44
सच,55,44
एकछ,47,44
वब,67,43
घण,108,42
कब,94,42
मनक,83,42
आल,82,42
घल,178,41
बहर,78,42
यसब,59,42
दग,56,42
भएपछ,44,42
हनक,267,39
हम,61,41
घक,135,40
लकहर,111,40
रङहर,103,40
चट,86,40
रणहर,84,40
अमर,74,40
खन,60,40
इय,52,40
तभर,50,40
जसर,47,40
यकत,46,40
नडर,43,40
थर,96,39
वहर,96,39
यवह,57,39
वरपरक,50,39
घरभ,48,39
ढत,53,38
आ-आफ,52,38
अज,46,38
वनस,81,37
थल,75,37
उछ,60,37
णत,59,37
जड,111,36
फलहर,67,36
अपन,62,36
ईजन,136,35
नसम,37,36
टब,82,35
गज,79,35
डन,55,35
उब,43,35
आऊ,41,35
जट,41,35
बद,40,35
कव,129,34
नव,88,34
बट,71,34
टहर,60,34
लकक,58,34
लस,57,34
आभ,44,34
यर,109,33
कहर,77,33
बम,70,33
वसन,61,33
ययन,53,33
हसल,50,33
