word,count,doc_count
de,261320,3483
en,159420,3483
een,137433,3483
het,99006,3483
ze,93185,3444
van,73196,3483
was,58523,3479
hij,69464,3328
in,57812,3482
met,52828,3480
zijn,51487,3455
te,47517,3482
op,40249,3480
dat,39568,3477
die,37745,3475
maar,36118,3475
naar,32953,3468
om,24229,3426
niet,23849,3429
aan,21723,3438
er,22754,3406
voor,18893,3386
had,20205,3353
zo,16669,3354
als,17355,3331
je,24863,3194
wat,14965,3294
ik,25486,3126
over,16806,3241
door,13576,3261
is,18726,3185
zei,18125,3175
zich,13760,3231
dag,12897,3226
kleine,15686,3141
waren,13843,3165
toen,12216,3170
uit,11309,3168
nog,11574,3158
haar,29656,2777
ogen,9718,3033
dan,9749,3029
altijd,9884,2967
hun,14836,2877
ook,8768,2923
begon,7760,2936
klein,8288,2914
waar,8602,2903
hem,12625,2801
keek,8766,2847
iets,9401,2822
weer,9836,2794
al,7759,2816
vol,8035,2788
grote,8223,2777
kon,8518,2767
meer,7141,2692
zon,8050,2677
terwijl,6204,2666
we,15304,2537
kwam,6471,2653
wel,8015,2631
stond,6618,2645
heel,8094,2582
samen,7970,2580
terug,6657,2583
bij,6696,2581
nu,6393,2573
zag,7058,2557
vroeg,6721,2557
na,5683,2506
werd,6272,2498
riep,7608,2443
zou,5833,2411
hoe,6279,2399
wist,5862,2374
gaan,5503,2364
andere,6450,2351
dit,5493,2362
alle,5567,2345
daar,5151,2339
beetje,6132,2323
even,5613,2316
alleen,5118,2313
geen,4884,2281
alles,4754,2260
ging,4901,2234
veel,4723,2227
hele,4849,2211
weg,4924,2197
ben,6043,2135
glimlachte,3835,2149
voorzichtig,5081,2105
hadden,5163,2099
voelde,5724,2080
zien,4398,2079
oude,5582,2029
zat,3834,2049
steeds,4026,2034
onder,4052,2032
of,4025,2019
toe,3682,2010
knikte,3803,2008
lucht,4276,1996
tot,3511,1989
goed,3967,1982
werden,3785,1982
doen,3758,1981
volgende,3245,1979
misschien,4994,1947
wereld,5182,1933
mijn,4769,1938
leek,3994,1935
groot,3308,1939
kunnen,4197,1915
hebben,4096,1914
zelfs,3586,1920
hier,4023,1907
net,3388,1909
tegen,3531,1907
nooit,3529,1906
tijd,3752,1903
heb,4059,1898
elke,3948,1899
stem,3650,1900
eens,3218,1893
kan,3827,1883
vrolijk,3856,1868
mee,3522,1868
nieuwe,4185,1852
af,3157,1852
deze,3441,1848
maakte,3527,1837
elkaar,3997,1825
avontuur,4766,1809
hart,3985,1816
ja,3925,1806
heen,3157,1811
wind,4791,1786
zachtjes,3523,1794
weet,3231,1775
snel,3411,1762
wilde,3507,1753
vrienden,4814,1730
klaar,3395,1748
gaf,2954,1751
hen,4330,1732
langzaam,3154,1745
achter,3058,1739
plek,3622,1727
vond,3107,1724
lachte,3044,1724
bleef,3205,1715
laten,2990,1697
scheen,2645,1696
fluisterde,3078,1689
allemaal,3051,1687
gingen,3290,1682
antwoordde,3369,1678
woonde,2136,1692
bloemen,5710,1643
vinden,3180,1672
lange,2836,1676
ooit,2587,1666
plotseling,2795,1658
lag,2917,1654
sprong,3114,1647
maken,3161,1639
helpen,3818,1615
keken,3141,1624
vertelde,3350,1621
prachtige,2905,1615
dacht,2668,1616
want,2625,1604
paar,2738,1601
bomen,3373,1581
glimlach,2508,1591
enthousiast,2491,1584
eerst,2452,1584
begonnen,2637,1577
keer,2859,1570
lang,2367,1575
eigen,2924,1562
verder,2679,1549
kwamen,2579,1542
echt,2567,1537
leven,2814,1530
