word,count,doc_count
og,60720,1259
dei,26953,1240
var,24639,1255
i,24103,1259
det,21494,1256
ein,21028,1258
som,20997,1258
å,20193,1259
han,26195,1095
på,17809,1257
med,15322,1256
til,14291,1259
av,12358,1259
ho,20495,1071
hadde,11609,1245
den,11383,1238
at,10905,1247
seg,10428,1245
for,9638,1250
men,9273,1253
om,9659,1239
ei,9547,1221
er,11045,1147
ikkje,7173,1199
så,6826,1206
sa,7653,1168
eit,7783,1133
der,4664,1153
ut,4705,1140
såg,5383,1108
etter,3770,1125
alle,4621,1102
kom,3734,1118
eg,8752,1009
kunne,4106,1101
visste,3974,1078
du,7107,1008
opp,3527,1076
frå,3312,1078
liten,3330,1063
gjekk,3951,1049
dag,2884,1068
kva,3801,1006
over,3045,1018
ned,3002,1007
ville,2870,972
sine,2474,973
stor,2421,970
alltid,3036,954
tok,2181,949
noko,2935,932
då,2912,913
berre,2746,908
har,3166,897
kan,3176,889
rundt,2118,903
andre,2544,892
litt,3606,868
sin,2372,883
ved,1961,870
sjå,2392,848
inn,2056,850
skulle,2157,846
mot,2066,845
alt,1991,841
dagen,1558,842
korleis,2385,793
budde,1365,813
fram,1843,801
store,1720,802
aldri,1799,795
mange,1850,792
deg,2247,770
fann,1860,770
må,1993,766
smilte,1652,767
skal,2156,755
gjennom,1636,764
små,1890,749
låg,1583,751
saman,1884,734
før,1293,742
no,1638,734
tenkte,1542,731
lita,1484,729
her,1779,722
tilbake,1515,723
ha,1498,719
finne,1720,707
sola,1707,706
skogen,3860,657
spurde,1846,695
sitt,1336,705
mykje,1328,704
igjen,1389,701
vere,2096,686
vart,2082,683
ja,1929,683
fekk,1546,687
meir,1400,690
enn,1181,685
sat,1485,666
gong,1245,668
måtte,1392,661
glad,1435,660
dette,1287,661
gå,1381,657
denne,1193,649
sjølv,1168,640
stod,1197,636
heile,1312,633
sett,1113,634
vil,1575,622
henne,1889,612
kvar,1414,620
heitte,982,615
sette,1035,612
kanskje,1612,600
medan,990,603
heilt,1250,593
si,1256,591
byrja,1232,590
slutt,955,595
når,1080,592
langt,1041,592
meg,1284,584
full,947,581
vore,1008,579
auge,1007,579
sprang,1272,569
under,1132,569
eventyr,1461,560
lo,1259,562
la,979,566
elska,963,566
forsiktig,1053,564
eller,927,566
hans,1408,552
fortalde,1302,551
lite,949,555
vinden,1573,542
tre,1154,544
nikka,948,548
beste,1036,545
kor,1097,540
ting,956,539
nye,1144,534
lenge,866,533
nesten,916,531
høyrde,926,529
like,859,529
stille,975,526
ta,928,524
hjelpe,1250,513
nokon,956,517
himmelen,1057,511
livet,935,513
godt,904,513
bli,899,513
få,859,512
gav,775,509
god,918,501
lærte,1111,493
ute,780,496
ingen,775,490
glede,911,487
stund,788,486
gamle,1248,472
redd,997,477
hennar,1124,472
nokre,927,473
svarte,811,475
også,849,473
funne,1014,467
vakre,1071,465
stein,774,471
laga,892,467
oss,869,463
verda,1025,457
smil,635,460
bestemte,721,450
følte,808,446
varm,686,443
veit,776,441
stort,620,443
blå,794,439
vesle,1165,431
gjorde,607,442
vakker,929,433
høgt,664,438
heldt,721,436
plutseleg,662,435
leika,883,429
gjere,831,427
veldig,815,427
heim,692,429
levde,712,427
ropte,809,423
vi,1496,405
kjende,801,419
bort,660,421
tid,630,421
to,724,416
de,1527,399
kvarandre,857,412
kjente,849,412
møtte,777,409
prøvde,759,409
gammal,670,410
brukte,719,407
viste,619,409
glade,690,403
blei,915,398
bak,631,402
me,2217,369
forstod,655,401
takk,610,400
vegen,714,397
lufta,587,398
rett,555,398
slik,582,395
lytta,669,391
ser,751,385
inne,566,388
år,632,386
auga,709,384
song,1041,376
fleire,631,384
astrid,5194,287
dansa,903,374
dyr,656,378
borte,550,377
viktig,600,374
varmt,513,373
ny,596,371
fin,623,369
jente,622,368
historier,699,363
lange,498,365
lenger,517,362
lang,479,362
spennande,622,357
begynte,525,359
fjella,859,351
vera,1063,346
neste,491,357
morgon,548,353
lys,656,348
klar,523,350
jo,721,345
grøne,506,348
sterk,527,347
følgde,465,348
vidare,561,346
liv,1277,330
stemme,477,345
takka,597,341
nok,456,343
gjer,569,337
lært,613,336
venta,523,336
lille,774,329
hovudet,460,333
akkurat,489,332
mellom,429,332
huset,822,322
mat,576,327
mest,459,328
sida,490,327
opna,484,325
svara,624,322
hår,419,326
lukta,505,321
del,586,319
trur,535,320
fantastisk,437,321
veg,478,316
folk,653,310
fjell,467,310
trea,523,308
vatnet,815,300
spesiell,517,306
lett,424,307
gode,462,306
fått,431,306
kvart,475,305
sidan,383,306
steinar,522,302
stoppa,424,304
fuglane,609,300
skinte,460,302
vakkert,421,302
nytt,408,302
dyra,1034,289
kjem,503,299
hus,479,299
deira,519,298
att,511,297
snakka,436,297
skein,419,295
åt,481,293
reiste,419,294
stad,482,291
samla,407,291
forbi,419,286
magiske,764,277
nei,407,282
spesielt,359,282
magisk,441,279
naturen,658,274
først,363,280
anna,438,278
hjelp,451,277
gjort,439,277
fugl,503,273
fargar,435,274
dagar,357,275
høyre,453,273
leike,525,271
lyden,392,273
ivrig,340,273
varme,442,270
høyrt,381,271
fortalte,470,269
solveig,4138,192
tak,345,270
fast,407,267
min,387,265
spurte,526,261
bra,379,263
et,738,255
fint,408,261
treng,442,260
en,1261,243
hei,377,261
fine,417,260
raude,399,260
nedover,384,260
elva,783,250
hatt,406,256
plass,402,255
betre,367,255
leita,446,253
snudde,326,252
mørkt,324,252
vatn,394,250
finna,608,245
framleis,349,250
hoppa,345,250
vise,339,250
peika,377,249
òg,520,246
augo,412,248
fantastiske,486,246
flaug,609,243
treet,769,239
lei,368,247
slags,337,244
lyd,326,244
eventyret,446,241
venn,384,242
bygda,914,231
kven,353,242
fjellet,670,235
klare,323,242
gamal,321,242
hjartet,385,240
tett,303,241
stolt,325,240
finn,563,235
handa,353,239
overraska,331,239
venner,378,238
høge,303,239
bakken,343,238
større,296,237
vel,331,235
mørk,322,235
sto,320,235
gull,387,233
fuglar,348,233
kome,394,232
får,330,232
fort,311,232
lyste,334,231
glitrande,377,230
kasta,313,231
døra,483,227
snøen,815,219
enda,282,230
hjelpte,320,229
steinen,682,221
reise,452,223
både,290,226
attende,566,220
skog,308,225
historie,399,223
lære,392,223
fylte,291,225
modig,404,222
endå,325,223
sukka,295,222
klarte,283,222
tur,376,220
ingenting,279,222
gløymde,338,220
likte,300,219
fylt,291,219
inni,310,218
gut,352,217
oppe,284,217
vennskap,326,216
utan,276,217
hagen,702,208
snart,295,216
mørke,327,215
snill,340,214
gjera,431,212
bruke,284,215
hytte,265,214
annan,254,214
trygg,274,213
solen,511,206
kikka,305,210
same,282,210
raud,279,209
kvifor,320,208
toppen,366,207
vener,379,206
gi,279,208
djupt,268,208
fullt,257,208
djup,248,208
prøve,315,206
hardt,263,207
utforske,296,206
klatra,290,206
pakka,261,206
mor,862,193
blomar,367,203
sterkare,312,204
stjernene,689,196
første,255,202
ete,355,199
satt,245,201
måte,266,200
slo,263,200
mumla,257,200
lyset,320,197
mystisk,256,198
viktigaste,254,198
kvit,287,197
lukka,270,197
grå,303,196
svak,242,197
all,262,196
verkeleg,260,196
natta,322,194
kjærleik,347,193
snakke,355,192
hendene,251,194
blitt,270,193
bestemt,250,193
kveld,318,191
delte,266,192
fuglen,974,177
dele,329,190
stjerner,330,189
ven,326,189
din,261,190
jorda,388,187
gang,240,190
