word,count,doc_count
og,53801,1112
en,29458,1112
de,21965,1101
i,20731,1112
å,19462,1112
var,19537,1107
som,18381,1111
det,16166,1110
den,15057,1108
på,14525,1112
med,13446,1110
av,12631,1108
til,12249,1111
så,9193,1100
at,8740,1105
for,8392,1105
seg,8461,1103
hadde,8772,1091
om,8466,1096
men,7623,1095
et,8641,1070
hun,15384,911
er,9982,1008
ikke,6079,1076
han,15851,874
sa,7096,1009
liten,4337,1061
fra,3431,1029
ut,3999,1004
jeg,7797,921
alle,3829,993
etter,3211,955
ble,2964,950
kunne,3263,942
opp,2911,948
du,5881,876
visste,3042,933
over,2757,937
kom,2807,934
gikk,3480,914
være,2781,924
der,2758,911
sin,2903,907
dag,2315,914
dem,3084,898
hva,2775,890
stor,2361,883
bare,2398,878
alltid,2568,871
da,2416,861
begynte,2435,858
noe,2422,858
har,3033,844
se,2331,851
sine,2241,849
ville,2428,845
kan,3075,818
ned,2205,831
tilbake,2252,829
noen,2127,827
ved,1873,827
mens,1727,819
inn,2024,806
finne,1978,784
rundt,1876,782
hvor,1816,780
mot,1831,775
gjennom,1676,775
spurte,2068,759
fant,1908,755
lille,2430,743
mer,1681,758
igjen,1812,752
sammen,1890,733
tok,1497,736
litt,2792,707
store,1623,729
vi,4047,676
andre,1773,718
også,1488,723
dagen,1197,728
gang,1336,709
deg,2050,692
bodde,1010,709
fortalte,1570,696
selv,1420,697
solen,1498,692
aldri,1408,693
smilte,1589,684
alt,1440,686
hver,1596,682
satt,1221,686
nå,1436,681
øyne,1170,686
må,1696,671
mange,1623,670
lå,1340,672
små,1614,664
henne,2379,637
hvordan,1570,644
forsiktig,1430,636
skogen,3401,588
før,1115,635
denne,1161,634
følte,1419,608
eventyr,1583,597
vil,1417,597
dette,1104,601
skulle,1218,596
gå,1315,593
gammel,1125,594
elsket,1102,594
hørte,990,596
sitt,1031,590
hele,1028,587
plutselig,970,581
skal,1528,567
enn,984,578
helt,1075,576
hjelpe,1432,568
hennes,1759,560
bli,955,564
ham,1868,544
verden,1421,552
ha,1149,557
sett,974,560
ja,1550,548
fortsatte,844,560
svarte,1189,549
her,1182,545
bestemte,1097,544
slutt,981,544
gjøre,1048,535
tenkte,981,534
stemme,790,534
sto,909,529
nikket,937,522
la,849,517
full,827,517
måtte,987,509
når,933,508
skinte,771,510
hans,1364,487
fulgte,761,499
under,916,495
meg,1103,484
glad,1023,482
vakker,936,483
nye,1020,479
eller,740,482
lo,933,477
deres,988,473
glede,869,475
kanskje,1204,465
lærte,1054,468
vakre,1056,467
gamle,1304,461
øynene,826,469
het,808,469
åpnet,727,470
nesten,813,462
bak,793,462
