word,count,doc_count
ਦ,79815,1087
ਸ,73127,1087
ਨ,67626,1087
ਹ,66138,1087
ਕ,63697,1087
ਰ,58098,1087
ਤ,52629,1087
ਲ,43706,1087
ਵ,40000,1087
ਆ,35994,1087
ਜ,33239,1087
ਚ,31320,1087
ਮ,27398,1086
ਗ,26980,1086
ਪ,24371,1087
ਖ,23281,1085
ਅਤ,21785,1080
ਬ,21198,1079
ਇ,17060,1033
ਡ,13036,1069
ਣ,12374,1063
ਉਹ,9206,1077
ਆਪਣ,8623,1075
ਰਹ,6970,1063
ਬਹ,8410,1040
ਛ,7019,1051
ਟ,6948,1051
ਸਨ,7304,1023
ਉ,5342,997
ਲਈ,3996,984
ਉਸ,5117,958
ਫ,5589,946
ਹਰ,4452,959
ਪਰ,4393,949
ਥ,4139,927
ਕਰ,4222,921
ਈ,4404,916
ਇਆ,3938,919
ਇਹ,4346,912
ੜ,4504,890
ਠ,4639,888
ਇਸ,3567,898
ਨਹ,3520,880
ਕਰਦ,3234,878
ਦਰ,4205,854
ਉਨ,6242,826
ਝ,3307,865
ਆਰ,3691,858
ਕਰਨ,3200,854
ਤਰ,3038,853
ਧ,2969,836
ਏ,3160,825
ਸਤ,3791,806
ਬਣ,2876,805
ਅ,3419,795
ਉਸਨ,7125,742
ਪਹ,2359,802
ਜਦ,2004,803
ਭ,2966,788
ਹਨ,3693,777
ਹਮ,3093,778
ਸਕਦ,2053,729
ਸਮ,2145,715
ਕਹ,2698,706
ਗਏ,1997,713
ਉਸਦ,3751,683
ਨਵ,1946,703
ਘ,2460,695
ਸਦ,1756,693
ਸਭ,1838,678
ਗਈ,1588,656
ਉਣ,1539,637
ਘਰ,2037,624
ਮਹ,1542,616
ਯ,1680,612
ਅਦ,1208,611
ਭਰ,1333,601
ਰਨ,1897,590
ਪਸ,1215,595
ਰਤ,1559,588
ਇਕ,1667,580
ਖਣ,1208,563
ਸਲ,1166,560
ਪਤ,1311,543
ਅਸ,1686,534
ਖਦ,1014,535
ਗਲ,2025,503
ਆਨ,1190,503
ਮਦਦ,1811,493
ਢ,1052,499
ਵਧ,894,496
ਆਇਆ,773,481
ਮਜ,1150,474
ਡਦ,829,466
ਸਕ,1293,453
ਸਮਝ,893,450
ਰਜ,1285,442
ਆਵ,880,445
ਹਣ,1049,442
ਰਫ,748,442
ਆਲ,1318,428
ਣਦ,687,434
ਸਵ,814,424
ਅਜ,898,420
ਡਣ,859,420
ਕਦ,718,411
ਸਕਰ,693,403
ਉਹਨ,2055,380
ਸ਼,3166,361
ਸਹ,706,394
ਚਲ,784,391
ਕਲ,734,385
ਜਵ,769,384
ਆਉ,608,380
ਨਦ,1040,365
ਲਗ,678,358
ਡਰ,990,352
ਦਗ,655,356
ਲਦ,629,354
ਗਦ,559,354
ਕਈ,524,347
ਮਨ,797,338
ਚਮਕ,589,332
ਪੜ,738,327
ਈਆ,512,330
ਵਨ,637,323
ਕਤ,661,320
ਹਵ,690,311
ਰਦ,797,308
ਲਣ,492,312
ਅਗਲ,434,311
ਚਮਕਦ,535,309
ਮਤ,577,303
ਬਸ,548,297
ਓ,593,294
ਆਦ,428,279
ਆਈ,378,270
ਆਪ,495,264
ਗਰ,693,256
ਤਵਪ,378,260
ਦਰਤ,720,252
ਸਰ,564,253
ਨਵਰ,839,248
ਪਨ,911,243
ਉਤਸ,353,246
ਕਰਕ,306,242
ਲਕ,365,238
ਫੜ,337,237
ਅਨ,385,234
ਆਉਣ,303,235
ਖਰ,391,232
ਚਦ,314,229
ਜਨ,431,225
ਣਨ,311,219
ਹਨਤ,545,215
ਖਤ,619,213
ਸਫ,513,214
ਵਰਗ,294,213
ਸਗ,293,212
ਜਗ,307,211
ਨਕ,360,210
ਖਭ,492,206
ਆਓ,323,205
ਰਕ,371,203
ਨਜ,275,202
ਬਤ,283,201
ਰਸ,385,198
ਣਗ,259,198
ਹਮਣ,316,197
ਚਣ,262,195
ਗਰਮ,402,193
ਧਰਤ,504,191
ਇਸਨ,280,193
ਅਚ,251,193
ਦਲ,588,187
ਬਚ,335,190
ਆਏ,247,188
ਚੜ,305,182
ਗਈਆ,234,182
ਤਲ,519,177
ਹੜ,323,179
ਅਸਲ,246,180
ਪਏ,235,179
ਇਨ,271,177
ਖੜ,222,177
ਰਸਤ,297,175
ਉਡ,354,174
ਸਮਝਦ,251,174
ਥਰ,438,170
ਕੜ,382,170
ਚਮ,237,171
ਮਦ,208,169
ਇਸਦ,234,167
ਇਦ,241,164
ਹਸ,367,161
ਭਵ,203,162
ਬਦਲ,264,160
ਖ-ਵ,242,158
ਸਥ,228,158
ਰਗ,281,156
ਜ਼,411,154
ਰਣ,209,155
