word,count,doc_count
i,87506,2580
się,67498,2580
w,58730,2580
z,43705,2580
na,38792,2578
do,26671,2570
że,23397,2564
o,22679,2554
a,21587,2555
to,18324,2524
nie,17641,2537
jak,14009,2516
ale,14072,2502
po,13294,2439
był,10173,2363
tak,8065,2368
jest,9308,2295
co,8957,2298
od,6262,2294
była,7936,2234
który,6416,2203
które,6815,2169
za,6544,2175
przez,5655,2127
dnia,5477,2110
jego,8456,1996
zawsze,5807,2072
było,5393,2071
bardzo,7415,1988
jej,9193,1908
pewnego,4054,2026
tylko,4876,2001
tym,4812,1958
gdzie,5015,1951
ich,6107,1880
go,5613,1849
ze,4421,1864
gdy,4691,1843
sobie,4091,1831
która,4155,1828
były,4154,1793
razem,4735,1743
coś,3661,1700
tego,2961,1717
słońce,3715,1689
oczy,3363,1696
nagle,3511,1671
dla,3839,1648
może,3879,1646
powiedział,4449,1619
jeszcze,3263,1652
mały,3754,1621
wszystko,3339,1627
kiedy,3830,1601
swoje,3422,1587
powiedziała,4269,1549
miał,3127,1557
już,2870,1527
ją,3644,1481
pod,2904,1442
mu,3439,1397
je,2690,1408
tam,2617,1407
swoim,2541,1407
być,2540,1405
domu,3216,1377
swojej,2578,1374
dzień,2893,1341
radości,2586,1329
nich,2261,1328
nawet,2222,1313
swoich,2486,1304
niego,2428,1304
końcu,2096,1308
mała,2395,1296
wszystkie,2380,1293
zosia,15622,899
zaczął,2567,1283
siebie,2318,1283
miała,2093,1260
im,2559,1236
sercu,2180,1246
przed,2110,1239
wiele,2220,1231
imieniu,1716,1240
aby,3213,1191
są,2117,1219
czy,2170,1214
nad,2261,1202
zaczęła,2155,1199
swoją,1988,1199
ten,1965,1191
lasu,3474,1143
drzewa,2291,1172
czas,2016,1159
wszystkim,1807,1165
swojego,1829,1164
teraz,1862,1161
wszystkich,2027,1150
ma,1840,1154
bo,1912,1142
niej,1922,1140
nigdy,1714,1143
bardziej,1874,1136
zapytała,2190,1123
radość,2185,1119
radością,1929,1126
potem,1928,1123
serce,2061,1115
żeby,2177,1108
nim,1785,1115
lesie,3136,1063
przygody,1958,1089
każdy,1794,1087
będzie,1743,1072
małe,1785,1061
zapytał,1995,1051
ja,2046,1043
piękne,1669,1031
aż,1511,1027
chwili,1538,1020
tu,1830,1011
pomóc,1843,1009
obok,1613,1009
pełen,1502,1010
ci,1685,999
świecie,1665,999
by,1757,992
uśmiechem,1505,999
las,2512,958
jestem,1761,979
choć,1463,986
każdego,1468,983
świat,1910,966
temu,1090,984
cały,1382,970
nią,1526,959
małą,1317,964
pełne,1396,959
wszyscy,1664,942
znaleźć,1487,946
dzieci,3673,875
dawno,1850,928
słońca,1683,927
wokół,1378,932
wtedy,1370,931
każdym,1509,924
stał,1395,926
stało,1284,925
uśmiechnęła,1426,920
delikatnie,1350,918
chwilę,1284,919
słonecznego,990,925
przy,1379,908
coraz,1452,903
dalej,1374,904
naprawdę,1327,903
odpowiedział,1600,892
jesteś,1430,896
wciąż,1373,897
innych,1392,892
byli,1647,884
razu,1266,891
drogę,1446,879
drzew,1314,881
małej,1113,885
innym,1575,871
też,1275,877
wiedział,1628,866
kwiatów,1689,863
te,1303,872
przygód,1311,871
swój,1301,871
którym,1221,873
niż,1211,871
głos,1417,863
jakby,1360,862
spojrzał,1404,859
dobrze,1468,857
świata,1449,854
stała,1214,852
więcej,1184,850
odpowiedziała,1453,840
również,1263,834
kilka,1213,833
zaczęły,1369,825
stronę,1226,829
mieszkała,977,836
wiedziała,1558,816
szybko,1175,826
powoli,1178,812
miejsce,1279,806
nowe,1359,801
trochę,1172,803
poczuł,1560,791
której,1047,803
oczach,1086,801
także,1281,793
małego,1102,794
zapach,1228,789
małym,1037,794
spojrzała,1229,787
uważnie,1093,791
jednak,1047,792
uśmiechnął,1127,789
właśnie,1058,791
poczuła,1723,768
mi,1204,782
podczas,1124,783
przyjaciół,1380,773
kwiaty,1610,765
dzięki,1164,773
zobaczył,1454,763
mieszkał,953,773
zawołała,1242,764
niebo,1236,763
przygodach,1122,765
koniec,892,769
tej,998,764
przyjaźń,1463,745
ostrożnie,1058,754
rzeczy,1139,749
najważniejsze,1030,750
